D94.	Transformation: man to ogre.
D1278.2.	Sorcerers use marrow of corpses' bones.
D1855.1.	Witch delays person's death.
H935.	Witch assigns tasks.
G261.	Witch steals children. *Type 710; *Hoffmann-Krayer Zs. f. Vksk. XXV 121 n. 3; Krappe Balor 87ff.; Irish myth: *Cross; India: Thomp- son-Balys; Eskimo (Greenland): Rasmussen III 233.
F321.	Fairy steals child from cradle.
G440.	Ogre abducts person.
K764.	Witch pretends to be starving beggar woman in order to capture child.
R10.	Abduction.
S211.	Child sold (promised) to devil (Ogre).
S300.	Abandoned or murdered children.
G261.1.	Witch steals child with hand through chimney. (Cf.
G369.5.	) Kittredge Arthur and Gorlagon (Harvard Studies and Notes in Phi- lology and Literature VIII) 222ff.
G262.	Murderous witch. Irish myth: *Cross; England, Scotland, U.S.: Baughman.
G11.3.	Cannibal witch.
G11.15.	Cannibal demon.
G83.	Cannibal sharpens knife to kill captive.
G262.0.1.	Lamia. Witch who eats children. *Kittredge Witchcraft 224f, 532 nn. 104-108; India: Thompson-Balys, Buddhist myth: Malala- sekera I 588, II 407, 676; Papua: Ker 45, 64, 121, 141; Africa (Fang): Trilles 249, (Wachaga): Gutman 92.
G72.	Unnatural parents eat children.
G262.0.1.1.	Lamia devours her lover. Kittredge Witchcraft 225, 532 n. 114.
G327.	Swinging ogre. Girls who swing their lovers over pit, cut rope, and later devour them.
G262.1.	Witch sucks blood. Striges. *Kittredge Witchcraft 224f., 531f. nn. 103–114; England: Baughman; Icelandic: Boberg; India: Thompson- Balys.
G312.1.	Pisāca, Drinks blood and eats human flesh.
G262.1.1.	Witch's cat as sucker of blood. Kittredge Witchcraft 178 n. 36.
B766.1.	Cat mutilates corpses.
G262.1.2.	Witch sucks blood from woman's or child's breasts. England, U.S.: *Baughman.
G262.1.3.	Witches suck blood from the navel of a child without anyone knowing it. India: Thompson-Balys.
G262.2.	Witch eats person's entrails (heart). *Kittredge Witchcraft 225, 532 n. 113; India: Thompson-Balys.
G262.3.	Witch in animal form kills.
G262.3.1.	Witch in form of she-goat kills men. India: Thompson-Balys.
G211.	Witch in animal form.   ## p. 299 (#317) ############################################  G. Ogres 299
G262.3.2.	Witch as cat causes death. England, U.S.: *Baughman.
G262.4.	Witch kills with aid of witch-ball (hair rolled in beeswax). The ball is sometimes found in the mouth of dead victims. U.S.: Baugh- man.
G262.5.	Witch takes out man's liver. India: Thompson-Balys.
G263.	Witch injures, enchants or transforms. *Types 303, 442; BP I 528ff., III 9; Icelandic: *Boberg; Lithuanian: Balys Index Nos. 3654f., 3672ff.; Italian: Basile Pentamerone I No. 7, II No. 7; West Indies: Flowers 445.
D5.	Enchanted person.
D683.2.	Transformation by witch,
D2070.	Bewitching.
G265.4.1.	Witch causes animals to die.
G263.0.1.	Witch (female demon) has persons she has enchanted as ser- vants. India: Thompson-Balys.
G263.1.	Witch transforms person to animal. (Cf.
D100.	) German: Grimm Nos. 11, 49, 69, 123, 141, 197; India: Thompson-Balys.
G263.1.0.1.	Witch transforms her lovers into animals. Circe. *Krappe Balor 44ff.; *Anderson Hessische Blätter für Volkskunde XXVIII 212 n. 2; Gaster Oldest Stories 47.
G263.1.1.	Witch transforms man to bear. Icelandic: Boberg.
G263.1.2.	Witch transforms person to seal. Ireland: Baughman.
G263.1.3.	Witch transforms man to cow. India: Thompson-Balys.
G263.1.4.	Witch transforms husband into dog. India: Thompson-Balys.
G263.1.5.	Witch transforms man to bird.
G263.1.5.1.	Witch transforms man to crow. India: Thompson-Balys.
G263.1.5.2.	Witch transforms man to dove. N. A. Indian (Zuñi): Bene- dict 344. 1
G263.2.	Witch transforms man to object. (Cf.
D200.	)
G263.2.1.	Witch transforms to stone. German: Grimm No. 60, 85; India: Thompson-Balys.
G263.2.1.1.	Witch transforms man into soapstone. U.S.: Baughman; India: Thompson-Balys.
G263.2.2.	Witch transforms man to tree. German: Grimm No. 123.
G263.3.	Witch causes other transformation.
G263.3.1.	Witch transforms townspeople into witches. French Canadian: Sister Marie Ursule.
G263.3.2.	Witch transforms girl into man. U.S.: Baughman.
G263.4.	Witch causes sickness. (Cf.
D2064.	) Icelandic: *Boberg; England, Scotland, Wales, U.S.: Baughman; N. A. Indian (Zuñi): Benedict 344.
G263.4.0.1.	Illness caused by curse of witch. England: Baughman.
G263.4.1.	Witch causes toothache. England: *Baughman.
G263.4.2.	Witch causes fits. England, U.S.: *Baughman.   ## p. 300 (#318) ############################################  300 Motif-Index of Folk-Literature
G263.4.3.	Witch cripples or lames through illness. (Cf.
G269.11.	) England, U.S.: *Baughman.
G263.4.4.	Witch makes person dumb. England: Baughman.
G263.4.5.	Witch makes person blind. German: Grimm No. 135.
Q451.7.0.2.5.	Miraculous blindness for spying on witches.
G263.5.	Witch revives dead. (Cf.
E0.	) Icelandic: *Boberg; Jewish: *Neu- man.
G263.6.	Witchcraft causes maiden to hate lover. Irish myth: Cross.
G263.7.	Witch causes insanity. England, Scotland, U.S.: *Baughman.
G263.8.	Witch makes person lousy. England: Baughman.
G264.	La Belle Dame Sans Merci. Witch entices men with offers of love and then deserts or destroys them. Hartland Science 71; Huet Contes Populaires 47; Irish: MacCulloch Celtic 172; Scotch: Macdougall and Calder 259; India: *Thompson-Balys; Japanese: Mitford 243ff., 254ff., 275ff.; Korean: Zong in-Sob 74, 100; Marquesas: Handy 48; N. A. In- dian (Micmac): Parsons JAFL XXXVIII 94 No. 26, (Seneca): Curtin- Hewitt RBAE XXXII 402 No. 71, 425 No. 79, 485 No. 105, (Fox): Owen PFLS LI 87, (Yurok): Powers CNAE III 59, (Anvik): Chapman PAES VI 67 No. 11; Africa (Ekoi): Talbot 251.
D1900.	Love induced by magic.
D1901.	Witches induce love.
F302.3.4.	Fairies entice men and then harm them.
F441.2.1.3.	Wood-nymph wooes and then deserts man.
F585.1.	Fatal enticements of phantom women.
G229.5.	Beautiful witch.
G369.1.5.	Man persecuted by a rakshasa in form of a beautiful wench. 9
G264.0.1.	Ogress bathes in pool, is transformed into beautiful maiden, and becomes king's favorite wife. India: Thompson-Balys.
D1866.	Beautification by bathing.
G264.1.	Woman is death of all who behold her. Indo-Chinese: Scott Indo-Chinese 267.
D2061.2.1.	Death-giving glance.
G264.2.	Witch's_kisses disfigure person. Irish myth: Cross; India: *Thompson-Balys.
G264.3.	Female ogre seduces men with charm (words). India: Thompson- Balys.
D1273.	Magic formula (charm).
D1355.	Love producing magic object.
D1901.	Witches induce love.
G264.3.1.	Witch disguised becomes queen, devours king's horses nightly. India: Thompson-Balys.
G264.4.	Fairy-like witch marries man and causes him misfortune. Irish myth: *Cross.
G265.	Witch abuses property.
D1605.2.	Magic bag sucks milk from cows. It is commanded by a witch.
D2070.	Bewitching.
D2083.	Evil magic in the dairy.
D2083.2.	i, Witches make cows give bloody milk.
H1191.2.	Task: catching devastating witch who haunts king's best garden.
G265.1.	Witch scatters tools at night. Scotch: Macdougall and Calder 263.
G265.2.	Witch drowns foal. Scotch: Macdougall and Calder 251.
G265.3.	Witch rides horse at night. Howie 174ff.; *Kittredge Witchcraft   ## p. 301 (#319) ############################################  G. Ogres 301 219, 527 n. 66; North Carolina: Brown Collection I 650, 667; Icelandic: Boberg; Lithuanian: Balys Index Nos. 3657, 3683f.; India: Thompson- Balys.
F366.2.	Fairies ride mortal's horses at night.
F471.1.1.1.	Alp rides horse sweaty at night.
G265.3.1.	Witch's hair on horse becomes iron. *Fb "hår" I 771b.
G265.4.	Witches cause disease or death of animals. Icelandic: Mac- Culloch Eddic 302.
G265.4.0.1.	Witch punishes owner for injury or slight by killing his animals. (Cf.
G269.10.	) England, Scotland, U.S.: *Baughman.
G265.4.1.	Witch causes death of animals. England, Scotland, Wales, U.S.: *Baughman.
G265.4.2.	Witch causes illness of animals. (Cf. D2066) England, Scot- land, U.S., Canada: *Baughman.
G265.5.	Witch maims animals. England, Scotland, U.S.: *Baughman.
G265.6.	Witch causes animals to behave unnaturally.
G265.6.1.	Witch causes pigs to behave unnaturally. U.S.: Baughman.
G265.6.1.1.	Witch causes pigs to dance. England: Baughman.
G265.6.2.	Witch causes cattle to behave unnaturally. U.S.: Baughman.
G265.6.2.1.	Witch causes cattle to run about wildly. England, U.S.: *Baughman.
G265.6.3.	Witch causes horse to behave unnaturally. England, U.S.: *Baughman.
G265.6.4.	Witch causes dog to behave unnaturally. U.S.: Baughman.
G265.6.4.1.	Witch causes dog to dance on hind legs. U.S.: Baughman.
G265.7.	Witch controls actions of animals. (Cf.
D2072.0.	2,
D2083.2.	) Eng- land, Scotland, Ireland, U.S.: *Baughman.
G265.8.	Witch bewitches objects. (Cf. D2072, D2081,
D2087.	1,
D2071.0.2.	)
G265.8.1.	Witch bewitches household articles. (Cf.
D2083.	3,
D2083.4.	,
D2084.	1,
D2084.2.	) England, U.S.: *Baughman.
G265.8.2.	Witch bewitches clothing. U.S.: Baughman.
G265.8.3.	Witch bewitches implements and machinery. England, U.S.: *Baughman.
G265.8.3.1.	Witch bewitches gun.
G265.8.3.1.1.	Gun bewitched so that it will not hit target. Canada, U.S.: *Baughman.
G265.8.3.1.2.	Witch throws bullets back at shooter. (Cf.
F473.6.	5,
G229.4.2.	) England, U.S.: *Baughman.
G265.8.3.2.	Witch bewitches wagon. England, U.S.: *Baughman.
G265.8.4.	Object bewitched-miscellaneous.
G265.8.4.1.	Witch causes hangman's rope to dance so that it cannot be tied to hang her. U.S.: Baughman.   ## p. 302 (#320) ############################################  302 Motif-Index of Folk-Literature
G265.8.4.2.	Witch bewitches goose eggs so that they do not hatch. U.S.: Baughman.
G265.8.5.	Witch bewitches buildings. U.S.: *Baughman.
G265.9.	Witches ruin crop. (Cf.
G283.	) North Carolina: Brown Collection I 667; Icelandic: MacCulloch Eddic 302.
D2081.	Land made magically sterile.
G265.9.1.	Witch kills balsam plant after owner refuses to give some to the witch. England: Baughman.
G265.10.	Witches bewitch trees.
G265.10.1.	Witches shake fruit off trees to punish owner. U.S.: Baugh- man.
G266.	Witches steal. (Cf. D2087,
K300.	)
G266.1.	Invisible witches steal goods in market. (Cf.
F235.4.1.	) England: Baughman.
G267.	Man pursued by witches. N. A. Indian (Zuñi): Benedict 342, 344.
G269.	Evil deeds of witches-miscellaneous.
G269.1.	Witch begs man to scratch her back: kills him. (Cf.
G262.	) Fb “kjælling" II 146b.
G276.1.	Hen put in witch's hair to scratch while maid escapes,
G411.	Person aids ogre and is captured.
K810.	Fatal deception into trickster's power.
G269.1.1.	Witch pretends sickness and kicks helper into pit. India: Thompson-Balys.
G321.1.	Pusher-into-hole.
G269.2.	Witch asks for snuff so that she may seize man. He offers it to her on point of spear and escapes. Scotch: Macdougall and Calder 229, 243, 245, 261.
G411.	Person aids ogre and is captured.
K500.	Escape from death or danger by deception.
G269.3.	Witch harnesses man and leads him to dance. Swiss: Jeger- lehner Oberwallis 315 No. 124.
G241.2.1.	Witch transforms man to horse and rides him.
G269.3.1.	Witch rides man to dance. North Carolina: Brown Collection I 650.
G269.4.	Curse by disappointed witch. Type 410; England, Scotland, Wales, U.S.: Baughman; North Carolina: Brown Collection I 643f.; Philippine: Fansler MAFLS XII 303.
G269.4.1.	Curse by other angry ogres or ogresses. Icelandic: *Boberg.
G269.5.	Witch causes haunted houses. Kittredge Witchcraft 214, 521, 523 nn. 146, 18.
G269.6.	Witch eats up visitor's bow. India: *Thompson-Balys.
G269.7.	Witch estranges brothers. Eskimo (Greenland): Rink 111.
G269.8.	Ship wrecked by witch. (Cf.
F420.5.2.7.3.	) Icelandic: Corpus Poeticum Boreale I 152; India: Thompson-Balys.
G269.9.	Witch cuts steaks from hero's body. French Canadian: Sister Marie Ursule.   ## p. 303 (#321) ############################################  G. Ogres 303 causes
G269.10.	Witch punishes person who incurs her ill will. (Cf.
G265.4.	) England, Scotland, U.S., Wales: *Baughman.
G269.10.1.	Witch kills person as punishment. (Cf. D2060ff.) England, Scotland: *Baughman.
G269.11.	Witch causes deformity. (Cf.
G263.4.3.	)
G269.11.1.	Witch person to become hunchbacked. England: Baughman.
G269.11.2.	Witch causes person's arm to wither. U.S.: Baughman.
G269.12.	Witch causes person to break limbs. England: Baughman.
G269.12.1.	Witch breaks bridegroom's leg when slighted by bride. Eng- land: Baughman.
G269.13.	Witch causes person to fall from height. Scotland, U.S.: *Baughman.
G269.14.	Witch causes person to be burned. England: Baughman.
G269.15.	Witch scratches person. England, U.S.: *Baughman.
G269.16.	Witch causes gun to explode, injuring person. England: Baugh- man.
G269.17.	Invisible witch sticks victim with pins. England, U.S.: *Baugh- man.
G269.18.	Witch pushes man around on floor (witch is invisible). U.S.: Baughman.
G269.19.	Witches as ducks pinch victim. U.S.: Baughman.
G269.20.	Witch prevents woman from putting one foot on floor. U.S.: Baughman.
G269.21.	Witch torments person by making him act in ridiculous man- ner.
G269.21.1.	Witch causes person to break wind in presence of others. U.S.: *Baughman.
G269.21.2.	Witch causes person to mew like cat and neigh like horse. England: Baughman.
G269.21.3.	Witch causes man to strip naked and imitate a jockey riding himself. England: Baughman.
G269.22.	Witch makes girl believe her lover has ass's head. England: Baughman.
G269.23.	Witch causes lovers on stile to think they are surrounded by water. England: Baughman.
G269.24.	Witch makes man believe a dead bull is alive and chasing him. U.S.: Baughman.
G269.25.	Witch causes person to spin around on bedpost. U.S.: Baugh- man.
G269.26.	Witch stands person on her head. U.S.: Baughman.   ## p. 304 (#322) ############################################  304 Motif-Index of Folk-Literature
G270.	Witch overcome or escaped.
D2063.1.1.	Tormenting by sympathetic magic. Person (usually witch) tormented by abusing an animal or object.
G303.16.	How the devil's power may be escaped or avoided.
G500.	Ogre defeated.
G271.	Witch exorcised.
D1385.	Magic object protects from evil spirit.
D2176.	Exorcising by magic.
G271.1.	Witch exorcised by burning stick. Fb "kjæp” II 151a.
G271.2.	Witch exorcised by use of religious ceremony, object, or charm. (Cf.
D2176.3.2.	)
G271.2.1.	Sign of the cross marked on bewitched object breaks witch spell. (Cf.
G273.1.	) Icelandic: Boberg.
G271.2.1.1.	Cross marked on horn and forehead of cow causes bewitched cow to give normal amount of milk. Canada, U.S.: *Baughman.
G271.2.2.	Witch exorcised by holy water. Irish myth: Cross; Icelandic: *Boberg.
D1242.1.2.	Holy water as magic object.
G271.2.3.	Name of deity breaks witch's spell. England, U.S.: *Baugh- man.
G271.2.4.	Priestly exorcism for witch. England: Baughman.
G271.2.5.	Bible used in exorcism of witch. England: *Baughman.
G271.2.6.	Dust from communion table breaks spell. England: Baughman.
G271.3.	Use of salt in exorcism of witch. (Cf.
G254.	2,
G272.16.	) England: *Baughman.
G271.4.	Exorcism by use of sympathetic magic. (Cf. D1782,
D2063.1.1.	)
G271.4.1.	Exorcism by burning object for sympathetic magic. (Cf.
G257.	1) Canada, England, Ireland, Scotland, U.S., Wales: *Baughman.
G271.4.2.	Exorcism by injuring image of witch. Canada. U.S.: *Baugh- man.
G271.4.3.	Breaking spell by destroying image of victim used by the witch in torturing the victim. U.S.: *Baughman.
G271.4.4.	Breaking spell on animal by bleeding or maiming animal. Witch suffers same loss or injury. U.S.: *Baughman.
G271.4.	5 Breaking spell by beating the person or object bewitched. This injures the witch. England, U.S.: *Baughman.
G271.4.6.	Breaking spell by sticking sharp object into tracks of witch. This pains or paralyzes her. England, Wales: *Baughman.
G271.4.7.	Breaking spell by burying bottle of water, preventing witch from urinating until the bottle is emptied. England, U.S.: *Baugh- man.
G271.4.8.	Breaking spell by shooting bewitched object. U.S.: Baugh- man.
G271.4.9.	Breaking spell on animal by pulling three hairs from tail. U.S.: Baughman.
G271.4.10.	Breaking spell by burying animal alive. England: Baughman.   ## p. 305 (#323) ############################################  G. Ogres 305
G271.4.11.	Breaking spell on cream by holding churn handle hard against bottom of churn. This paralyzes the witch. (Cf.
D2084.2.	) Eng- land: Baughman.
G271.5.	Exorcism by violent treatment of the witch in person. England, U.S., Wales: ghman.
G271.6.	Exorcism of witch by countercharm. England, Ireland, Scotland, U.S.: *Baughman.
G271.7.	Exorcism of witch by special burial practice. England: *Baugh- man.
G271.8.	Exorcism by means of ghoulish charm. (Cf.
D1278.	) See Kittredge Witchcraft 141451; England: Baughman.
G271.9.	Sick child from witchcraft is put on anvil; smith strikes violent- ly but brings hammer down gently, three times. England: Baughman.
G271.10.	Person removes string with thirteen knots from child's mouth. U.S.: Baughman.
G272.	Protection against witches.
D1385.4.	Silver bullet protects against witches.
G272.1.	Steel powerful against witches. Fb "stål" III 647a; England, U.S.: Baughman.
D1252.1.	Magic steel.
E434.5.	Steel as protection against revenants.
G272.2.	Magic herb protects from witch. *Penzer VIII 56 n. 2; North Carolina: Brown Collection I 667; West Indies: Flowers 446.
D965.	Magic plant.
G272.2.1.	Rowan wood (quicken, etc.) protects against witches. Canada, England, Scotland, U.S.: *Baughman.
G272.2.2.	Witchhazel used for protection against witches. England, Ire- land, U.S.: *Baughman.
G272.2.3.	Hawthorn used as protection against witches. England: Baugh- man.
G272.2.4.	Bay leaves used as protection against witches. U.S.: Baughman.
G272.3.	Knife in bed as protection against witches. *Fb "heks” I 581a; England: Baughman.
G272.4.	Fires burnt in streets to ward off witches. Fb. "heks” I 581a.
G272.5.	Protection from witch by spitting. Fb “heks” I 581b; England, Ireland: Baughman.
D1001.	Magic spittle.
G272.6.	Sieve as protection against witches. North Carolina: Brown Collection I 650.
G272.7.	Object across door protects from witch. England, U.S.: *Baugh- man (
G256.	)
G272.7.1.	Beam across door protects from witch. North Carolina: Brown Collection I 645.
G272.7.2.	Broom across door protects from witch. North Carolina: Brown Collection I 653. 20   ## p. 306 (#324) ############################################  306 Motif-Index of Folk-Literature
G272.8.	Pouring water on fire from new cup protects from witch. North Carolina: Brown Collection I 653.
G272.9.	Reversing the poker protects from witch. North Carolina: Brown Collection I 653.
D1783.1.	Magic results of reversing a spell.
G272.10.	Stopped bottle as protection against witches. North Carolina: Brown Collection I 647.
G272.11.	Horseshoe hung up as protection against witches. North Caro- lina: Brown Collection I 650.
G303.16.17.	Devil cannot enter a house with horseshoe over door.
G272.12.	Straws as protection against witch. North Carolina: Brown Collection I 650.
G272.13.	Stone with a hole through it protects against witches. (Hag- stone) England: *Baughman.
G272.14.	Witch kept under control by means of a magic iron nail driven in her head. North Carolina: Brown Collection I 651.
G272.15.	Witch controlled by means of magic spells. India: Thompson- Balys.
D1273.	Magic formula (charm).
G272.16.	Salt protects against witches. (Cf.
G271.	3,
G254.2.	)
G272.16.1.	Salt put into churn before churning to protect cream from witch. (Cf.
D2084.2.	) England: *Baughman.
G272.17.	Burning thatch from home of witch protects against witch. England: *Baughman.
G272.18.	Grass from new grave protects against witches. England: Baughman.
G273.	Witch rendered powerless.
D1741.2.	Drawing witch's blood annuls her spells.
G273.1.	Witch powerless when one makes sign of cross. (Cf.
G271.2.1.	) Fb "heks” I 581b; England, Ireland, Wales: Baughman; Swiss: Jeger- lehner Oberwallis 304 No. 33; Spanish: Espinosa Jr. No. 116; Argen- tina: Jijena Sanchez 82, 87. 01766.6. Magic results from sign of the cross.
G273.1.1.	Witch powerless from lightbeam sent by saint. Icelandic: Boberg.
G273.2.	Witch powerless when person speaks before she does. Fb "heks" I 581a.
G273.3.	Witch powerless at cockcrow. Scotch: Macdougall and Calder 261, 307; Finnish-Swedish: Wessman 83 No. 686.
C752.2.1.	Tabu: supernatural creatures being abroad after sunrise.
E452.	Ghost laid at cockcrow (dawn).
F383.	4, Fairy must leave at cockcrow.
F451.3.2.1.	Dwarfs turn to stone at sunrise.
G636.	Ogres powerless after cockcrow.
G273.4.	Witch powerless to cross stream. *Fb "vand” III 1001a; England: Baughman.
E434.3.	Ghosts cannot cross rapid stream.
G131.	Giant ogres never cross water.
G638.	Ogre powerless to cross stream.
G273.4.1.	If witch grabs horse's tail on bridge, man is safe from her. Fb "bro" IV 62b. Cf. Burns's “Tam O'Shanter.”   ## p. 307 (#325) ############################################  G. Ogres 307
G273.5.	Witches powerless at crossroads. Fb "korsvej” II 277.
D1786.	Magic power at crossroads.
E434.4.	Ghosts cannot pass cross- roads.
G273.5.1.	Witch burned by furrows drawn round her home. Icelandic: Boberg.
G273.6.	Witch rendered powerless by drawing blood from her. England, Scotland, U.S.: *Baughman.
D1741.2.	Drawing witch's blood annuls her spells.
G273.7.	Objects driven into tracks of witch immobilize her. England, U.S.: *Baughman.
G273.7.1.	Straw driven into witch's track immobilizes her. England: Baughman.
G273.7.2.	Steel driven into witch's track immobilizes her. England, J.S.: *Baughman.
G274.	Witch snared.
G274.1.	Witch snared by setting out milk. Witches attracted by milk. Jamaica: *Beckwith MAFLS XVII 267 No. 74.
B784.2.1.	Snake (frog) in human body enticed out by milk (water).
G275.	Witch defeated. Irish myth: *Cross; Spanish: Espinosa Jr. No. 68.
G275.1.	Witch carried off by devil. *Kittredge Witchcraft 43, *397f. nn. 164—167; England, Wales: Baughman.
E501.5.1.3.	Witches pursued in wild hunt.
G275.1.1.	Witch carried off by devil's crew. Irish myth: Cross.
G303.9.5.	The devil as an abductor.
G303.11.	The relatives of the devil.
G275.2.	Witch overcome by helpful dogs of hero. Type 303; Irish myth: Cross; Scotch: Macdougall and Calder 231, 237, 239.
B524.1.1.	Dogs kill attacking cannibal (dragon).
G275.3.	Witch burned. *Fb “ild" II 12b, "brænde" IV 69a; Irish myth: Cross; Icelandic: Boberg; Lithuanian: Balys Index No. 3664; Spanish: Espinosa Jr. No. 161; India: Thompson-Balys; Japanese: Ikeda.
Q414.	Punishment: burning alive.
G275.3.0.1.	Witch can be destroyed only by burning her to death. India: Thompson-Balys.
G275.3.1.	Witch burned by burning bewitched animal. *Kittredge Witch- craft 95ff., 426ff. nn. 155—172.
D1782.	Sympathetic magic.
G252.1.	Witch killed as a whale.
G275.3.2.	Witch's heart (lungs, stomach) impossible to burn. Lithuanian: Balys Historical.
G275.4.	Seven-headed witch defeated by throwing egg at each head. Jamaica: *Beckwith MAFLS XVII 268 Nos. 79, 80.
E711.1.	Soul in egg.
G215.1.	Seven-headed witch.
G275.4.1.	Witch killed, as egg with her soul is crushed against her fore- head. Icelandic: Boberg.
G275.5.	Witch forced to divulge her secret powers. Africa (Bondei): Woodward FL XXXVI 367ff. No. 12.
N440.	Valuable secrets learned. 20+   ## p. 308 (#326) ############################################  308 Motif-Index of Folk-Literature
G275.5.1.	Witch bribed to divulge her secret powers. Africa (Kordofan): Frobenius Atlantis IV 101ff. No. 11.
G275.6.	Witch surrendered by sons. Irish myth: Cross.
G275.7.	Witch bound and beaten. Irish myth: Cross.
G275.7.1.	Witch beheaded. French Canadian: Sister Marie Ursule.
G275.8.	Hero kills witch. Irish myth: *Cross; Icelandic: *Boberg.
G275.8.1.	Witch killed by placing salt or pepper inside skin while it is laid aside. (Cf.
G229.1.1.	) South Carolina Negro: Parsons MAFLS XVI 63.
G275.8.2.	Witch overcome by help of fairy. (Cf.
N815.	) French Canadian: Sister Marie Ursule.
G275.9.	Fighting and wrestling with witch. Icelandic: *Boberg.
H1149.3.	Task: defeating a certain old woman. (She is Old Age.)
G275.10.	Witch as participater in battle. Icelandic: *Boberg.
G275.11.	Witches punished in hell. Irish myth: *Cross.
G275.12.	Witch in the form of an animal is injured or killed as a result of the injury to the animal. (Cf. G252,
G275.14.	) Canada, England, Ireland, Scotland, U.S., Wales: *Baughman.
G275.13.	Rough treatment of object causes injury or death to witch. Canada, England, U.S.: *Baughman.
G275.14.	Witch out of body while traveling at night is injured; witch's body is injured at home. (Cf.
G275.12.	) U.S.: *Baughman.
G275.15.	Witch overcome by threats. India: Thompson-Balys.
K547.13.	Witch frightened by seeing victim cleave boulder with one blow of sword.
G275.15.1.	Witch overcome by threatening with sword. India: Thomp- son-Balys.
G276.	Escape from witch. Japanese: Ikeda.
K500.	Escape by deception.
G276.1.	Hen put in witch's hair to scratch while maid escapes. Fb “höne” I 750b, "klø” II 202b, “kylling” II 347.
G269.1.	Witch begs man to scratch her back: kills him.
K611.1.	Escape by pretended lousing.
G277.	Testing of witches. **Hertz Aus Dichtung und Saga 198ff.; Lithuanian: Balys Index No. 3664.
G250.	Recognition of witches.
H220.	Ordeals.
G278.	Death of witch.
G278.1.	Marvelous manifestations at death of witch. North Carolina: Brown Collection 386.
D2141.0.4.	Storm at death of wizard.
G279.	Witch overcome or escaped-miscellaneous.
G279.1.	Overpowered witch-maid commits suicide. India: Thompson- Balys.
G279.2.	Theft from witch.   ## p. 309 (#327) ############################################  G. Ogres 309
G279.2.1.	Gold stolen from witch. India: Thompson-Balys.
G280.	Witches-miscellaneous motifs.
C782.2.	Tabu: selling to witch.
C784.1.	Tabu: lending to witch.
G281.	Consecrated wafer kept in mouth in order to be a witch. Kittredge Witchcraft 149, 469 n. 105; England, U.S.: Baughman.
D1031.1.1.	Consecrated bread as magic object.
V30.	Sacrament.
G281.1.	Witch gives away consecrated wafer after service. (Cf.
H1292.4.1.	) England: *Baughman.
G282.	Witches punish lezy spinning women. *Hoffman-Krayer Zs. f. Vksk. XXV 120 n. 6.
Q321.	Laziness punished.
G283.	Witches have control over weather. *Kittredge Witchcraft 152ff., 472ff. nn. 1ff.; Icelandic: *Boberg; Swiss: Jegerlehner Oberwallis 295 No. 14, 307 No. 28.
A1135.2.1.	Snow from feathers or clothes of a witch (Frau Holle).
D2140.	Magic control of the elements.
D2141.0.4.	Storm at death of wizard. Devil comes for him.
D2142.0.1.	Witch controls winds.
F531.6.5.4.	Giants as controllers of the elements.
G283.1.	Witch raises winds.
G283.1.1.	Methods witch uses to raise wind. (Cf.
D2142.0.1.	2,
D2142.1.5.	)
G283.1.2.	Reason why witch raises wind.
G283.1.2.1.	Witch raises contrary wind to keep ship in port. Ireland, U.S.: Baughman.
G283.1.2.2.	Witch raises wind to aid becalmed boat. Scotland: Baughman.
G283.1.2.3.	Witch raises wind to sink ships of people who have injured her. England, U.S.: *Baughman.
G283.1.2.4.	Witch raises wind to winnow grain. U.S.: Baughman.
G283.1.2.5.	Witch raises wind to blow man's fleeces away. U.S.: Baugh- man.
G283.1.2.6.	Witch raises wind to break up enemy's lumber pound. Eng- land: Baughman.
G283.1.3.	Witch sells power to control winds. (Cf.
D2142.0.1.	1,
D1541.1.	) England, U.S.: *Baughman.
G283.2.	Witch keeps winds from blowing. (Cf.
D2142.1.	)
G283.2.1.	Witch keeps wind from blowing by putting cat under barrel. (Cf.
D2142.1.5.	) U.S.: Baughman.
G283.3.	Witch produces rain or snow. (Cf.
D2143.	)
G283.4.	Witch produces clear weather. U.S.: Baughman.
G284.	Witch as helper. Fb "heks” I 582; Icelandic: *Boberg; Spanish: Espinosa Jr. No. 76, 136, 140, 141, 178; Hindu: Tawney II 608; West Indies: Flowers 447.
D812.6.	Magic object received from witch,
G530.	Ogre's relative aids
N810.	Supernatural helpers.
G285.	Witches avoid religious ceremonies. Spanish: Espinosa Jr. No. 165. hero.   ## p. 310 (#328) ############################################  310 Motif-Index of Folk-Literature
G285.1.	At communion witches spit out wine over shoulder. Fb "heks" I 580.
G243.	Witch's sabbath. A meeting of witches in which church services are burlesqued.
G286.	Initiation into witchcraft. Icelandic: *Boberg; Danish: Kristensen Danske Sagn IV (1901) 144ff., (1936) 230ff.; India: *The son-Balys.
D1721.	Magic power from magician.
G286.1.	Women learn witchcraft by masking as men. Hence women are witches. India: Thompson-Balys.
K1837.	Disguise of woman in man's clothes.
G287.	Witches married to fairies. India: Thompson-Balys.
F300.	Marriage or liaison with fairy.
G288.	Witch escapes from locked room. India: Thompson-Balys.
G291.	Witch executed for engaging in witchcraft. England, U.S.: *Baughman.
G292.	Witch makes man engage in dangerous contests. N. A. Indian (Zuñi): *Benedict 345.
G299.	Other witch motifs.
G299.1.	Witch calls up spirits of dead, causes them to walk on water. (Cf.
E380.	) U.S.: Baughman.
G299.2.	Witch is heard struggling with devil. (Cf.
G303.6.2.2.	) England: Baughman. G300-
G399.	Other ogres.
