A1541.	Origin of religious feasts.
V52.10.	Prayers of devout woman free husband from death and im- prisonment. Spanish Exempla: Keller.
V52.11.	Prayer of sinner changes his color from black into white. Spanish Exempla: Keller.
V52.12.	The clever brothers work, the foolish brother only prays; finally he acquires all the property. Lithuanian: Balys Index No. 1666*.
V52.13.	Saint's Paternoster outweighs ox. Irish myth: Cross.
V52.14.	Reciting martyrology will prevent decomposition of body of one who recites it. Irish myth: Cross.
V52.15.	Prayer said by saint into his right hand restores displaced eye of opponent. Irish myth: *Cross
D996.	Magic hand.
D1331.	Magic object affects eyesight.
D1791.1.	Dextrorsum circuit.
E781.	Eyes successfully replaced.
V53.	Prayers of family comfort prisoner. Alphabet No. 298.
V53.1.	Prayer unfastens boy's fetters. (Cf.
R211.	) Hawaii: Beckwith Myth 345.
V55.	Man worships devil's image in order to secure advancement. Scala Celi 8b No. 56; Alphabet No. 50.
V57.	Purpose of prayer.
V57.1.	Prayer for good harvest. India: Thompson-Balys; Maori: Clark 32.
V57.2.	Prayer for shower of gold. India: Thompson-Balys.
V57.3.	Prayer on special occasions. Jewish: *Neuman.
V58.	Prayer as ceremony.
V58.1.	Prayers at sunrise and sunset. Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 143.
V58.2.	Prayer with face toward east. Irish myth: Cross.
V58.3.	Repeated circumambulations with prayer. India: Thompson- Balys.
V58.4.	Handwashing before prayer. Greek: Homer passim; Jewish: *Neuman.
V58.5.	Prayer shawl. Jewish: Neuman.   ## p. 440 (#444) ############################################  440 Motif-Index of Folk-Literature
V59.	Prayers answered-miscellaneous. India: *Thompson-Balys.
V59.1.	Skill in theft granted as answer to prayer. Africa (Duala): Le- derbogen JAS IV 64.
V60.	Funeral rites. *Encyc. Rel. Ethics Index 212a; Irish myth: *Cross; India: Thompson-Balys.
A1547.	Origin of funeral customs.
A1591.	Origin of burial.
E412.3.	Dead without proper funeral rites cannot rest in grave.
E431.	Precautions at funeral against revenant.
F268.	Burial among underworld folk.
V11.6.	Sacrifice to the dead.
V255.	Virgin Mary has dissolute monk buried in consecrated ground: his only mass is that of the Virgin.
V60.1.	Stones sold at funeral wakes. India: Thompson-Balys.
V60.2.	Funeral rites by druids. Irish myth: Cross.
V61.	Various ways of disposing of dead.
V61.1.	Dead placed on boat. Encyc. Rel. Ethics Index 79c, 545b; Fb "skib" III 243b; Icelandic: *Boberg. Cf. Beowulf.
V61.2.	Dead burned on pyre. (Cremation.) *Encyc. Rel. Ethics Index 143c; Icelandic: *Boberg; India: Thompson-Balys.
E431.13.	Corpse burned to prevent return.
E446.2.	Ghost laid by burning body.
P16.4.1.	Suttee.
T211.2.	Wife throws herself on husband's funeral pyre.
V61.3.	Coffin buried upright. Breton: Sébillot Incidents s.v. "cercueil".
V61.3.0.1.	Hero buried in armor, standing with face toward land of enemies. (Cf.
V67.	) Irish myth: *Cross.
V61.3.0.2.	Person buried in standing position with friends about him. Irish myth: Cross.
V61.3.0.3.	Man buried upright beneath kitchen stairway in order that he may watch his family. Icelandic: *Boberg.
V61.4.	Head buried one place, body another. Irish myth: Cross; Ice- landic: Boberg.
V61.4.1.	Corpse buried face down. (Cf.
S139.2.2.3.1.	) Irish myth: Cross.
V61.4.2.	Dismemberment before burial. Gaster Thespis 242.
V61.5.	King buried in his war car. Icelandic: *Boberg.
V61.6.	Christian buried in stone coffin. Icelandic: *Boberg.
V61.7.	Christian buried in wooden coffin. Icelandic: *Boberg.
V61.8.	Burial in grave-mound. Icelandic: *Boberg.
V61.8.1.	Chiefs buried in hidden caves. Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 224.
V61.9.	Lion buried in stone cave with gold letters. Icelandic: Boberg.
V61.10.	Corpses exposed in tree. Greek: Argonautica III 205.
V61.11.	Aversion to burial in "strange city". Irish myth: Cross.
V62.	Restrictions on burial.   ## p. 441 (#445) ############################################  V. Religion 441
V62.1.	Funeral rites forbidden. Irish myth: *Cross; Greek: Fox 53, Sophocles' "Antigone".
E341.1.	Dead grateful for having corpse ransomed.
Q456.0.3.	Burial alive as punishment for disobedience to king.
V62.2.	Only usurers to carry body of usurer to grave. Alphabet No. 793.
V63.	Bones of dismembered person assembled and buried. (Cf.
E30.	) Type 720; BP I 412ff., *422.
V64.	Money tied on corpse thrown overboard from ship in order to secure burial. Child III 342, IV 506.
V64.1.	Shipwrecked each get a piece of the chief's gold ring in order to have gold with them in death. Icelandic: *Boberg.
E431.11.	Coin placed in mouth of dead to prevent return.
V65.	Commemoration of death. Irish myth: Cross.
V65.1.	Calves kept separate from cows in commemoration of hero's death. Irish myth: Cross.
V65.2.	Drinking festival in memory of the dead. Icelandic: *Boberg.
V65.3.	Wedding and funeral festival on same time. Icelandic: *Boberg.
V65.4.	Professional mourning. Virgil Aeneid XI 37; Greek: Aeschylus Libation-Pourers 423; India: Thompson-Balys.
V65.4.1.	Funeral song sung over dead. *Hdwb. d. Abergl. VIII 1071ff.; *E. Reiner Die rituelle Totenklage der Griechen (Stuttgart, 1938); Irish myth: *Cross; Icelandic: Boberg.
A1543.1.	Origin of the death chant.
V65.5.	Funeral games. Virgil Aeneid V 66; Irish myth: *Cross.
V66.	Funeral sermon.
V66.1.	Witty funeral sermon. Priest having nothing good to say about man damns him with faint praise or gives anecdotes with unfavor- able implications. (Cf.
K1961.1.2.1.	) *Wesselski Arlotto I 216ff. No. 64.
V67.	Accompaniments of burial. (Cf.
V61.3.0.1.	) Irish myth: Cross.
V67.1.	Ornaments (arms, chariots) buried with hero. Irish myth: *Cross; Icelandic: *Boberg.
V67.2.	Shoes buried with the dead. Icelandic: MacCulloch Eddic 305.
V67.3.	Treasure buried with the dead. Icelandic: *Boberg.
V67.3.1.	King buried with immense treasure in the ground of an artifi- cially dried river; later the normal course of the river is restored. *Krappe "Les funérailles d'Alaric" Annuaire de l'institut de philo- logie et d'histoire orientales et slaves VII 229-40.
V67.4.	Men buried with dead chief. Icelandic: *Boberg.
P16.4.	Persons buried with dead king.
V67.4.1.	Captain buried with his crew. Icelandic: *Boberg.
V67.5.	Animals buried with the dead. Icelandic: *Boberg.
V68.	Preparations for burial. Irish myth: Cross; Icelandic: Lagerholm 33, *Boberg.   ## p. 442 (#446) ############################################  442 Motif-Index of Folk-Literature
V68.1.	Dead washed (in river). Irish myth: *Cross.
V68.2.	Dead washed and hair combed. Icelandic: Boberg.
V68.3.	Dying hero wants to be buried in the clothes of his brother who killed him. Icelandic: Boberg.
V68.4.	Dead is undressed. Icelandic: Göngu-Hrólfs saga 245.
V68.4.1.	Dead not to be buried naked. Jewish: Neuman.
V68.5.	Dead rubbed with red paint. Africa (Fang): Trilles 140.
V69.	Funeral rites-miscellaneous.
V69.1.	All dead are buried after battle. Icelandic: *Boberg.
V69.2.	Hero buried as unknown merchant in foreign country. Icelandic: Boberg.
V70.	Religious feasts and fasts. *Encyc. Rel. Ethics Index 198; Irish myth: *Cross; Jewish: *Neuman.
A1535.	Origin of secular feasts.
A1541.	Origin of religious feasts and fasts.
D1505.5.2.1.	Dew falling on St. John's Night restores sight.
E501.3.5.	Wild huntsman wanders for failure to keep fast day.
E501.11.1.3.	Wild hunt appears on St. John's Night.
E501.11.2.2.	Wild hunt appears between Christmas and Twelfth Night.
E501.11.2.3.	Wild hunt appears on feast-days.
V70.1.	The first day of summer. Icelandic: *Boberg.
V70.1.1.	Festival of Beltane (= May Day). Irish myth: *Cross.
V70.2.	Whitsuntide. Icelandic: *Boberg.
V70.3.	Midsummer. (Cf.
A1535.3.	) Irish myth: *Cross; Icelandic: Boberg.
V70.3.1.	Feast of Saint John the Baptist. Irish myth: *Cross.
V463.2.	First martyr: John the Baptist.
V70.4.	Harvest-festival. Icelandic: *Boberg.
V70.5.	Festival of Samhain (Hallowe'en, Tara [Temair]). Irish myth: *Cross.
A1535.4.	Origin of feast of Tara.
A1541.3.	Origin of Hallowe'en.
V70.6.	Festival of Imbolg (Brigit, Candlemas). Irish myth: *Cross.
V70.7.	Feast of the new moon. Jewish: Moreno Esdras (V74).
V70.8.	Festival of Cenn (Crom) Cruaich. Irish myth: *Cross.
S260.1.	Human sacrifice.
V1.6.4.1.	Sacred stones.
V11.3.	Sacrifice to stone (Cenn or Crom Cruaich).
V71.	Sabbath. *Encyc. Rel. Ethics Index 509c; Irish myth: *Cross; Jew- ish: Moreno Esdras (
V71.2.	), *Neuman.
C58.	Tabu: profaning sacred day.
C631.1.	Tabu: journeying on Sunday.
D1676.	Mill refuses to work on Sunday.
E501.3.6.	Wild huntsman wanders for hunting on Sunday.
V71.1.	Jewish automaton will not work on Saturday. *Dickson 212 n. 140.
V71.1.1.	Manna does not descend on Sabbath. Jewish: *Neuman.
V71.2.	Misfortune ascribed to breaking Sabbath. Irish myth: *Cross.   ## p. 443 (#447) ############################################  V. Religion 443
V71.3.	Various events, from creation to Resurrection, that occurred on Sabbath. Irish myth: Cross; Jewish: Neuman.
V72.	Christmas. *Encyc. Rel. Ethics Index 121b; *Hdwb. d. Abergl. IX 979ff., IX Nachträge 864-968; Irish myth: Cross; Icelandic: *Boberg.
B251.1.2.	Animals speak to one another at Christmas.
F971.5.2.	Apples at Christmas.
V72.1.	Little Christmas. Irish myth: Cross.
V73.	Fasts. Irish myth: Cross; Jewish: *Neuman.
V73.0.1.	Christ in the desert overcomes devil by fasting. Irish myth: Cross.
V73.1.	Fast to prevent pestilence. Irish myth: *Cross.
V73.2.	Fast improves health. Irish myth: Cross.
V73.3.	Saint causes two youths to be fed with the best food, says one is doomed to go to hell, the other will practice austerity in his old age. Irish myth: *Cross.
V73.4.	Fasting to secure a prosperous journey. Jewish: Moreno Esdras (
V74.	1).
V73.5.	Fasting on "Golden Fridays" as charm against certain misfor- tunes. Irish myth: *Cross.
V73.6.	Lent. Irish myth: Cross.
V73.6.1.	Christ's forty-days' fast called "His Lent". Irish myth: Cross.
V73.6.2.	Saint remains silent during Lent by holding stone in mouth. Irish myth: *Cross.
V73.6.3.	Holy man eats pork and beef in Lent because pig is raised on milk, ox on grass; but refuses to eat cake because it contains weevils (live meat). Irish myth: Cross.
V75.	Easter. Irish myth: *Cross.
B256.12.	Whale raises back so that voyaging clerics can land to cele- brate Easter.
V75.1.	Passover. Jewish: Moreno Esdras, *Neuman.
V80.	Religious services-miscellaneous.
V81.	Baptism. *Encyc. Rel. Ethics Index 61c; Irish: *Cross, Beal XXI 337, O'Suilleabhain 128; Icelandic: *Boberg; Jewish: *Neuman.
D587.	Transformation by baptism.
D741.2.	Disenchantment of monster child when baptized.
D1242.1.1.	Baptismal water as magic object.
D1766.3.	Magic powers from baptizing an animal,
E176.	Resuscitation in order to baptize.
E412.2.	Unbaptized person cannot rest in grave.
V241.4.	Angel baptizes saint.
V322.	Heretical baptism.
V81.1.	Girl having been stolen by mountain-folk must be baptized anew. *Fb "døbe" I 227.
V81.2.	Tails fall off mountain spirits when they are baptized. Fb "hale" IV 197b.
V81.3.	Metamorphosis brought about by baptism. Monster born of union of heathen ruler and Christian maiden becomes a handsome boy on being baptized. Italian Novella: Rotunda.   ## p. 444 (#448) ############################################  444 Motif-Index of Folk-Literature
V81.4.	Baptism of infants. Maori: Clark 185.
V81.5.	Sea bath as purificatory rite. Tahiti: Henry Ancient Tahiti (Ho- nolulu, 1928) 144; Hawaii: Beckwith Myth 152, 176.
V82.	Circumcision. (Cf.
F81.3.	) *Encyc. Rel. Ethics Index 126c; Spanish Exempla: Keller; Jewish: *Neuman.
V83.	Hymns. Irish myth: *Cross.
V84.	
D1275.3.	Magic hymn.
G303.16.2.4.	Devils driven away by hymn. Excommunication. *Encyc. Rel. Ethics Index 193b; Spanish Ex- empla: Keller; Jewish: *Neuman.
C95.	Tabu: giving security for one excommunicated.
E412.1.	Excommuni- cated person cannot rest in grave.
V84.1.	Lightning strikes excommunicated person who enters church. Scala Celi 85b No. 492.
V84.2.	Priest shows power of excommunication over host. It turns black. Scala Celi 85b No. 495; Herbert III 446 No. 17.
V84.3.	Pirate excommunicated, goes on pilgrimage as penance. Italian Novella: Rotunda.
V85.	Religious pilgrimages. (Cf.
V84.3.	) Chinese: Eberhard FFC CXX 186f.
V86.	Sign of the Cross. Encyc. Rel. Ethics VI 539b; Fb "kors" II 274; Scala Celi 67b-71b Nos. 373-404 passim.
D1766.6.	Magic results from sign of the cross.
E443.4.	Ghost laid by raising a cross.
G303.16.3.4.	Devil_made to disappear by making sign of the cross.
P441.2.	Tailoring only trade devil cannot learn. He fails to knot thread because it would make sign of the cross.
V86.1.	Sign of cross protects from injury.
V86.1.1.	Sign of cross prevents child from being stolen from cradle. Fb "kors" II 285f.
F321.	Fairy steals child from cradle.
V86.1.2.	Sign of cross prevents garment from burning. Alphabet No. 232.
V86.1.3.	Man dies because he has killed a man with the sign of the cross on his forehead. Köhler-Bolte I 382.
V86.2.	Martyr with sign of cross on his heart. (Cf.
V254.3.	) Herbert III 77, 416, 467, 487, 530; Scala Celi 69b No. 388; Alphabet No. 563.
V86.3.	Punishment for profane use of the cross. Drunkard kisses cross, thinking it is a bottle of wine. Pauli (ed. Bolte) No. 271.
V86.4.	Miraculous manifestations to scoffers of the cross. Alphabet. No. 230; English: Wells 97 (Chevalere Assigne), 89 (The Sege of Melayne).
V86.5.	Praying with arms extended so as to form a cross. Irish myth: *Cross.
V86.6.	Loaf bursts in oven because sign of cross has not been made over it. Irish myth: *Cross.
V86.7.	The seven significances of the sign of the cross. Irish myth: Cross.
V87.	Christening.
N811.	Supernatural godfather.
P296.	Godparents.   ## p. 445 (#449) ############################################  V. Religion 445
V88.	Ceremony of the proclamation of a Buddha. Chinese: Werner 271. Accidental calling on god's name held to outweigh a life of wicked- ness. Hindu: Keith 180.
V91.	
D1766.7.1.	Magic results produced in name of deity.
V92.	"Our Lady's Tumbler." A tumbler, turned monk, dances while others chant psalms. He is praising God in the only way he knows. *Herbert III 417; *Wicksteed Romania II 315; Romanische Forschun- gen XI 223.
V93.	Religious dancing. (Cf.
A1542.	) India: Thompson-Balys.
V96.	Ritual bathing. Jewish: *Neuman.
V96.1.	Taking bath in a sacred river (Ganges). India: Thompson-Balys.
V97.	Study of Tora as religious service. Jewish: *Neuman. V100-
V199.	Religious edifices and objects.
V100.	Religious edifices and objects. Irish myth: Cross.
V110.	Religious buildings. Irish myth: *Cross.
C51.1.	Tabu: profaning shrine.
C93.	Tabu: trespassing sacred precinct.
V111.	Churches. *Encyc. Rel. Ethics Index 123c; Irish: *Cross, Beal XXI 335, O'Suilleabhain 112.
B259.4.	Bees build church of wax to contain consecrated host.
C51.1.6.	Tabu: discontinuing use of a church.
D1314.1.4.	Magic arrow indicates place to build church.
D1314.10.	Fiery pillar guides person to church
D1389.1.	Magic stone protects church from oppression.
F531.3.2.1.	Church built where giants throw stones.
F531.3.3.	Giant astride a church-roof.
F531.3.6.	Giants carry a church across a stream.
F941.2.	Church sinks underground.
V246.1.	Angel tells saint where to build his church.
V111.1.	Visit to certain church protects from drowning on pilgrimage. (Cf. D1384,
D1388.	) Irish myth: Cross.
V111.2.	Stones for building church (chapel) miraculously supplied. (Cf.
D931.0.1.	) Irish myth: Cross; Icelandic: Boberg.
V111.3.	Place where a church must be built miraculously indicated. *Loomis White Magic 127f.
V111.3.1.	Birds indicate the site where a church is to be built by making a model of the structure on the spot. *Loomis White Magic 68.
B155.1.	Building site determined by halting of an animal.
V111.3.2.	Divine person points out site for church. United States: Baugh- man.
V112.	Temples. *Encyc. Rel. Ethics Index 591b; Jewish: *Neuman.
V112.0.1.	Ark of the temple. Jewish: *Neuman.
V112.1.	Spirit huts. Philippine (Tinguian): Cole 69; Hawaii: Beckwith Myth 112.
V112.2.	
V112.3.	Mosques.
D2136.2.1.	Mosque turns round in order to face in the true direction of Mecca after prayers of two saints. Synagogues. Jewish: *Neuman.   ## p. 446 (#450) ############################################  446 Motif-Index of Folk-Literature
V113.	Shrines. (Cf.
C51.1.	) *Encyc. Rel. Ethics Index 546a; Irish myth: *Cross; Missouri French: Carrière; Jewish: Neuman.
V113.0.1.	Miracles at shrine. India: Thompson-Balys.
V113.0.2.	Vow to visit shrine. India: Thompson-Balys.
V113.1.	Cripples at shrine frightened and run away without crutches. *Herbert III 21; *Crane Vitry 241f. No. 254.
V113.2.	Robbers promise to make offerings to the shrine of a hermit if successful. India: Thompson-Balys.
V114.	Sacred groves. *Frazer Golden Bough XII 293 s.v. "Grove(s), sacred"; Irish myth: *Cross.
A435.	God of trees and forests.
C51.2.2.	Tabu: cutting sacred trees or groves.
Z111.4.	Death excluded from sacred groves.
V114.1.	Sacred groves of druids. Irish myth: *Cross.
V115.	- Church bells. Encyc. Rel. Ethics Index 69a; Hdwb. d. Abergl. III 868ff.; E. Lippert Glockenläuten als Rechtsbrauch (Freiburg im Breisgau, 1939); *P. Sartori Das Buch von deutschen Glocken (Berlin, 1932). Irish myth: *Cross; Norwegian: Solheim Register 21.
A1466.	Origin of church bell.
D1213.	Magic bell.
D1610.15.1.	Church bell speaks.
D2141.1.1.	Church bell rung as protection against storm.
E434.1.	Hiding from ghosts under church bell.
F451.5.9.3.	Dwarfs dislike church bells.
G303.16.12.	Ringing of church bell causes devil to lose his power.
G304.2.4.1.	Trolls cannot endure church bells.
V115.1.	Church bell sunk in river (sea). (Cf.
F993.	) *Fb. "kirkeklokke" IV 260b; Wales, England: *Baughman; Finnish: Aarne FFC XXXIII 47 No. 88; Finnish-Swedish: Wessman 72 Nos. 608-11; Estonian: Aarne FFC XXV 135 No. 88.
V115.1.1.	Sunken bell travels on sea bottom. Finnish-Swedish: Wessman 72 No. 609.
V115.1.2.	Raising sunken church bell. Finnish-Swedish: Wessman 73 No. 620.
V115.1.3.	Sunken church bell cannot be raised. Finnish-Swedish: Wess- man 73 Nos. 612-22.
V115.1.3.1.	Church bell cannot be raised because silence is broken. (Cf.
C401.4.	) Finnish-Swedish: Wessman 72f. Nos. 612, 613, 619.
V115.1.3.2.	Church bell cannot be raised because person blasphemes. England: *Baughman.
V115.2.	Girl sold for new church bell. (Cf.
S210.	) England: Child I 91ff.
V115.3.	Devil buys church bell and demoralizes congregation. They have always come early before since they had no bell to announce the time. Now they wait for the bell. Pauli (ed. Bolte) No. 92.
V115.4.	What church bells say. Fb "kirkeklokke" IV 260A.
V116.	Altars. (Cf.
V135.	) *Encyc. Rel. Ethics Index 18a; Irish myth: *Cross; Jewish: *Neuman.
F1083.1.	Altar floats in air.
M101.1.	False swearer not allowed to approach altar.
R325.	Church (altar) as refuge.
V117.	Pulpits.
E434.2.	Hiding from ghosts in pulpit.   ## p. 447 (#451) ############################################  V. Religion 447
V118.	Monasteries. Irish myth: *Cross.
V118.0.1.	Hell as a monastery-the devil, abbot; sinners, monks. Irish myth: Cross.
V118.1.	Monastery on otherworld island. Irish myth: Cross.
V118.2.	Subaqueous monastery. Irish myth: *Cross.
V118.2.1.	Submarine oratory. Irish myth: *Cross.
V120.	Images. *Encyc. Rel. Ethics Index 271b; Irish myth: *Cross; Jew- ish: *Neuman.
D1268.	Magic statue.
D1311.7.	Oracular image.
D1658.1.	Objects repay kindness.
J1823.1.	Misunderstanding concerning images of Christ.
Q172.1.	Child taken to heaven: offers food to crucifix.
V256.2.	Miracles of healing performed before image of Virgin Mary.
V120.1.	Images and druids. Irish myth: Cross.
V121.	Miraculous image of Christ impressed on napkin. Veronica. Ward II 641 No. 20.
V122.	Image bars way of nun trying to escape convent to join lover. Wesselski Mönchslatein 74 No. 65.
V122.1.	Image of Jesus descends from cross and wounds nun leaving convent. Spanish Exempla: Keller.
V123.	Image blamed by suppliant for misfortunes. Type 1479**, *Wessel- ski Arlotto I 196 No. 23; Spanish Exempla: Keller; India: Thompson- Balys.
J1853.1.1.	Money from the broken statue. Fool sells goods to a statue and when it will not pay him knocks it to pieces.
V381.	Heathen beats his god because of misfortune.
V123.1.	God under compulsion: suppliant threatens to mutilate (crush) holy image if his wish is not fulfilled. India: Thompson-Balys.
V124.	Preacher criticizes the likeness of Christ exhibited in his church. Says that it is unworthy of the original. Italian Novella: Rotunda.
V124.1.	Saint hangs cowl in thornbrake as symbol of Christ on the Cross. Irish myth: Cross.
V125.	Casting of image of Buddha delayed until a maniac's mite is thrown into the furnace. Chinese: Werner 401.
V126.	Image of saint speaks. *Loomis White Magic 124.
V127.	Image of deity in wood (stone). (Cf.
V1.11.	) Hawaii: Beckwith Myth 111; Cook Islands: ibid. 131; Marquesas: Handy 122; Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 344.
V128.	Motions of various kinds attributed to images.
D1622.	Image indicates favor to suppliant.
D1622.1.	Crucifix bows as sign of favor.
D1622.2.	Image of Virgin bows to indicate favor.
D1623.1.	Image of Virgin veils and unveils itself.
D1624.1.	Image of Christ bleeds from thrown stone.
V128.1.	An apple is offered to a statue of the Virgin and her child. The infant reaches out and takes the fruit. *Loomis White Magic 124.
V128.2.	Portraits exude oil. *Loomis White Magic 124.
V130.	Other sacred objects connected with worship.   ## p. 448 (#452) ############################################  448 Motif-Index of Folk-Literature
V131.	Religious robes (vestments). *Encyc. Rel. Ethics Index 629c; Gaster Thespis 270f.; Jewish: *Neuman.
V131.1.	Sight of holy fringe on garment restrains a man from forni- cation and reforms the harlot. Gaster Exempla 192f. No. 35; Jewish: *Neuman.
T330.	Anchorites under temptation.
V131.2.	White robes of druids. Irish myth: *Cross.
V132.	Holy water. *Encyc. Rel. Ethics IV 61f.; Irish myth: *Cross; Ice- landic: *Boberg.
D1242.1.2.	Holy water as magic object.
H222.2.	Ordeal by holy water.
V132.1.	Holy water prevents a man from committing incest with his daughter. (Cf.
T411.	) Alphabet No. 523.
V132.2.	Holy water disperses demons. (Cf.
D1385.	) Irish myth: Cross.
V132.2.1.	Holy water removes mark placed on man's face by the devil. Spanish Exempla: Keller.
V132.3.	Drinking holy water facilitates cursing. Irish myth: Cross.
V133.	Holy candles. *Encyc. Rel. Ethics III 188ff.
A2012.1.	Creation of bee to provide wax for candles in church. -
V134.	Sacred wells. *Encyc. Rel. Ethics Index 640c; Fb "kilde" II 119: Namn och Bygd XXXIII (1945) 1ff. – Danish: Schmidt Danmarks Helligkilder (DF XXXIII); Irish myth: *Cross; England, Wales, Ire- land, U.S.: Baughman; Icelandic: *Boberg.
A427.1.	Goddess of springs and wells.
C261.	Tabu: drinking from certain fountain.
D926.	Magic well.
D1300.3.	Magic well of wisdom.
D1470.1.35.	Magic wishing well.
V134.0.1.	Tree beside holy well. Irish myth: *Cross.
V134.1.	Oracles and auguries from holy well. Irish myth: *Cross.
V134.2.	Offerings to holy wells. Irish myth: *Cross.
V134.3.	Fish in water from certain well: water refuses to boil till fish are returned to well. Irish myth: *Cross.
V134.4.	Ducks in pool in church: water in which they are placed refuses to boil till ducks are restored to pool. Irish myth: *Cross.
V135.	Altar cloths. (Cf.
F962.12.2.	) Irish myth: Cross.
V135.1.	Poverty-stricken couple wrap newly-born child in altar- coverings. Italian Novella: Rotunda.
V136.	Bible. Irish myth: Cross.
V136.1.	Copy of gospels buried with saint. Irish myth: Cross.
V137.	House of woman who launders clothes for church spared in great fire. Alphabet No. 76.
V140.	Sacred relics. **Saintyves Les réliques et les images légendaires (Paris, 1912); Encyc. Rel. Ethics Index 493a.
D1296.	Sacred relic as magic object.
F979.7.	Hollow in tree grows over, giving sanctuary to relics within.
K1976.	False miraculous relic.
M114.4.	Swearing on sacred relics.   ## p. 449 (#453) ############################################  V. Religion 449
V140.1.	
V140.2.	
V140.3.	Angel reveals (buried) relics to saint. Irish myth: *Cross.
D1810.5.	Magic knowledge from angel.
V232.7.1.	Angel brings cross as gift to saint. Saint's relics miraculously recovered. *Loomis White Magic 127f. A cow licks the stone under which the secreted body of saint is buried. *Loomis White Magic 62.
V140.4.	Testing the authenticity of relics: bones are cast into fire; with great noise they jump away from the flames. *Loomis White Magic 92.
V141.	Possession of relic brings prosperity, its loss sickness. Wesselski Mönchslatein 113 No. 96.
V142.	Devout possessor of false relics miraculously receives authentic ones. Alphabet Nos. 89, 402; Spanish Exempla: Keller.
V142.1.	Sham relics perform miracles if faith is great. India: *Thomp- son-Balys.
V143.	Saint's bones for lack of worship remove themselves from church. (Cf.
D1641.	) Alphabet No. 679.
V143.1.	Saint's bones miraculously removed from reliquary broken in pillage. Irish myth: Cross.
V143.2.	Relics (images) carried away return to their original church. *Loomis White Magic 48.
V144.	Belief in miraculous powers of sacred relics. Irish myth: Cross.
V144.1.	Sacred relics carried in battle to aid victory. Irish myth: Cross. The relics of saint protect horses from the attack of wild beasts. *Loomis White Magic 106.
V144.2.	
V150.	Sacred objects-miscellaneous.
D1171.6.	Magic cup.
D1446.3.	Shepherd's consecrated staff keeps cow from straying.
D1500.1.2.	Sacred healing stone.
D1500.1.15.1.	Consecrated heal- ing ring.
D1.10.3.	Money from offertory as cure.
E64.5.1.	Resuscitation by Holy Grail.
E163.	Man kept alive by consecrated sword.
E443.1.	Ghost laid by blessing grave.
V151.	Sacred writings. *Encyc. Rel. Ethics Index 530a; Irish myth: *Cross.
D1266.1.	Magic writings (gramerye, runes).
D1381.24.1.	Reading letter written by Christ protects against attack.
D1641.11.	Sacred scroll returns to heaven.
F962.13.4.	Written scroll received from heaven.
V151.1.	Captive released because of ability to recite beginning of Gene- sis. (Cf.
J1185.	) Gaster Exempla 193 No. 38.
V200.	Sacred persons.
V200.1.	V200-
V299.	Sacred persons.
A0.	Creator. A100-
A499.	Gods.
A2620.	Plants originate from experience of holy person.
D1648.1.2.	Tree bows down to holy person,
D2157.2.	Magic quick growth of crops. Reward for helping holy fugitive. K1811, Gods (saints) in disguise reward hospitality and punish inhospitality.
Q42.3.	Generosity to saint (god) in disguise rewarded.
Q46.1.	Reward for protecting holy fugitive. Flame illuminates cradle of sacred person. (Cf.
H41.4.	) Saintyves Saints Successeurs 247-48. 29 66   ## p. 450 (#454) ############################################  450 Motif-Index of Folk-Literature
V201.	God. *Encyc. Relic Ethics Index 223b.
A100.	Gods.
A2612.3.	God's tears become peas.
J2215.	Absurd reasoning about God.
V202.	Sacred spirits. Hawaii: *Beckwith Myth 104, 107, 108, 180, 382, 447, 512.
F400.	Spirits and demons.
V205.	Royal family as sacred.
P0.	Royalty and nobility.
P16.6.	Kings worshipped after their death.
V205.1.	Third son of king possesses sacred power. Easter Island: Mé- traux Ethnology 130.
V210.	Religious founders. Jewish: *Neuman.
V211.	Christ. *DeVooys Middelnederlandse Legenden en Exempelen (Den Haag, 1926) 129ff.; Spanish Exempla: Keller; Jewish: *Neuman.
A2221.3.	Markings on animals as recollections of Christ's life and suffer- ing.
A2287.	Jesus causes animal characteristics.
D1381.4.1.	Christ's coat of mercy protects Pilate from punishment.
D1851.4.	Immortality bestowed by Christ.
E121.2.	Resuscitation by Christ.
F621.2.1.	Antichrist a giant.
F955.	Miraculous cure for leprosy. Rage at hearing for first time of Christ's passion causes cure.
H1573.3.	Power of Christianity tested.
M363.1.	Coming of Christ (Christianity) prophesied.
Q25.	Reward for carrying Christ across a stream.
V234.2.	Angels sing on night of Christ's Nativity.
V235.1.	Angel announces birth of Christ to shepherds. Z177, Lamb as symbol of Christ.
V211.0.1.	Christ born from crown of Virgin's head. Irish myth: Cross.
V211.0.2.	Christ conceived on same day He was crucified. Irish myth: Cross.
V211.0.3.	Seventeen marvels at the birth of Christ. Irish myth: *Cross.
V211.0.4.	Christ as prophet. Irish myth: Cross.
V211.0.5.	Christ called "druid". Irish myth: *Cross.
V211.1.	The Nativity of Christ. Irish myth: Cross.
A941.5.0.2.	Wells break forth at birth of Christ.
A2221.1.	Animals blessed for honoring infant Jesus.
B251.1.	Animals rejoice at Christ's birth.
B251.10.	Animals lick Christ child.
F960.1.	Extraordinary nature pheno- mena at birth of holy person.
G303.16.19.10.	Devil exorcised at time of Christ's Nativity.
V211.1.1.	Air fragrant at Nativity. (Cf.
