X0.	Humor of discomfiture.
X756.	The mother trains the old maid to speak properly. Absurd results. Types 1485*, 1486*.
H360.	Bride test.
K1984.	Girls keep up appearances to deceive suitors as to their desirability.
X131.	The wry-mouthed family.
X760.	Jokes on courtship.
H360.	Bride test.
K1984.	Girls keep up appearances to deceive suitors as to their desirability.
T50.	Wooing. X800-
X899.	Humor based on drunkenness.
X800.	Humor based on drunkenness. Irish myth: *Cross; Icelandic: Bo- berg.
J1320.	Repartee concerning drunkenness.
J2311.10.	Drunken man insists that he be beheaded.
X811.	Drunk man lying under his bed thinks he is lying in his shroud. Is cured of drunkenness. Type 835*.
X812.	Drunk man goes to the king and wants to buy an island. Type 1671*.
X813.	Drunk man at the wedding. Goes to sleep and never reaches it, though at home he praises the wedding. Type 1705*.
X814.	Drunk men try to see one another home. Absurd results. Pauli (ed. Bolte) No. 238.
X815.	Drunk man sees everything revolving and waits for his house to come to him. *Wesselski Hodscha Nasreddin II 236 No. 520.
X816.	Drunk woman thinks she is in heaven. Hears someone play the lyre. Italian Novella: Rotunda.
X818.	Drunk recruits make war on a haystack. Italian Novella: Ro- tunda.
J2613.	Surrender to the rake.
X821.	Drunken volunteer firemen bungle their work. U.S.: Baughman. 33*   ## p. 516 (#520) ############################################  516 Motif-Index of Folk-Literature X900
X1899.	HUMOR OF LIES AND EXAGGERATION 1
X900.	Humor of lies and exaggeration. *Types 1875-1999; *Fb "løgn" II 513b; Irish myth: Cross.
F647.	Marvelous sensitiveness.
H342.1.	Suitor test: forcing princess to say, "That is a lie."
X901.	One lie a year. A man who tells but one lie a year is believed because of his general truthfulness. Amusing results. Chauvin V 278 No. 161; *BP II 371, 509; Köhler-Bolte I 322; India: Thompson- Balys; Africa (Vai): Ellis 239 No. 46. 1 X900-X1099 has been reorganized as follows: Old Number New Number Old Number X900 X900
X961.	7 X901 X901
X961.	8 New Number
X1235.	4 X1561 X905 X905
X961.	9
X1547.2.	1
X905.	1
X905.	1
X961.	10
X1156.	1 X910 X900
X961.	11
X1267.	2 X911
X1133.	3
X961.	12 X1855
X911.	1
X1124.	2
X961.	13
X1244.	1
X911.	2
X1133.	4
X961.	14
X1252.	1
X911.	3
X1133.3.	2
X961.	15
X1294.	1
X911.	4
X1204.	1
X961.	16
X1226.	1 X912
X1267.	1
X961.	17
X1727.	1 X913 X1852
X961.	18 X1856
X913.	1
X1854.	1
X961.	19
X1215.	12 X914 X1853
X961.	20
X1241.2.	3 X915 X1851
X961.	21
X1244.	2 X916
X1258.	1
X961.	22
X1235.	5 X917
X1731.2.	1
X961.	23
X1208.	2 X918
X1737.1.	1
X961.	24
X1741.	4 X921 X1110
X961.	25
X1342.	3
X921.0.	1
X1110.	1
X961.	26 X1857
X921.	1
X1124.	3
X961.	27
X1472.	1
X921.	2
X1115.	1
X961.	28 X1858
X921.	3
X1241.2.	2
X961.	29
X1739.	2
X921.	4 X1111
X961.	30
X1856.	1
X921.	5 X1112
X961.	31
X1856.	2
X921.	6
X1114.	1
X961.	32
X1242.0.1.	1
X921.	7
X1124.	4
X961.	33 X1791
X921.	8
X1124.	1
X961.	34
X1344.	1
X921.	9
X1723.	2
X961.	35
X1345.	1
X921.	10
X1723.1.	2
X961.	36
X1211.	1
X921.	11 X1114
X961.	37
X1256.	1 X922
X1132.	1 X1021 X1201 X923
X1130.2.	1
X1021.	1 X1237 X924
X1606.2.	1
X1021.	2
X1244.	3 X925 X908
X1021.	3
X1282.	1 X926
X1204.	2
X1021.	4
X1233.1.	2 X927
X1726.	1
X1021.	5
X1342.1.	1
X927.	1
X1726.	2
X1021.	6
X1241.	1 X928 X1861
X1021.	7 X931
X1233.4.	1 X1022 X1301
X1150.	1 X935
X1721.	1 X1024 X1401 X936
X1216.	1
X1024.	1
X1423.	1 X938 X1862
X1024.	2
X1411.	1 X941
J2349.	4
X1024.	3 X1424 X944
X1653.	3 X1025 X1411 X950 X1503
X1025.	1
X1411.	4
X950.	1 X1712 X1031
X1061.	1
X950.	2
X905.	2 X1033
X1030.	1
X950.	3
X905.	2
X1033.	1 X1031 X951 X1506
X1033.	2
X1036.	1 X952 X1505 X1035
X1031.1.	1 X953 X1863 X1036 X1813
X961.	1
X1547.	2 X1037 X1866
X961.	2 X1757 X1038
X1811.	1
X961.	3
X1796.	1 X1041 X920
X961.	4 X1864 X1045 X1071
X961.	5
X1528.	1
X1049.	1
X1296.	1
X961.	6
X1817.	1 (Cross)   ## p. 517 (#521) ############################################  X. Humor 517
X902.	Liar comes to believe his own lie. He tells a lie so often that he believes it himself. (Cf.
X611.	) U.S.: Baughman.
X903.	Lie used as catch tale. (Cf.
Z13.	) Type 2200; U.S.: Baughman.
X904.	The teller reduces the size of his lie.
X904.1.	The liar reduces the size of his lie when his brother steps on his toes to remind him of his lying habits. U.S.: *Baughman.
X904.2.	Liar reduces the size of his yarn when challenged. U.S.: Baugh- man.
X905.	Lying contests. Italian Novella: Rotunda; India: *Thompson-Balys; Japanese: Ikeda.
K455.7.	Greatest liar to get his supper free. Wager. Each lie is corrobora- ted by a confederate, who poses as a newly arrived stranger.
X905.1.	Master brought to say, "You lie!" Type 1920C; Lithuanian: Balys Index No. 1920D*; Russian: Andrejev No. 1920D*; Prussian: Plenzat 78; Estonian: Aarne FFC XXV 119 No. 27; Livonian: Loorits FFC LXVI 51 No. 89; India: *Thompson-Balys.
H507.2.	Test: making senseless remarks.
K172.	Anger bargain.
X905.2.	Greatest liar made king of Schlaraffenland. (First ed.
X950.3.	) (Cf.
X1503.	) BP II 507.
X905.3.	Claim of property based on unusual lie. India: Thompson-Balys.
X905.4.	The liar: "I have no time to lie today"; lies nevertheless. Type 1920B; India: Thompson-Balys; Chinese: Eberhard FFC CXX 308ff. No. 18, FFC CXXVIII 260ff. No. 160.
X905.4.1.	Boy to deceive his uncle: induces uncle to climb tree before deception begins: this is the deception. Chinese: Graham.
X905.	Would not lie for a trifle. Liar tells of shooting large number of animals with one shot (an odd number, usually 99). When asked why he did not make it a round number (or an even hundred), he replies indignantly that he would not lie for one pigeon (rabbit). U.S.: *Baughman.
X907.	Man has servant corroborate his lies. Rewards him poorly. Servant exposes him. Italian Novella: *Rotunda.
J2464.	Servant to improve on master's statements.
X907.1.	The second liar corroborates the lie of the first. Canada, U.S.: Baughman.
K451.	Unjust umpire as trickster's confederate.
K455.7.	Greatest liar to get his supper free.
M92.	Decision left to first person to arrive.
X908.	Lie: sea has burned up. (Often with answer: "Many fried fish.") (First ed.
X925.	) Type 1920A; *BP II 371; Fb "vesterhav" III 1042b, “å" III 1187b; Indonesian: DeVries Volksverhalen II 377.
X909.	Other stories about liars.
X909.1.	The incorrigible liar. U.S.: *Baughman.
X909.1.1.	Church member who has been called to task about his lying habits tells another lie in expressing his concern for his weakness. He says he has shed barrels of tears because of his weakness. U.S.: *Baughman.
F1051.1.	Barrel filled miraculously with penitent's tears.   ## p. 518 (#522) ############################################  518 Motif-Index of Folk-Literature
X909.2.	The liar outdoes the tricksters who try to catch him in a lie. He continues the lie the tricksters have made up to catch him. (Cf. K306,
L142.1.	) U.S.: Baughman. X910-
X1099.	Lie: the remarkable man. X910-
X959.	LIE: THE REMARKABLE MAN - HIS BIRTH, GROWTH, DEATH, PHYSICAL POWERS, STRENGTH
X910.	Lie: the remarkable man. (Cf. F500-
F599.	) For bibliography of American hero material see Harold Felton Legends of Paul Bunyan (New York, 1947).
X911.	Lie concerning birth of hero. U.S.: *Baughman.
X912.	Lie concerning babyhood and boyhood of hero. England, U.S.: *Baughman.
F611.3.2.	Hero's precocious strength.
X913.	Lie: death of extraordinary man. U.S.: *Baughman.
X916.	Lie: persons with remarkable bodily parts. U.S.: *Baughman.
X920.	Lie: the large man. (First ed.
X1041.	) *Type 852; BP II 516.
F531.	Giant.
F610.	Remarkably strong man.
X921.	Lie: remarkably tall person. England, U.S.: *Baughman.
F533.	Remarkably tall man.
G152.1.	Giant with tree for herding stick.
X922.	Lie: great weight of large person. U.S.: *Baughman.
X923.	Lie: great girth of large person. U.S.: *Baughman.
X924.	Lie: remarkably thin persons. U.S.: *Baughman.
X930.	Lie: remarkable person's physical powers and habits.
X931.	Lie: remarkable eater. England, U.S.: *Baughman.
F531.3.4.	Giant eats a prodigious amount.
F632.	Mighty eater.
X1031.	The great kitchen.
X1032.	The great dining quarters.
X932.	Lie: remarkable drinker. (Cf.
F633.	) U.S.: *Baughman.
X933.	Lie: remarkable chewer. U.S.: *Baughman.
X934.	Lie: remarkable spitter. (Cf.
F635.	) Canada, U.S.: *Baughman.
X935.	Lie: remarkable blower. (Cf.
F622.	) U.S.: *Baughman.
X936.	Lie: person with remarkable hearing. (Cf.
F641.	) U.S.: *Baughman.
X937.	Lie: person with remarkable voice. (Cf.
F556.	) U.S.: *Baughman.
X938.	Lie: person of remarkable sight. (Cf.
F642.	) U.S.: *Baughman.
X939.	Lie: other motifs pertaining to extraordinary senses or bodily powers. U.S.: *Baughman.
X940.	Lie: remarkably strong man.
X941.	Remarkable lifter. (Cf.
F624.	) Canada, England, U.S.: *Baugh- man.
X941.1.	Whole village lifted. India: Thompson-Balys.   ## p. 519 (#523) ############################################  X. Humor 519
X941.2.	Fight on old woman's hand. India: Thompson-Balys.
X941.3.	Elephant (camel) put in pocket as a curiosity to show friends. India: Thompson-Balys.
X941.4.	Wind blows group of persons into woman's eye. India: Thomp- son-Balys.
X942.	Lie: remarkable carrier. (Cf.
F631.	) Canada, England, U.S.: *Baugh- man.
X942.1.	Lie: man ties up 700 camels in a corner of his sheet. India: Thompson-Balys.
X943.	Lie: remarkable thrower. (Cf.
F636.	) England, U.S.: *Baughman.
X943.1.	Beautiful girl seated on large lotus flower holding big elephant in each hand which she devours and throws off alternately. India: Thompson-Balys.
X943.1.1.	Lie: child throws out elephant's carcass. India: Thompson- Balys.
X944.	Lie: remarkable catcher. U.S.: Baughman.
X945.	Lie: remarkable hitter or striker. U.S.: *Baughman.
X946.	Lie: remarkable breaker. (Cf.
F625.	) U.S.: *Baughman.
X947.	Lie: remarkable bender. U.S.: *Baughman.
X948.	Lie: remarkable twister. U.S.: *Baughman.
X951.	Lie: remarkable squeezer. (Cf.
X955.	) U.S.: *Baughman.
X952.	Lie: remarkable pincher. Hero marks logs by pinching a piece out of end of each one. U.S.: Baughman.
X953.	Lie: strong puller. U.S.: *Baughman.
X953.1.	Man draws sixty (300) carts of wood. India: Thompson-Balys.
X954.	Lie: remarkable pusher. U.S.: *Baughman.
X955.	Lie: remarkable killer. (Cf.
X945.	) U.S.: *Baughman.
X958.	Lie: hero responsible for topographical features (lakes, rivers, etc.). (Cf.
A901.	) Canada, England, U.S.: *Baughman.
X959.	Lie: other strong physical reactions.
X959.1.	Lie: hero breaking wen causes wall to fall down. (Cf.
D1562.	3,
F610.	) Korean: Zong in-Sob 67 No. 37. X960-
X1019.	LIE: REMARKABLE PERSON'S SKILLS
X960.	Lie: remarkable person's skills.
X961.	Lie: extraordinary bodily skills.
X964.	Lie: remarkable swimmer. U.S.: *Baughman.
X965.	Lie: remarkable diver. U.S.: Baughman.
X966.	Lie: remarkable jumper. U.S.: Baughman.   ## p. 520 (#524) ############################################  520 Motif-Index of Folk-Literature
X967.	Lie: remarkable kicker. U.S.: *Baughman.
X971.	Lie: remarkable oarsman. U.S.: *Baughman.
X972.	Lie: remarkable fighter. U.S.: *Baughman.
X973.	Lie: remarkable wrestler. U.S.: *Baughman.
X980.	Lie: occupational or professional skill.
X1084.	Lie: remarkable oil drilling operator.
X1120.	Lie: the great marks- man.
X982.	Lie: remarkable smith. (Cf.
F663.	) U.S.: *Baughman.
X983.	Lie: skillful flayer. Man skins buffalo alive, turns them loose to grow new skins. (Cf.
F664.1.	) Type 654; U.S.: *Baughman.
X986.	Lie: skillful axe-man. (Cf.
F666.	) Ireland, U.S.: *Baughman (X986 and
X1796.	3).
X986.1.	Axe of wax cuts jungle. India: Thompson-Balys.
X987.	Lie: remarkable logger. U.S.: *Baughman.
X991.	Lie: remarkable rock driller. (John Henry.) Engages in contest with steam drill; he wins the contest but dies in the attempt. U.S.: *Baughman.
X994.	Lie: remarkable carpenter. Ireland, U.S.: *Baughman.
X1001.	Lie: remarkable thresher. U.S.: *Baughman.
X1002.	Lie: remarkable user of whip. U.S.: Baughman.
X1003.	Lie: remarkable roper. U.S.: *Baughman.
X1004.	Lie: remarkable rider.
X1004.1.	Lie: man rides unusual riding animal (lion, deer, etc.). (Cf.
B557.	) U.S.: *Baughman.
X1004.2.	Lie: man rides cyclone. U.S.: *Baughman.
X1005.	Lie: remarkable cook. U.S.: *Baughman.
X1031.	The great kitchen.
X1010.	Lie: remarkable mental skills.
X1011.	Lie: the great inventer. U.S.: *Baughman.
X1012.	Lie: person displays remarkable ingenuity or resourcefulness. U.S.: *Baughman.
X1012.1.	Lie: axes ground on boulders rolling down hill. U.S.: *Baugh- man. X1020-
X1079.	REMARKABLE MAN'S EXTRAORDINARY POSSESSIONS
X1020.	Lie: remarkable possessions of remarkable man.
X1021.	Lie: remarkable clothing of remarkable man. England, U.S.: *Baughman.
F820.	Extraordinary clothing and ornaments.
X1021.1.	Lie: remarkable bouncing rubber boots (or the like). U.S.: *Baughman.   ## p. 521 (#525) ############################################  X. Humor 521
X1022.	Lie: other extraordinary personal effects of remarkable person. U.S.: *Baughman.
X1023.	Lie: extraordinary equipment of remarkable man. U.S.: *Baugh- man.
X1024.	Lie: extraordinary tools of remarkable man. U.S.: *Baughman.
X1025.	Lie: extraordinary machinery of remarkable man. Canada, U.S.: *Baughman.
X1030.	Lie: remarkable buildings. U.S.: *Baughman.
F770.	Extraordinary buildings and furnishings.
X1030.1.	The great building. (First ed.
X1033.	) Type 1960E.
X1031.	Lie: the great kitchen. (First ed.
X1033.1.	) Chauvin VII 57 No. 77; U.S.: *Baughman, *Folk-Say I 62.
X1031.1.	Lie: remarkable equipment in big kitchen. U.S.: *Baughman.
X1031.1.1.	Lie: The great kettle. (First ed.
X1035.	) Type 1960F.
X1031.2.	Lie: help in big kitchen. U.S.: *Baughman.
X1031.3.	Lie: remarkable cooking in big kitchen. U.S.: *Baughman.
X1031.4.	Lie: remarkable baking in big kitchen. Canada, U.S.: *Baugh- man.
X1031.4.1.	Lie: skating with bacon to grease griddle in big kitchen. U.S.: *Baughman.
X1031.5.	Lie: other extraordinary foods from great kitchen. U.S.: *Baugh- man.
X1031.6.	Lie: remarkable food preferences. French loggers prefer pea soup for all three meals. U.S.: Baughman.
X1031.7.	Lie: extraordinary piles of garbage from great kitchen. U.S.: *Baughman.
X1032.	Lie: the great dining quarters (Paul Bunyan tales). U.S.: Baugh- man.
X1033.	Lie: the great bunkhouse. U.S.: *Baughman.
X1035.	Lie: the great hotel. U.S.: *Baughman.
X1036.	Lie: the great stable. India: Thompson-Balys.
X1036.1.	Lie: the great stable: distance to stall. Cow has calf and the calf grows up and has calf before it can reach its stall. (First ed.
X1033.2.	) Fb "stald" III 534a.
X1060.	Lie: other possessions of remarkable man. (Cf. X1215 [dog], X1235 [cow], X1237 [ox]).
X1061.	Lie: great boat or ship of remarkable man. (Cf.
F861.	)
X1061.1.	Remarkable size of great ship. (First ed.
X1031.	) Type 1960H; BP II 516; U.S.: *Baughman.
X1070.	Extraordinary man's family.   ## p. 522 (#526) ############################################  522 Motif-Index of Folk-Literature
X1071.	The big wedding. Giant with sixty daughters. (First ed.
X1045.	) Type 1961.
X1080.	Lie: occupations of remarkable man. (Cf.
X980.	)
X1081.	Lie: remarkable logging operations. U.S.: *Baughman.
X1082.	Lie: remarkable manufacturer.
X1082.1.	Lie: remarkable sawmill operator. U.S.: *Baughman.
X1082.2.	Lie: remarkable dairyman. U.S.: Baughman.
X1083.	Lie: remarkable steel worker. U.S.: Baughman.
X1084.	Lie: remarkable oil drilling operator. U.S.: Baughman (X988 and X1084). X1100-
X1199.	LIE: GREAT HUNTERS AND FISHERMEN
X1100.	Lie: the remarkable hunter.
X1110.	The wonderful hunt. (First ed.
X921.	) *Types 1890-1909; Wesselski Märchen 226f.; Indonesia: DeVries's list No. 312.
N620.	Accidental success in hunting or fishing.
X1110.1.	The unlucky hunt. (First ed.
X921.0.1.	) Indonesia: DeVries's list No. 313.
N300.	Unlucky accidents.
X1111.	Hunter shoots ram-rod full of ducks. (First ed.
X921.4.	) Type 1894.
X1112.	Hunter catches fish in boots while wading. (First ed.
X921.5.	) Type 1895.
X1114.	Man lays bag by fencehole and all the hares run into it. (First ed.
X921.11.	) Type 1893.
H1024.3.	Task: chasing a hare into every trap in a high tree.
X1114.1.	Two hares run into each other and are caught. (First ed.
X921.6.	) Type 1895*.
X1114.2.	Tiger lies in water with mouth open: cat drives fish in. India: Thompson-Balys.
X1115.	Large bag of frozen raccoons taken by hunter. (Cf.
X1130.3.	) U.S.: Baughman.
X1115.1.	The rabbit-catch: rabbits freeze feet fast to ice at night. (First ed.
X921.2.	) Type 1891.
X1116.	The breathing tree. Hunter cuts down tree packed full of animals. The tree is so full of animals that a crack in tree opens as animals inhale, closes when they exhale. U.S.: *Baughman.
X1119.	Miscellaneous stories of plentiful game.
X1119.1.	Lie: thick flock of birds. U.S.: Baughman.
X1119.2.	Lie: remarkable bag of deer. U.S.: *Baughman.
X1120.	Lie: the great marksman. (Cf.
F661.	) U.S.: Baughman (X1120 and X981).   ## p. 523 (#527) ############################################  X. Humor 523
X1121.	Lie: the great marksman's remarkable gun. U.S.: *Baughman.
X1122.	Lie: hunter with remarkable marksmanship.
X1122.1.	Lie: hunter shoots projectile great distance. England: Baugh- man.
X1122.2.	Lie: person shoots many animals with one shot. Canada, U.S.: *Baughman.
X1122.3.	Lie: ingenious person bends gun barrel to make spectacular shot. Canada, U.S.: *Baughman.
X1124.	Lie: the hunter catches or kills game by ingenious or unorthodox method. (Cf.
X1132.	) Canada, U.S.: *Baughman.
X1124.1.	Shooting off the leader's tail. (First ed.
X921.8.	) An old blind bear is being led by a young bear, whose tail the old bear has in his mouth. The hunter shoots off the young bear's tail and seizes it. Thus leads the old bear home. Pauli (ed. Bolte) No. 748; U.S.: *Baughman.
X1124.2.	Hunter turns animal inside out. He reaches down animal's throat, grasps his tail, and turns him inside out. (First ed.
X911.1.	) Wesselski Bebel II 137 No. 115; U.S.: *Baughman.
X1124.3.	Accidental discharge of gun kills much game. Gun kills a bird which falls on loose limb of tree, which falls on bear, etc., etc. (First ed.
X921.1.	) Type 1890; American Negro (Georgia): Harris Friends 154 No. 21.
Z20.	Cumulative tales.
X1124.3.1.	Gunshot splits limb and catches feet of birds. Type 1890.
X1124.4.	Hunting wolves with rod and line. (First ed.
X921.7.	) Type 1896*.
X1130.	Lie: hunter's unusual experiences. Canada, U.S.: *Baughman.
X1130.1.	Game rolls down hill in snow; snowball builds up around game, keeps it fresh and protected until used. U.S.: *Baughman.
X1130.2.	Fruit tree grows from head of deer shot with fruit pits. Com- pare Münchhausen (1944) 32 (cherry tree). Canada, U.S.: *Baughman; India: Thompson-Balys.
X1130.2.1.	Tree grows out of horse and gives rider shade. (First ed.
X923.	) Fb "træ" III 868a.
X1130.3.	Water of stream or lake freezes just as frogs jump into lake. The frogs are caught in the ice. Canada, U.S.: *Baughman.
X1132.	Ingenious skinning of animal.
X1132.1.	The nailed wolf's tail. Wolf's tail nailed to tree. Wolf runs away and leaves his skin hanging. (First ed.
X922.	) Type 1896; U.S.: *Baughman.
X1133.	Lie: the hunter in danger.
X1133.1.	Lie: man uses remarkable means of getting out of tree stump. Type 1900; U.S.: *Baughman.
X1854.	Man in hollow tree defends himself successfully from leopard and bear.   ## p. 524 (#528) ############################################  524 Motif-Index of Folk-Literature
X1133.2.	Man escapes from bear by running for a long time, from sum- mer to winter. Bear chases man in July; he finally crosses a river on the ice. The bear falls in or stops following (in December). U.S.: *Baughman.
X1133.3.	Man in barrel grabs wolf by the tail and is drawn out of danger. (First ed.
X911.	) *Type 1875; Köhler-Bolte I 410; *Fb "tønde” III 935a, "ræv" III 114a.
X1133.3.1.	Animal unwittingly puts tail into man's hands and is caught. India: *Thompson-Balys.
X1133.3.2.	If the wolf's tail breaks. Trickster and companion are wolf hunting. The companion goes into the wolf hole. The wolf comes. The other catches the wolf by the tail and the wolf scratches dust into the companion's eyes. "What a dust." "If the wolf's tail breaks, you will see another kind of dust!" (First ed.
X911.3.	) Wesselski Hodscha Nasreddin I 216 No. 48; West Indies: Flowers 585.
X1133.4.	Man escapes from bee's nest on bear's tail. (First ed.
X911.2.	) Type 1900.
X1133.5.	Tigers stand on each other's heads trying to reach man in tree. His tears form a stream. India: Thompson-Balys.
J2133.6.	Wolves climb on top of one another to tree.
X1150.	Lies about fishing. (Cf.
X1300.	)
X1150.1.	The great catch of fish. (First ed.
X1022.	) Type 1960C.
X1151.	Lie: large number of fishermen in one spot. U.S.: Baughman.
X1153.	Lie: fish caught by remarkable trick. U.S.: *Baughman.
X1154.	Lie: unusual catch by fisherman.
X1154.1.	Fisherman catches fish with amazing contents. Canada, U.S.: *Baughman.
N211.1.	Lost ring found in fish.
X1154.1.1.	Man catches fish with larger fish inside. U.S.: *Baughman.
X1156.	Lie: other unusual methods of catching fish. U.S.: Baughman.
X1156.1.	Lie: fish caught with another's cries. (First ed.
X961.10.	) Type 1930; BP III 244ff. X1200-
X1399.	LIES ABOUT ANIMALS
X1200.	Lie: remarkable animals. Types 1875-1910.
X1201.	Lie: the great animal. (First ed.
X1021.	) Types 852, 1960A.
B31.6.	Giant birds.
B870.	Giant animals.
X1202.	Lie: animals inherit acquired characteristics or conditions. Ca- nada, U.S.: *Baughman.
X1202.1.	Small cart serves as back legs for crippled sow. Pigs also have these carts. U.S.: *Baughman.
X1203.	Lie: animal's food affects him in unusual way. (E.g. Pine tops: milk good for cough syrup.) U.S.: *Baughman.
X1204.	Lie: animals eat one another up. U.S.: *Baughman.   ## p. 525 (#529) ############################################  X. Humor 525
X1204.1.	Two wolves eat each other up so that only tails are left. (First ed.
X911.4.	) *Fb “hale" IV 197b.
X1204.2.	Lie: two birds swallow each other. (First ed.
X926.	) Africa (Vai): Ellis 239 No. 46.
X1205.	Lie: venom of animal (snake, hornet, bee) causes object to swell. U.S.: *Baughman.
X1205.1.	Snake strikes object, causing it to swell. Canada, U.S.: *Baugh- man.
B765.11.	Snake's venom kills tree.
X1206.	Lies: animals trained to respond to certain sounds: absurd result. U.S.: *Baughman.
X1208.	Animals already cooked for eating.
X1208.1.	Roast pigs run around with knife and fork in back ready for eating. U.S.: Baughman.
X1208.2.	Lie: roast hens fly, heads to sky, tails to ground. (First ed.
X961.23.	) Type 1930; BP III 258.
X1210.	Lies about mammals.
X1211.	Lies about cats. U.S.: *Baughman.
X1211.1.	Lie: cat scratches out bear's tongue. (First ed.
X961.36.	) Type 1930; BP III 244ff.
X1211.2.	Lie: crippled cat uses wooden leg to kill mice. U.S.: *Baugh- man.
X1212.	Lies about wildcats. U.S.: *Baughman.
X1213.	Lies about panthers. U.S.: Baughman.
X1215.	Lies about dogs. U.S.: *Baughman.
X1215.1.	Dog and other animal chase each other in hot weather. Canada, U.S.: *Baughman.
X1215.2.	Lie: large dog. U.S.: *Baughman.
X1215.3.	Lie: small dog. U.S.: Baughman.
X1215.4.	Lie: weak dog. U.S.: *Baughman.
X1215.5.	Lie: tough dog. U.S.: Baughman.
X1215.6.	Lie: ferocious dog. Canada, U.S.: *Baughman.
X1215.7.	Lie: fast dog. U.S.: *Baughman.
X1215.8.	Lie: intelligent dog. England, U.S.: *Baughman.
X1215.9.	Lie: obedient or dutiful dog. U.S.: *Baughman.
X1215.10.	Lie: dog with remarkable scent. U.S.: *Baughman.
X1215.11.	Lie: the split dog. Put back together but back legs point up- wards. Canada, England, U.S.: *Baughman.
X1215.12.	Lie: greyhounds drag mill out of water. (First ed.
X961.19.	) Type 1930; BP III 244ff.   ## p. 526 (#530) ############################################  526 Motif-Index of Folk-Literature
X1216.	Lies about wolves. Canada, U.S.: *Baughman.
X1216.1.	The wolf harnessed. Eats the horses, is harnessed and runs in the harness. (First ed.
X936.	) *Type 1910.
X1221.	Lies about bears. Canada, U.S.: *Baughman.
X1224.	Lies about chipmunks.
X1224.1.	Lie: the big chipmunk. U.S.: *Baughman.
X1226.	Lies about mice. U.S.: Baughman.
X1226.1.	Lie: mice consecrate bishop. (First ed.
X961.16.	) Type 1930; BP III 244ff.
X1227.	Lies about rats. U.S.: *Baughman.
X1233.	Lie: extraordinary hog. Ireland, U.S.: *Baughman.
X1233.1.	Lie: large hog.
X1233.1.1.	Lie: large boar has bristles as long as pitchfork tines. Eng- land, Scotland: *Baughman; Lithuanian: Balys Index No. 1879*.
X1233.1.2.	The great wild-boar. Tusks go through tree and come out on other side. (First ed.
X1021.4.	) *Wesselski Bebel II 137 No. 114.
X1233.2.	Lie: tough hog.
X1233.2.1.	Hog finds dynamite supply, eats it, walks behind mule; the mule kicks the hog. The explosion kills the mule, blows down the barn, breaks windows out of house. The hog is ill for several days. U.S.: *Baughman.
X1233.3.	Lies about thin hogs. U.S.: *Baughman.
X1233.4.	Miscellaneous lies about hogs.
X1233.4.1.	Lie: salesman guarantees sow to bear male, then female, then kid. (First ed.
X931.	) Wienert FFC LVI 84 (ET 506), 104 (ST 167); Halm Aesop No. 11.
X1235.	Lie: remarkable cow. U.S.: *Baughman.
X1235.1.	Large cow. (Cf.
B871.1.1.	)
X1235.1.1.	Cow wears church bell for cowbell. U.S.: *Baughman.
X1235.2.	Lie about cow's rich milk. U.S.: *Baughman.
X1235.2.1.	Cow gives so much cream that several men do nothing but skim cream. U.S.: *Baughman.
X1235.3.	Owner provides cow with green goggles, feeds her sawdust or snow. U.S.: *Baughman.
X1235.4.	Lie: cow climbs to roof. (First ed.
X961.7.	) Type 1930; BP III 258.
J1904.	Absurd ignorance concerning place for animal to be kept.
X1235.5.	Lie: cow puts bread in oven. (First ed.
X961.22.	) Type 1930; BP III 244ff.   ## p. 527 (#531) ############################################  X. Humor 527
X1237.	Lie: remarkable ox or steer. (First ed.
X1021.1.	) U.S.: *Baughman, *Folk-Say I 62 (bibliography of "Paul Bunyan" stories).
B871.1.1.1.	Giant ox.
X1237.1.	Lies about strong oxen. U.S.: *Baughman.
X1237.1.1.	Man plows through stump which catches the back of his pants in cleft. His oxen continue to pull; he holds onto the plow, pulls the stump out of the ground. U.S.: *Baughman.
X1237.2.	Lie: the remarkable blue ox. U.S.: *Baughman.
B871.1.1.1.	Giant ox.
X1241.	Lies about horses. Canada, England, Scotland, U.S.: *Baughman.
X1241.1.	The great horse. (First ed.
X1021.6.	) Fb "stud" III 619b.
X1241.2.	Well-trained horse.
X1241.2.1.	Horse takes cattle out to pasture; brings them in by him- self. U.S.: Baughman.
X1241.2.2.	Trained horse as harvester and hunter. He rolls in the field. Oats in his flanks; club in his tail kills birds. (First ed.
X921.3.	) (Cf.
X1252.1.	) Type 1892.
X1241.2.3.	Lie: horses knead dough. (First ed.
X961.20.	) Type 1930; BP III 244ff.
X1242.	Lies about mules. Canada, U.S.: *Baughman.
X1242.0.1.	Lies about asses.
X1242.0.1.1.	Lie: ass with silver nose hunts hares. (First ed.
X961.32.	) Type 1930; BP III 244ff.
X1243.	Lies about sheep.
X1243.1.	Lie: the great Darby ram. England: *Baughman.
X1244.	Lies about goats.
X1244.1.	Lie: goat carries one hundred cartloads of grease. (First ed.
X961.13.	) Type 1930; BP III 244ff.
X1244.2.	Lie: goats heat oven. (First ed.
X961.21.	) Type 1930; BP III 244ff.
X1244.3.	The great he-goat. (First ed.
X1021.2.	) BP II 515.
X1250.	Lies about birds.
X1252.	Lies about crows. U.S.: *Baughman.
X1252.1.	Lie: crows mow meadow. (First ed.
X961.14.	) Type 1930; BP III 244ff.
X1256.	Lies about doves. U.S.: Baughman.
X1256.1.	Lie: doves tear up wolf. (First ed.
