B278.	Captured animal ransoms self.
R121.5.	Ariadne-thread. Prisoner given a thread as a clue to find his way out of the labyrinth in which he is being confined. *Herbert III 204; Oesterley No. 63; Greek: Frazer Apollodorus II 135 n. 3.
R121.6.	
R135.1.	Crumb (grain) trail eaten by birds. Lost persons cannot find way back.
R162.	Rescue by captor's daughter (wife, mother). Rescue from prison by saint, who enters and breaks fetters. (Cf.
R165.	) Alphabet No. 436; *Loomis White Magic 89, 93; Icelandic: *Boberg.
D1766.1.7.	Saint opens prison door by prayer.   ## p. 279 (#283) ############################################  R. Captives and fugitives 279
R121.6.1.	Saint appears to captor in vision and demands prisoner's release. (Cf.
R165.	) Irish myth: Cross.
R121.6.2.	Locks marvelously open for person. Irish myth: Cross (
F1088.	4); Jewish: Neuman.
R121.7.	Lovers ransomed from prison. Italian Novella: *Rotunda.
R121.8.	Fairy mound destroyed to rescue person confined in it. Irish myth: *Cross.
R121.9.	Stream carries communication between prisoner and rescuer. Irish myth: Cross.
R121.10.	
H35.4.	Recognition by unique manner of carving chips. These sent down stream for recognition.
H135.2.	Milk poured into stream as signal. With her teeth woman files away chain tying up husband. India: Thompson-Balys.
R122.	Miraculous rescue. Irish myth: Cross.
B522.4.	Eagle carries off condemned child.
D2120.	Magic transportation.
F1088.	Extraordinary escapes.
R122.1.	Prisoner whirled away in blaze of fire. Irish myth: Cross.
R122.2.	Prisoner carried off in cloud. (Cf.
D2121.7.	) Irish myth: Cross.
R123.	Boon granted after prayer and widow's son is released from prison. India: Thompson-Balys.
R130.	Rescue of abandoned or lost persons.
B322.1.	Hero feeds flesh to helpful eagle. Eagle is rescuing him by carrying him on his back.
B563.4.1.	Animal leads lost man home.
R131.	Exposed or abandoned child rescued. Gaster Oldest Stories 171; Icelandic: *Boberg; Irish myth: *Cross; Missouri French: Carrière; Spanish: Espinosa II No. 19, Espinosa Jr. Nos. 138-41; India: *Thompson-Balys.
B535.	Animal nurse.
N820.	Human helpers.
P270.	Foster relatives.
R150.	Rescuers.
S140.	Cruel abandonments and exposures.
S350.	Fate of abandoned child.
R131.0.1.	Nurse begs alms from door to door so as to keep child and nurture him. India: Thompson-Balys.
R131.1.	
R131.0.2.	Miraculous rescue of all exposed children. Jewish: Neuman. Hunter rescues abandoned child. *Type 930; *Aarne FFC XXIII 56, 59; Missouri French: Carrière; Italian Novella: Rotunda; Greek: Fox 22 (Telephos), 57 (Atalanta).
R131.2.	Miller rescues abandoned child. *Types 707, 930; BP II 380ff.; *Aarne FFC XXIII 61; Spanish: Espinosa Jr. No. 116.
R131.2.1.	Miller rescues drowning princess. French Canadian: Sister Marie Ursule.
R131.3.	Herdsman rescues abandoned child. (Cf.
S351.2.	) India: Thomp- son-Balys.
R131.3.1.	Shepherd rescues abandoned child. (Cf.
N841.	) *Type 930; Hartland Perseus III 3 ff.; *Aarne FFC XXIII 56ff.; Dickson 101, 170; *Nutt FLR IV 1ff. Roman: Fox 307 (Romulus and Remus); Italian Novella: Rotunda; Greek: Longus Daphnis and Chloe, Fox 43 (Zethos and Amphion), 48 (Oedipus), 118 (Paris). -   ## p. 280 (#284) ############################################  280 Motif-Index of Folk-Literature
R131.3.2.	Goatherd rescues abandoned child. Greek: Fox 280.
R131.3.3.	Cowherd rescues abandoned child. Irish myth: *Cross, Mac- Culloch Celtic 74; English: Wells 20 (William of Palerne); Greek: *Frazer Apollodorus I 338 n. 1.
R131.3.3.1.	Person pushed into well by wife rescued by cowherd. India: Thompson-Balys.
R131.3.4.	Swineherd rescues abandoned child. Irish myth: *Cross; India: *Thompson-Balys.
R131.4.	Fisher rescues abandoned child. *Types 707, 930; BP II 380ff.; *Boje 65, 126; *Aarne FFC XXIII 62; English: Wells 14 (The Lay of Havelok); Italian Novella: Rotunda.
R131.5.	Servant rescues abandoned child. Irish myth: *Cross; Icelandic: Gunnlaugs saga Ormstungu ch. 3, Boberg; Italian Novella: Rotunda.
R131.6.	Peasant rescues abandoned child. Icelandic: Boberg; Spanish: Espinosa Jr. No. 139; Italian Novella: Rotunda; Babylonian: Spence 17, 157; India: *Thompson-Balys.
R131.7.	
H92.	Identification by necklace. H111, Identification by garment. Merchant rescues abandoned child. (Cf.
N851.	) Dickson 104 n. 13; Jewish: *Neuman.
R131.8.	Other workmen rescue abandoned child.
R131.8.1.	Horse-keeper rescues abandoned child. Greek: *Frazer Apollo- dorus I 82 n. 2.
R131.8.2.	Gardener rescues abandoned child. India: *Thompson-Balys; Palaung tribe: Scott Indo-Chinese 276.
R131.8.3.	Washerman rescues abandoned child. Palaung tribe: Scott Indo-Chinese 277.
R131.8.4.	Smith rescues abandoned child. (Cf.
N855.	) Krappe Balor 3; Irish myth: Cross; Icelandic: De la Saussaye 143.
R131.8.5.	Forester rescues abandoned child. *Boje 125ff.; Sparnaay 43; Chinese: Ferguson 41.
R131.8.6.	Potter rescues abandoned child(ren). India: *Thompson-Balys.
R131.8.7.	Gold-washer rescues abandoned child. India: *Thompson- Balys.
R131.8.8.	Barber rescues and befriends abandoned boy. India: Thomp- son-Balys.
R131.9.	Porter rescues abandoned child. English: Wells 126 (Lai Le Freine).
R131.10.	Hermit rescues abandoned child. (Cf. N843,
R169.2.	) English: Wells 96 (Chevalere Assigne); Italian Novella: Rotunda; India: *Thompson-Balys.
R131.10.1.	Woman disguised as hermit rescues abandoned child. (Cf.
K1837.3.	) Italian Novella: Rotunda. ·
R131.11.	Exalted person rescues abandoned child. Dickson 170.
R131.11.1.	Princess rescues abandoned child. Sparnaay 33; Dickson 37, 170; Jewish: *Neuman; China: Eberhard FFC CXX 99ff. No. 58, FFC CXXVIII 76f. No. 34.   ## p. 281 (#285) ############################################  R. Captives and fugitives 281
R131.11.2.	King rescues abandoned child. Dickson 170 n. 24; Italian: Basile Pentamerone III No. 2; Jewish: *Neuman; India: *Thompson- Balys.
N836.1.	King adopts hero (heroine).
S354.	Exposed infant reared at strange king's court (Joseph, Oedipus).
R131.11.3.	Prince rescues abandoned child. Italian: Basile Pentamerone V No. 8.
R131.11.4.	Deity rescues abandoned child. India: Thompson-Balys.
R131.11.5.	Minister's son recovers prince's lost wife for him. India: Thompson-Balys.
R131.12.	Fairy rescues abandoned child. (Cf.
F311.	) Krappe Balor 3; Irish myth: Cross.
R131.13.	Palmer rescues abandoned child. (Cf.
N846.1.	) English: Wells 118 *(Octovian).
R131.14.	Sailors rescue abandoned child. Italian: Basile Pentamerone III No. 2.
R131.15.	Children abandoned in a boat survive storm and are rescued. Italian Novella: Rotunda.
R131.16.	Angel rescues abandoned child. Jewish: Neuman.
R131.17.	Coyote rescues abandoned child(ren). N. A. Indian (California): Gayton and Newman 89.
R131.18.	Pious woman rescues abandoned child. Irish myth: Cross.
R131.19.	Bard (poet) rescues abandoned child. Irish myth: *Cross.
R131.20.	Indians rescue abandoned children. French Canadian: Sister Marie Ursule.
R133.	Vanished wife rescued.
R133.1.	Hero finds his vanished wife and disenchants her. India: Thomp- son-Balys.
R133.2.	Lost wife restored by conjurer. Eskimo (Cumberland Sound): Boas BAM XV 246.
R135.	Abandoned children (wife, etc.) find way back by clue (bread- crumb, grain, pebble, etc.). They have dropped the objects while being led away. *Types 327, 431, 620, 955; *BP I 115ff., 124, 370; Köhler-Bolte I 134; *Penzer III 104 n. 2; Fb "ært" III 1153b, "gryn" IV 187a; *Saintyves Perrault 310. Irish myth: Cross; Italian: Basile Pentamerone V No. 8; Japanese: Ikeda; Indonesia: *Dixon 227 n. 35, DeVries's list No. 147; Philippine: Fansler MAFLS XII 442; Lkungen: Hill-Tout JAI XXXVII 334; S. A. Indian (Warrau): Métraux RMLP XXXIII 145; Africa (Kaffir): Theal 120. -
B151.2.0.1.	Bird shows way by dropping feathers.
K321.	Thief learns location of dupe's food supply by strewing ashes.
R121.5.	Ariadne- thread.
R135.0.1.	Stolen wife makes trail of speaking spittle for husband. Spittle speaks and directs him. Jamaica: Beckwith MAFLS XVII 263 No. 67.
D1316.3.	Speaking spittle reveals truth.
D1611.5.	Magic spittle imperson- ates fugitives.
R135.0.2.	Trail of grain (seeds). (Cf.
R267.	) India: *Thompson-Balys.   ## p. 282 (#286) ############################################  282 Motif-Index of Folk-Literature
R135.0.2.1.	Trail of rice husks. India: *Thompson-Balys.
R135.0.3.	Trail of jewels. India: *Thompson-Balys.
R135.0.4.	Trail of shreds of dress. India: *Thompson-Balys.
R135.0.5.	Trail of thread. India: *Thompson-Balys.
R135.0.6.	Trail of ashes. India: *Thompson-Balys.
R135.0.7.	Trail of flowers. India: Thompson-Balys.
R135.1.	Crumb (grain) trail eaten by birds. Lost persons cannot find way back. *Types 327, 431; Missouri French: Carriére; Japanese: Ikeda.
R135.1.1.	Feathers left to mark trail blown away by wind. S. A. Indian (Warrau): Métraux RMLP XXXIII 145.
R137.	Mermaid rescues heroine who has been thrown overboard. (Cf.
B81.	) Italian: Basile Pentamerone IV No. 7; India: Thompson- Balys.
R138.	Rescue from shipwreck. Icelandic: *Boberg; India: Thompson-Balys.
R138.1.	Mermaid rescues hero (boy) from shipwreck. Icelandic: Lager- holm 164f., Boberg.
R138.2.	Gam rescues hero as boy from shipwreck. Icelandic: Lager- holm 163-164.
B31.2.	The bird Gam.
R141.	Rescue from well. India: *Thompson-Balys.
R142.	Exposed children swallowed by earth; vomited up when grown. (Cf.
F900.	) Jewish: Neuman.
R143.	Abandoned man befriended by a Centaur. (Cf.
B21.	) Greek: Grote I 109.
R150.	Rescuers. Missouri French: Carrière.
B53.1.	Drowning man rescued by siren.
B540.	Animal rescuer or re- triever.
B541.2.	Fox rescues man from sea.
B541.4.	Dog rescues drowning man.
F601.4.	Extraordinary companions rescue hero (heroine).
H1385.	Quest for lost persons.
N730.	Accidental reunion of families.
N800.	Helpers.
R121.6.	Rescue from prison by saint, who enters and breaks fetters.
R131.	Exposed or abandoned child rescued.
S251.	Virgin Mary rescues child promised to the devil.
R151.	Husband rescues wife. Irish myth: Cross.
F322.2.	Man rescues his wife from fairyland.
N658.	Husband arrives home just in time to save wife and her father from being burned to death in their home.
T210.	Faithfulness in marriage.
R151.1.	Husband rescues stolen wife. (Cf.
H1385.	3,
R11.1.	) Krappe Revue Celtique XLVIII (1931) 94-123; Irish myth: *Cross; Spanish: Boggs FFC XC 46 No. 316; India: *Thompson-Balys; Japanese: Ikeda; N. A. Indian: *Thompson Tales 342 n. 235; Africa (Ila, Rhodesia): Smita and Dale II 399 No. 1.
R151.1.1.	Husband frees wife who has sold herself into slavery in order to ransom him. Italian Novella: Rotunda.
R151.2.	Husband rescues wife from burning at stake. (Cf.
R175.	) *Dick- son 78.   ## p. 283 (#287) ############################################  R. Captives and fugitives 283
R151.3.	Husband rescues wife from cannibal. (Cf.
G10.	) Chinese: Gra- ham.
R152.	Wife rescues husband. Type 316; Missouri French: Carrière; Greek: Grote I 462f.; Jewish: Neuman; India: *Thompson-Balys.
K1353.	Woman deceived into sacrificing honor. Ruler promises to release her brother (husband) but afterward refuses to do so.
T210.	Faithful- ness in marriage.
R152.1.	Disguised wife helps husband escape from prison. (Cf.
R121.	) *Types 880, 888, 890; Spanish Exempla: Keller; Italian Novella: Rotunda; West Indies: Flowers 521.
R152.2.	Woman disguised as man sells herself into slavery in order to ransom (free) her husband (lover). (Cf.
K1837.	) Italian Novella: *Rotunda.
R152.3.	Wives change clothes with their imprisoned husbands when allowed to visit them. Husbands escape. Greek: Grote I 463.
R152.4.	Wife gets back her husband from land of serpents by charming him with her beautiful dance. India: Thompson-Balys.
B225.1.	Kingdom of serpents.
F81.1.	Orpheus.
R152.5.	Transformed wife takes husband out of captivity. India: Thomp- son-Balys.
D641.	Transformation to reach difficult place.
R153.	Parents rescues child. (Cf.
S351.	)
R153.1.	Parents rescue son.
R153.1.1.	Parents rescue son from lower world on rope. Africa (Basuto): Jacottet 86 No. 13.
R153.2.	Father rescues children.
R153.2.1.	Father hides children from murderous mother. After many years they come forth and she dies of fright. *Type 765.
Q211.8.	Punishment for desire to murder.
S12.	Cruel mother.
R153.3.	Father rescues son(s). Icelandic: Lagerholm 170ff., *Boberg.
R153.3.1.	Father rescues son captured by enemy. Type 899*; Spanish Exempla: Keller.
R153.3.2.	Father rescues son stolen by animals. Africa (Bushmen, South of Zambesi): Theal 56.
R153.3.3.	Old robber frees his three sons: relates frightful adventures. In order to free them he must relate three adventures, each more frightful than the last. *Type 953; *BP III 369; Wesselski Märchen 217 No. 29.
H924.	Tasks assigned prisoner so that he may escape punishment.
J1185.	Execution escaped by story-telling.
R153.3.4.	Father rescues son from prison. Italian Novella: Rotunda.
R153.3.5.	Fathers thrust sons above water even as they themselves drown. Spanish Exempla: Keller.
R153.3.6.	Father hides son from Satan. Jewish: Neuman.
R153.4.	Mother rescues son.
R153.4.1.	Mother rescues fettered son. Icelandic: Boberg.   ## p. 284 (#288) ############################################  284 Motif-Index of Folk-Literature
R153.4.2.	Mother hides twin (triplet) sons to keep them from death. (Cf.
S314.	) Africa (Fang): Tessman 90, Einstein 56.
R153.5.	Father rescues daughter. Irish myth: *Cross; Icelandic: Lager- holm 134ff., *Boberg; Eskimo (Greenland): Rasmussen III 85, (Cen- tral Eskimo): Boas RBAE VI 584, (Cumberland Sound): Boas BAM XV 164.
N732.1.	Father unwittingly buys daughter who has been sold into slavery.
R154.	Children rescue parents. India: Thompson-Balys.
R154.0.1.	Children rescue mother from lion's den. Dickson 57 n. 75.
R154.1.	Son rescues mother. Irish myth: *Cross; India: *Thompson- Balys; Buddhist myth: Malalasekera I 207.
R154.1.1.	Son rescues mother from burning at stake. (Cf.
R175.	) *Dick- son 128ff. nn. 98, 99.
R154.2.	Son rescues father. Type 301C*; Irish myth: *Cross; Icelandic: Boberg; India: *Thompson-Balys.
R154.2.1.	
H1385.7.	Quest for lost father.
J151.1.	Wisdom of hidden old man saves kingdom. Son frees father by bringing riddle the king cannot solve. (Cf.
H542.	) Spanish: Boggs FFC XC 112 No. 927*B.
R154.2.2.	Son recovers father's bones. Hawaii: Beckwith myth 259, 263, 346f.; Tahiti: ibid. 266; Maori: ibid. *249.
R154.2.3.	Sons rescue father. India: Thompson-Balys.
R154.3.	Daughter rescues father. Rumania: Schullerus FFC LXXVIII No. 879*; Italian Novella: Rotunda; India: Thompson-Balys.
R155.	Brothers rescue brothers. Icelandic: *Boberg; Missouri French: Carrière; India: Thompson-Balys.
R155.1.	
G551.4.	One brother rescues another from ogre.
H1385.8.	Quest for lost brother. Youngest brother rescues his elder brothers. (Cf.
L31.	) *Types 303, 303*, 327**, 471, 551; MacCulloch Childhood 353; *BP I 503ff., 528ff. Icelandic: *Boberg; Missouri French: Carrière; Arabian: Burton Nights S V 249; Jewish: *Neuman; India: *Thompson-Balys; Indonesia: DeVries's list No. 182; N. A. Indian (Arapaho): Dorsey and Kroeber FM V 23ff. Nos. 10, 11, (Dakota): Wissler JAFL XX 199, (Chinook): Boas BBAE XXV 9ff. Nos. 1, 2, (Quinault): Farrand JE II 114 No. 10, (Caddo): Dorsey CI XLI 58ff. Nos. 32, 33, (Klikitat): Jacobs UWash II 7; Africa (Thonga): Junod 229, (Fjort): Dennett 64 No. 12.
R155.2.	Elder brother rescues younger. India: Thompson-Balys.
R156.	Brother rescues sister(s). (Cf.
G551.1.	) Irish myth: Cross; Ice- landic: *Boberg; Spanish: Espinosa II No. 18; Greek: Grote I 156; India: *Thompson-Balys; Chinese: Graham.
R157.	Sisters rescue sisters. (Cf.
G551.2.	)
R157.1.	Youngest sister rescues elder. (Cf.
L50.	) *Type 311; *BP I 398ff.; *Roberts 219.
R158.	Sister rescues brother(s). *Type 707; Icelandic: *Boberg; Ru- manian: Schullerus FFC LXXVII No. 879*; India: *Thompson-Balys.   ## p. 285 (#289) ############################################  R. Captives and fugitives 285
R161.	Lover rescues his lady. Irish myth: *Cross; Icelandic: Boberg; West Indies: Flowers 571.
R161.0.1.	Hero rescued by his lady. Irish myth: *Cross; India: Thomp- son-Balys.
R161.1.	Lover rescues his lady from abductor. Irish myth: *Cross; English: Wells 80 (Sir Tristrem); India: Thompson-Balys.
R161.2.	Princess rescued by blind man restores his sight and marries him. India: Thompson-Balys.
R161.3.	Lover rescues his lady from drowning. Icelandic: *Boberg.
R161.4.	Lover rescues his lady from the gallows. England, U.S.: *Baugh- man, Child No. 95.
R162.	Rescue by captor's daughter (wife, mother). Types 516, 975**; *Rösch FFC LXXVII 102; *Loomis White Magic 117; Basset RTP XVI 614; Irish myth: Cross; English: Wells 85 (The Sowdone of Babylone); Icelandic: *Boberg; Greek: *Frazer Apollodorus II 135 n. 3 (Ariadne); India: *Thompson-Balys.
G530.	Ogre's relative aids hero.
K640.	Escape by help of confederate.
K646.	Fugitive's confederate misdirects pursuer.
K781.	Castle captured with assistance of owner's daughter. She loves the attacker.
N831.	Girl as helper.
R121.5.	Ariadne-thread. Prisoner given a thread as a clue to find his way out of the labyrinth in which he is being confined.
T32.1.	Lovers' meeting: hero in heroine's father's prison from which she helps him escape.
T91.6.4.1.	Sultan's daughter in love with captured knight.
R163.	Rescue by grateful dead man. (Cf.
E341.	) *Types 505-508; **Lilje- blad passim; India: Thompson-Balys.
R164.	Rescue by giant. (Cf.
G100.	) India: Thompson-Balys.
R164.1.	Giant rescues maiden. Dickson 154.
R164.2.	Giant rescues woman from burning at stake. (Cf.
R175.	) *Dick- son 130 n. 102.
R165.	Rescue by saint (holy man). (Cf.
R121.6.	) Alphabet No. 560; *Loomis White Magic 93; Irish: Plummer cxlix, *Cross.
D2074.2.5.1.	Imprisoned cleric comes to answer saint's prayers in ritual.
N848.	Saint as helper.
R121.6.1.	Saint appears to captor in vision and demands prisoner's release.
R176.	Executioner miraculously blinded; condemned man saved.
R165.1.	Rescue of poor girl by St. Nicholas. Saint keeps her from being sold into slavery. Spanish Exempla: Keller.
R165.2.	Innocently hanged person saved by saint. Icelandic: Boberg.
R165.3.	Abducted wife brought back by fakir. India: Thompson-Balys.
R166.	Brothers having extraordinary skill rescue princess. *Type 653; BP III 45ff.; *Köhler-Bolte I 198, 439; Italian: Basile Pentamerone V No. 7; Japanese: Ikeda.
F660.	Remarkable skill.
R111.7.	Joint rescuers quarrel over rescued princess.
R167.	Master rescues disciple. India: Thompson-Balys.
R168.	Angels as rescuers. Irish myth: Cross (
R169.	12); Jewish: *Neuman.
R169.	Other rescuers.   ## p. 286 (#290) ############################################  286 Motif-Index of Folk-Literature
R169.1.	Hero in disguise of foolish knight, then of black knight, rescues lady. (Cf.
R222.	) English: Wells 147 (Ipomadon).
R169.2.	Boys rescued from beasts by hermit. (Cf. N843,
R131.10.	) Dickson 105.
R169.3.	Boy saved by werwolf. (Cf.
D113.1.1.	) English: Wells 19 (William of Palerne).
R169.4.	Hero rescued by servant. (Cf. P361,
R53.4.	) *Type 519, 851; India: Thompson-Balys.
R169.4.1.	Rescue of bride from mysterious perils by hidden faithful servant. Type 516; *Rösch FFC LXXVII 128; India: *Thompson- Balys.
N342.1.	Faithful servant guarding master's wife from danger falsely condemned for betraying his master.
T175.	Magic perils threaten bridal couple.
R169.4.2.	Rescue of king's children by faithful servant. Icelandic: Bo- berg.
R169.5.	Hero rescued by friend. Icelandic: *Boberg.
R169.5.1.	Hero's wife rescued by his faithful friend. India: Thompson- Balys.
R169.6.	Youth saved from death sentence by father's friend. Italian Novella: Rotunda.
H1558.1.	Test of friendship: the half friend.
R169.7.	Royal minister rescues abandoned queen(s). (Cf.
P110.	) India: Thompson-Balys.
R169.8.	Predestined rescuer. South Africa: Bourhill and Drake 237ff. No. 20.
R169.9.	Boy rescued by childless woman. Africa (Fang): Tessman 91.
R169.10.	Unpromising hero as rescuer. (Cf.
L100.	) India: Thompson- Balys.
R169.10.1.	Fool rescues girl and wins her for his wife. India: Thompson- Balys.
R169.11.	Unknown helper(s) emerge(s) in the last moment and turn(s) out later to be well known. (Cf.
R222.	) Icelandic: *Boberg.
R169.12.	Hero rescued by sailors. French Canadian: Sister Marie Ur- sule.
R169.13.	Child rescued by nurse. Irish myth: *Cross.
R169.14.	Wounded hero restored in peasant's house. Icelandic: Boberg.
R169.15.	Rescue by stranger. India: Thompson-Balys.
R169.16.	Death as rescuer. (Cf.
R185.	) Africa (Dahomé): Einstein 27.
R170.	Rescue-miscellaneous motifs.
R175.	Rescue at the stake. (Cf.
R151.	2,
R154.1.	1,
R164.	2,
R215.	) *Dickson 78 n. 40; *Boje 116ff.; English: Wells 97 (Chevalere Assigne); Ice- landic: *Boberg; Jewish: *Neuman; India: Thompson-Balys; West Indies: Flowers 572.
D643.1.	Transformation to falcon in order to rescue condemned man at   ## p. 287 (#291) ############################################  R. Captives and fugitives 287 the gallows.
D1391.	Magic object saves person from execution.
D2141.0.7.	Storm raised by incantation. Extinguishes execution fire.
J1181.	Execu- tion escaped by use of special permissions granted the condemned.
K551.	Respite from death granted until particular act is performed.
N686.	Hero's (heroine's) identity established as he is on the point of being executed.
P512.	Condemned woman may be freed by marrying a rogue.
V252.2.	Virgin Mary saves criminal from fire at stake.
R175.1.	Escape from sacrificial altar on ram with golden fleece. Greek: Grote I 117.
R176.	Executioner miraculously blinded: condemned man saved. Jew- ish: *bin Gorion Born Judas2 I 39, 361, Neuman.
R181.	Demon enclosed in bottle released. *Type 331; *BP II 414ff., IV 321; Jewish: Neuman, **Levi Revue des Etudes Juives LXXXV 137; India: *Thompson-Balys; Japanese: Ikeda.
R181.	1
D2177.1.	Demon enclosed in bottle.
F403.2.2.4.	Spirit in bottle (bag) as helper. Demon imprisoned in tree released. India: Thompson-Balys.
R182.	True rescuer hidden by girl when he arrives to claim her. India: Thompson-Balys.
R185.	Mortal fights with "Death". (Cf.
R169.16.	) *BP III 293; Greek: *Frazer Apollodorus I 92 n. 3, Fox 38, 107 (Alcestis, Sisyphus); India: Thompson-Balys.
T211.1.	Wife dies so that husband's death may be postponed.
Z111.	Death personified,
R185.1.	Mortal deceives Angel of Death. (Cf.
V233.	) Jewish: Neuman. Horn of Roncevalles. Hero calls aid of waiting soldiers on horn. *Thien Motive 32; Old French: Chanson de Roland.
R187.	
R187.1.	Dord fían. A call used by members of a fían (warrior band) for summoning aid. Irish myth: Cross.
R188.	Rescued person horrifies rescuers: e.g., they swoon on seeing him. Scottish: Campbell-McKay No. 2 and note.
R191.	King (prince) returns home (from exile) and rescues his native country. Icelandic: *Boberg.
L111.1.	Exile returns and succeeds. R200-
R299.	Escapes and pursuits.
R200.	Escapes and pursuits.
R210.	
R211.	Escapes. Irish myth: Cross; India: Thompson-Balys.
A1070.	Fettered monster's escape at end of world.
D642.	Transforma- tion to escape difficult situation.
D671.	Transformation flight.
D672.	Obstacle flight.
D2165.	Escapes by magic.
G561.	Ogre tricked into carry- ing his prisoners home in bag.
K500.	Escape from death or danger by deception. K608, Escape by laughing and crying at same time.
K622.	Captive plays further and further from watchman and escapes.
N255.	Escape from one misfortune into worse. Escape from prison. Icelandic: *Boberg; Missouri French: Carrière.
D2074.2.5.1.	Imprisoned cleric comes to answer saint's prayers in ritual.
R41.	Captivity in tower (castle, prison).
R121.	Means of rescue from prison.
R311.2.	King escapes pursuers through hollow tree in his hall.
R211.1.	Giant breaks from tower prison. Dickson 130 n. 102; Japanese: Ikeda.   ## p. 288 (#292) ############################################  288 Motif-Index of Folk-Literature
R211.2.	Captive bores way out of prison. Icelandic: *Boberg; Swiss: Jegerlehner Oberwallis 313 No. 98; Korean: Zong in-Sob 174 No. 75.
R211.3.	Escape through underground passage. Italian: Basile Pentamerone II No. 7.
R211.4.	Escape from slavery (pirates). (Cf.
R61.	) Italian Novella: *Rotunda.
R211.5.	Captive hews through iron prison with sword. Irish myth: Cross.
F625.	Strong man: breaker of iron.
R211.6.	Captive knocks prison roof off. (Cf.
F627.	) Irish myth: *Cross.
R211.7.	Escape from pit of snakes by means of rope. (Cf. Q465,
R41.3.1.	) Icelandic: *Boberg.
R211.8.	Rescue from prison by beheading giant keeper. French Ca- nadian: Sister Marie Ursule.
R211.9.	Escape from prison because of bribed guards. Buddhist myth: Malalasekera II 355.
R212.	Escape from grave.
R212.1.	Man buried alive with king escapes from the tomb. Follows noise made by sea animal and finds way out to sea. Chauvin VII 19 No. 373D n. 3.
P16.4.	Person buried with dead king.
R212.1.1.	Man buried alive escapes from tomb when thief tries to rob it. Italian Novella: Rotunda.
R212.1.2.	Captive buried alive to his neck fastens his teeth on jackal that comes to eat him and companions. Rest flee when they hear him howl. In struggles to get free jackal loosens earth around captive, who manages to free himself. Buddhist myth: Malalasekera II 570.
R212.2.	Man buried alive with beloved escapes, as thieves break open the tomb. Icelandic: Boberg.
R213.	Escape from home.
R213.1.	Prince escapes from home in order to see world. India: *Thomp- son-Balys.
R214.	Animal eludes bird watchman and escapes from his hole. Indo- nesia: DeVries's list No. 112.
R215.	Escape from execution.
R215.1.	Escape from execution pyre by means of wings. *Type 575.
F1021.1.	Flight on artificial wings.
R111.3.1.	Girl rescued by traveling through air.
R175.	Rescue at the stake.
R215.1.2.	Escape from execution pyre through underground passage. Hdwb. d. Märchens I 600b. nn. 17-18.
R215.2.	Escape from death by boiling oil. Irish myth: Cross.
R215.3.	Escape from execution on flying wooden horse. (Cf.
D1626.1.	) India: *Thompson-Balys; Buddhist myth: Malalasekera II 839.   ## p. 289 (#293) ############################################  R. Captives and fugitives 289
R216.	Escape from ship while captors quarrel. Italian Novella: Rotunda.
R216.1.	Escape from ship by jumping into the sea. Icelandic: *Boberg.
R217.	Inscription accidentally seen tells hero how to escape captivity. Africa (Swahili): Steere 331ff.
R218.	Escape from fairyland. (Cf.
F210.	) Irish myth: *Cross.
R219.	Escapes-miscellaneous.
R219.1.	Man carried off on bed escapes by grasping tree limbs as he passes under tree. India: *Thompson-Balys.
R219.2.	Man and wife escape from land of dead upon a vine. (Cf.
E481.	) Philippine (Tinguian): Cole 185.
R220.	Flights. India: Thompson-Balys.
A2221.5.	Animal blessed for helping holy fugitive.
A2231.7.1.	Animal cursed for betraying holy fugitive.
A2711.3.	Plant blessed for helping holy fugitive.
A2721.4.	Plant cursed for betraying holy fugitive.
B184.1.6.	Flight on magic horse.
D670.	Magic flight.
D1436.	Magic hair stretches after fugitive.
D1551.	Waters magically divide and close.
D1552.4.	Mountain opens and lets ship on wheels, permitting magician's escape.
D1611.	Magic object answers for fugitive.
D1612.1.	Magic objects betray fugitive.
D1813.4.	Fugitives' way revealed by magic.
K630.	Escape by disarming (making pursuit difficult).
Q46.	Reward for protecting holy fugitive.
T311.1.	Flight of maiden to escape marriage.
R221.	Heroine's three-fold flight from ball. Cinderella (Cap o' Rushes) after meeting the prince at a ball (church) flees before identification is possible. Repeated three times. *Type 510; **Cox 1-121, 437-446 passim; Missouri French: Carrière; Spanish: Espinosa Jr. Nos. 123f.; Italian: Basile Pentamerone I No. 6; India: Thompson-Balys.
C761.3.	Tabu: staying too long at ball.
H36.1.	Slipper test. Identification by fitting of slipper.
H151.6.	Heroine in menial disguise discovered in her beautiful clothes: recognition follows.
K1816.0.2.	Girl in menial disguise at lover's court.
L102.	Unpromising heroine.
N711.6.	Prince sees heroine at ball and is enamoured.
R222.	Unknown knight. (Three days' tournament.) For three days in succession an unknown knight in different armor wins a tournament and escapes without recognition. Finally identified by tokens. **Weston The Three Days Tournament; *Types 314, 502; *BP III 111; *Child V 44ff.; *Webster Kittredge Memorial Volume 227; Bruce MLN XXIV 257; *Hibbard 226 n. 2; *Fb "hest" I 598a; Zs. f. Vksk. IV 98; RTP VIII 82. English: Wells 48 (Lancelot of the Laik), 147 (Ipomadon); Icelandic: *Boberg; Missouri French: Carrière; French Canadian: Barbeau JAFL XXIX 18; India: Thompson-Balys; N. A. Indian: *Thompson CColl II 349ff., 407, (Wichita): Dorsey JAFL XVI 160, (Skidi Pawnee): Dorsey MAFLS VIII Nos. 40, 41. -
H331.2.	Suitor contest: tournament.
