A1313.	Origin of sex-organs.
T91.6.2.	) Icelandic: *Boberg; India: *Thompson-Balys; Buddhist myth: Malalasekera I 938, II 1091.
T121.8.1.	Infertile raja marries beggar woman in hope of having a son. India: Thompson-Balys.
T122.	Marriage by royal order. Widow hesitates to marry. Queen sends her a letter ordering her to marry the bearer (a suitor). Italian Novella: Rotunda; India: Thompson-Balys.
T125.	Lazy boy and industrious girl matched. Jesus (incognito) as match- maker. *Type 822.
T125.1.	Fool given intelligent wife; lame man hardworking wife. India: Thompson-Balys.
T125.2.	Blind girl marries lame man. (Cf.
H886.	) India: Thompson-Balys.
T126.	Fantastic marriage.
T126.1.	Marriage of Mother Earth and ogre. India: Thompson-Balys.
T126.2.	Marriage of mountain and cockle-shell. India: Thompson-Balys.
T126.3.	Marriage of earth and sky. India: Thompson-Balys.
T130.	Marriage customs. Jewish: *Neuman.
A1550.	Origin of customs of courtship and marriage.
D1812.5.1.8.	Bad omen for two bridal processions to meet.
T131.	Marriage restrictions.
A1556.	Origin of sexual restrictions.
C160.	Tabu connected with mar- riage.
C567.1.	Tabu: eloping with king's daughter.
H360.	Bride test.
M130.	Vows concerning sex.
Q240.	Sexual sins punished.
T65.	Betrothal restrictions.
T131.0.1.	Princess has unrestricted choice of husband. (Cf.
T55.7.	) India: *Thompson-Balys.
T131.0.1.1.	Father promises that girl may wed only man of her choice. Irish myth: Cross; Icelandic: *Boberg.
T131.1.	Relative's consent to marriage necessary.
T131.1.1.	Brother's consent for sister's marriage needed. Child I 142ff.; Heptameron No. 40; Icelandic: *Boberg; Japanese: Ikeda.
Z31.1.	Pif Paf Poltrie. The suitor sent from one relation to the other for consent to the wedding.
T131.1.2.	Father's consent to son's (daughter's) marriage necessary. Irish myth: Cross; Icelandic: Boberg.
T131.1.2.1.	Girl must marry father's choice. Irish myth: Cross (
T131.8.	1); Icelandic: *Boberg.
T131.1.2.2.	King chooses bridegroom for daughter from boys' pictures. India: Thompson-Balys.
T131.1.2.3.	Father demands that son break all relations with his beloved. India: *Thompson-Balys.
T131.1.2.4.	Son refuses to marry father's choice. India: Thompson-Balys.
T131.1.3.	Marriage against will of parents. India: *Thompson-Balys. 23*   ## p. 356 (#360) ############################################  356 Motif-Index of Folk-Literature
T131.2.	Younger child may not marry before elder. Hdwb. d. Abergl. II 566; Irish myth: *Cross; Icelandic: Rittershaus No. 2; Indonesia: Pleyte Bataksche Vertellingen 184f., Wilken Bijdragen tot de Taal-, Land-, en Volkenkunde van Nederlandsch-Indië I 142; Africa (Zulu): Callaway 323.
C169.2.	Tabu: giving younger daughter in marriage before elder.
T131.3.	Eldest daughter will marry man only if he will marry all her sisters too. Africa (Angola): Chatelain 119 No. 10.
T145.1.	Marriage to five women, each with separate duties.
T131.4.	Widow may not remarry. *Frazer Pausanias III 198.
J482.1.	Woman refuses second marriage. If husband is good she will fear to lose him; if bad she will repent.
T291.	Why widows do not remarry. (1) Only her property is wanted; (2) her husband is still in her heart; (3) if new husband is bad it will not be well, if he is good there will be the fear that he will die.
T131.5.	Exogamy. Marriage only outside the group. India: *Thompson- Balys.
T131.5.1.	Marriage within clans sanctioned because of incest-origin of tribe. India: Thompson-Balys.
T131.6.	Girl will marry on condition she is to be only wife. Irish myth: Cross.
T131.7.	King may not marry girl who has been wife of another. Irish myth: *Cross; Jewish: Neuman.
C563.	Tabus of kings.
P13.	Customs connected with kings.
P18.	Marriage of kings.
T381.0.1.	Girl intended for marriage with king cloistered.
T131.8.	Different religion as obstacle for marriage. India: Thompson- Balys.
T131.9.	Brahmin may marry from all four castes. India: Thompson- Balys.
T132.	Preparation for wedding.
T132.1.	Girl fattened before wedding. Africa (Zulu): Callaway 202, (Kaffir): Theal 67, (Ekoi): Talbot 7, 357.
T132.2.	Parents become servants to secure funds for wedding. India: Thompson-Balys.
T133.	Travel to wedding.
T133.1.	Faithful servant accompanies bride to new home. Icelandic: *Boberg; Spanish: Espinosa Jr. No. 93.
T133.2.	Royal bride conducted by embassy to husband's kingdom. (Cf.
T51.	) Dickson 31.
T133.3.	Drummer beats drums before bride on way to wedding. Nouvelles Récréations No. 49.
T133.4.	Bridegroom and his men come for the bride. Icelandic: *Boberg.
T133.5.	Mounting upon horse to fetch bride. India: Thompson-Balys.
T133.6.	Groom's mother visits bride-to-be and puts the betrothal ring on her finger. India: Thompson-Balys.
T134.	Conduct of bridal couple before ceremony.   ## p. 357 (#361) ############################################  T. Sex 357
T134.1.	Bridal couple must never see each other before wedding. Chin- ese: Werner 375.
T134.2.	Betrothed parties do not see each other until night of the wedding. India: Thompson-Balys.
T134.3.	Man who has once been married helps groom to dress for wedding. India: Thompson-Balys.
T135.	Wedding ceremony.
T61.	Betrothal.
T135.1.	Marriage formula: "You are mine and I am yours”. *BP II 58.
T135.2.	Touching of privates considered a marriage pact. Koryak: *Jochelson JE VI 381.
T135.3.	Wedding by proxy. India: *Thompson-Balys.
T135.3.1.	Sword and shield as proxy at wedding ceremony. India: *Thompson-Balys.
T135.4.	
T117.2.	Marriage of girl to a sword. Groom's sword makes vermillion mark on bride's forehead as wedding ceremony. India: *Thompson-Balys.
T135.5.	Marriage by exchange of garlands. India: *Thompson-Balys.
T135.6.	Marriage by drinking festival. (Cf.
T136.1.	) Icelandic: Boberg.
T135.7.	The bride must have someone to give her away, usually her father or brother. Icelandic: Boberg.
T135.8.	Two or more weddings at one time as the end of a tale. Ice- landic: *Boberg; India: Thompson-Balys.
T135.9.	Wedding ceremony in church. Icelandic: *Boberg.
T135.10.	Marriage custom: going round and round fire (pillar, etc.). India: *Thompson-Balys.
T135.11.	Bride and groom drink from same cup as part of ceremony. India: *Thompson-Balys.
T135.12.	Bodies of would-be bride and groom besmeared with turmeric and mustard-oil. India: Thompson-Balys.
T135.13.	Bride and groom look into a big mirror while old member of family knocks both their heads together. India: Thompson-Balys.
T135.14.	Wedding-canopy over bride and groom. Jewish: *Neuman.
T135.15.	Breaking a glass during wedding ceremony. Jewish: *Neuman.
T136.	Accompaniments of wedding.
T136.1.	Wedding feast. Icelandic: *Boberg; India: Thompson-Balys; Africa (Zulu): Callaway 66.
T136.2.	
H151.2.	Attention drawn by helpful animal's theft of food from wed- ding table: recognition follows. Rice thrown at weddings. *Crane Vitry 249 No. 265; Herbert III 22; *Hdwb. d. Abergl. I 1649, III 385f., IV 168f.; Frazer Golden Bough I 254; Mannhardt Wald und Feldkulte I 222.
T136.3.	Amusements at wedding. Icelandic: *Boberg.   ## p. 358 (#362) ############################################  358 Motif-Index of Folk-Literature
T136.3.1.	Dancing at wedding. Jewish: Neuman.
T136.3.2.	Marriage odes sung at wedding feast. Jewish: *Neuman.
T136.4.	Gifts at wedding. Jewish: *Neuman; India: *Thompson-Balys.
T136.4.1.	Gifts for bridal couple by a special ceremony with the bride on a bridebench. Icelandic: *Boberg.
T136.4.2.	Parting gifts after wedding. Icelandic: *Boberg.
T136.4.3.	Bride scatters presents among groom's relations. India: Thomp- son-Balys.
T137.	Customs following wedding.
M352.	Prophecy of particular perils to prince on wedding journey.
T137.1.	Advice to a parting bride. Dickson 165 n. 10.
T137.2.	berg. Bride and bridegroom conducted to bridal bed. Icelandic: *Bo-
T137.2.1.	Bride and groom simultaneously touch hearthstones and put one foot down inside threshold as they enter groom's house. India: Thompson-Balys.
T137.3.	Groom invited after marriage ceremony into female apartments to eat wedding breakfast with the bride. India: Thompson-Balys.
T137.4.	Groom becomes a member of bride's family. India: Thompson- Balys.
T137.5.	Bride (and party) fetched by groom and party after wedding. In- dia: Thompson-Balys.
T137.6.	Journey to husband's home accompanied by attendants. India: Thompson-Balys.
T141.	Assignment of bride to another. Icelandic: Boberg.
K1371.1.	Lover steals bride from wedding with unwelcome suitor.
T141.1.	Dying man assigns bride to his brother. Child I 376, 378 n.
T141.2.	Wives exchanged. Irish myth: *Cross; India: Thompson-Balys; Eskimo (Cumberland Sound): Boas BAM XV 223, (Greenland): Holm 75.
T141.3.	Hero assigns the bride he has won to another. Icelandic: *Boberg.
T143.	Infant marriages. India: *Thompson-Balys.
T145.	Polygamous marriages. Irish myth: *Cross; Icelandic: *Boberg; Jewish: *Neuman; India: *Thompson-Balys; Africa (Duala): Leder- bogen Märchen 82, (Fang): Trilles Legends 263f.
A164.3.	Polygamy among the gods.
T145.0.1.	Polygyny. Irish myth: Cross.
T145.1.	Marriage to five women, each with separate duties. India: Thompson-Balys; Africa (Benga): Nassau 169 No. 22.
T131.3.	Eldest daughter will marry man only if he will marry all her sisters too.
T145.1.1.	Man requires seven women. Irish myth: Cross.
T145.1.2.	Seven wives each to have the husband one day a week. India: Thompson-Balys.   ## p. 359 (#363) ############################################  T. Sex 359
T145.1.3.	Man married to several sisters. India: *Thompson-Balys.
T145.2.	Second wife taken because first is barren. India: *Thompson- Balys.
T145.3.	Competition in ale-brewing between king's two wives. Icelandic: *Boberg.
H460.	Wife test.
T145.4.	Man's two wives each claim part of his body: they torment him. India: *Thompson-Balys.
T145.5.	Man pulled down stairs by his two wives. India: Thompson- Balys.
T145.6.	Polygamist must love all his wives. India: Thompson-Balys.
T145.7.	Man's senior wife ugly but diligent; his second, beautiful but lazy. Africa (Fang): Trilles 264.
T145.8.	Polygamy so that head wife may be quickly replaced for wrongdoing. Africa (Konnoh): Willans 139.
T146.	Polyandry. Woman with two husbands. Irish myth: *Cross; Ice- landic: Boberg; India: *Thompson-Balys.
A164.5.	Polyandry among the gods.
T146.1.	Several men marry one woman. Grimm No. 4; Jewish: Neuman.
T563.1.	Child of three fathers born with three stripes.
T586.3.	Multiple birth as result of relations with several men.
T146.2.	Woman requires thirty men. Irish myth: Cross.
T147.	Marriages made at annual festival. Irish myth: *Cross; India: Thompson-Balys.
T148.	Matriarchy. Irish myth: *Cross; Jewish: Neuman.
A164.4.	Matriarchy among the gods.
T55.	Girl as wooer.
T148.1.	Son named for mother. Irish myth: *Cross.
T150.	Happenings at weddings.. *Hdwb. d. Abergl. IV 148ff.; India: Thompson-Balys.
A185.5.	Deity assists at mortal's wedding.
D2006.1.5.	Forgotten fiancée attracts attention by magically stopping wedding carriage of new bride.
F322.1.	Changeling bride. Fairies steal bride and leave a sub- stitute.
F417.1.	Spirits borrow from mortals at weddings; return goods later.
J1171.2.	Solomonic judgment: the divided bride.
J2462.	Foolish bridegroom follows instructions literally. K1371, Bride stealing.
N318.2.	Princess accidentally elopes with wrong man.
N681.	Husband (lover) arrives home just as wife (mistress) is to marry another.
R31.	Light extinguished and woman stolen.
R225.	Elopement.
T151.	Year's respite from unwelcome marriage. *Type 300, 301; *Loomis White Magic 120; Irish myth: *Cross; Welsh: MacCulloch Celtic 94; English: Wells 135 (Sir Degare); Icelandic: *Boberg; India: *Thomp- son-Balys.
K522.0.1.	Death feigned to escape unwelcome marriage.
N681.	Husband (lover) arrives home just as wife (mistress) is to marry another.
T151.0.1.	Respite ruse. Captive maiden assigns quest, agreeing to marry when it is accomplished. Irish myth: *Cross.
R10.1.	Princess (maiden) abducted.
H1210.	Quest assigned.
K550.	Escape by false plea.
T151.0.2.	Father giving away daughter makes condition: son-in-law not   ## p. 360 (#364) ############################################  360 Motif-Index of Folk-Literature to see daughter as his wife during one year. Africa (Dahome): Ein- stein 25.
T151.1.	Six months' respite from unwelcome marriage. India: *Thomp- son-Balys.
T151.2.	Thirty days' respite from unwelcome marriage. India: *Thomp- son-Balys.
T151.3.	Other respites from unwelcome marriage (three months, two years, etc.). India: *Thompson-Balys.
T152.	Bride wounded accidentally on way home. Fatal wound from bridegroom's sword. Child I 142b.
T153.	Bridegroom slain on way to bride. Child I 142, 386, IV 179ff.
T154.	Cruel stepmother enchants stepdaughter on eve of wedding. (Cf. D5,
S31.	) Icelandic: Boberg.
T155.	Old beggar transforms wedding party into wolves. (Cf.
D113.1.	) Dh III 454; Finnish: Aarne FFC VIII 14 No. 75, XXXIII 53 No. 75; Estonian: Aarne FFC XXV 130 No. 73, 145 No. 38; Lithuanian: Balys Index No. 3674; Livonian: Loorits FFC LXVI 63 No. 160.
T156.	Marriage for a night to evade law. In order to have girl escape unwelcome marriage, the hero agrees to marry her and give her up the next day. He puts up a large bond as pledge to give her up. But he gets hold of the money by trickery and keeps her. *Chauvin V 45 No. 18 n. 1.
K231.	Debtor refuses to pay his debt.
K1915.1.	Monk becomes hus- band to girl at night, so that his friend may have dowry.
T156.1.	Marriage for a night to insure heir of warrior destined to be slain (next day) in battle. Irish myth: *Cross.
T157.	Affianced wife of chieftain falls in love with another man at betrothal feast, drugs the company with sleeping potion, and forces man of her choice to elope with her. Irish myth: *Cross.
T160.	Consummation of marriage. India: Thompson-Balys.
T161.	
C117.	Nuptial tabu. Husband and wife forbidden intercourse for de- finite time.
D2006.1.4.	Forgotten fiancée buys place in husband's bed and reawakens his memory.
H38.2.3.	Recognition of maidservant substitute bride by her habitual conversation.
J1306.	How marriage was consummated.
K1843.	Wife deceives husband with substituted bedmate.
K1844.	Husband deceives wife with substituted bedmate.
K1911.	The false bride (substituted bride).
K2052.	The oversensitive bride.
T92.4.	Girl mistakenly elopes with the wrong lover.
T288.	Wife refuses to sleep with unbeloved husband, Jus primae noctis. Overlord claims right of sleeping the first night with subject's wife. Liebrecht Orient und Occident II 541f., Liebrecht 94, 416; Herrmann Saxo II 324; *Hertz Abhandlungen 207ff.; *Hdwb. d. Abergl. III 746; *Wesselski Archiv Orientální I 82f. Irish: MacCulloch Celtic 140, *Cross; Swiss: Jegerlehner Ober- wallis 319 No. 21; French: Sébillot France IV 285; Jewish: *bin Gorion Born Judas2 I 363, *Neuman; India: Thompson-Balys.
A1556.4.	Origin of jus primae noctis.
P19.2.	King may have any woman to be his paramour if he makes her a settlement.
S185.2.	King de- mands intercourse with woman in childbed.
T281.	Sex hospitality.
T161.0.1.	King deflowers all twelve year old girls. India: Thompson- Balys.
T161.1.	Lover allowed to sleep with woman first few nights after her marriage to another. India: Thompson-Balys.   ## p. 361 (#365) ############################################  T. Sex 361
T162.	Feast of "bedding and handspreading" before consummation of marriage. Irish myth: Cross.
T165.	Girl may remain virgin for three days after marriage. (Cf.
C117.	) *Fb "brud" IV 64b; *DeVries Zs. f. deutsche Philologie LIII 276f.; Hdwb. d. Abergl. III 739; Icelandic: *Boberg; Italian Novella: Rotunda.
T165.1.	Consummation of marriage postponed until revelation by dream of future of family has been secured. DeVries Zs. f. deutsche Philo- logie LIII 277.
T165.2.	One year to elapse between ceremony and consummation of marriage. Italian Novella: Rotunda.
T165.3.	Twenty-four hours to elapse before consummation of marriage. Italian Novella: Rotunda.
T165.4.	Bride and groom separated on wedding night. Italian Novella: Rotunda.
T165.5.	Three years asked before consummation of marriage as trick. Icelandic: *Boberg.
T165.6.	Consummation of marriage postponed till couple return home. India: Thompson-Balys.
T165.7.	For first six months bride of prince is only to sit an hour or two in his house. India: Thompson-Balys.
T166.	Bride afraid of intercourse refuses consummation until judge orders it in court. Cent Nouvelles Nouvelles No. 86.
T166.1.	Bride refuses to sleep with ugly groom. India: Thompson-Balys. Bridegroom must be taught sexual intercourse. Chinese: Gra-
T166.2.	ham.
J1744.	Ignorance of marriage relations.
J2462.	Foolish bridegroom follows instructions literally.
T171.	Bridegroom driven from bridal chamber by magic. Usually by hornets or wasps. *Type 559; *BP II 454; Italian: Basile Pentamerone III No. 5; Japanese: Ikeda; N. A. Indian: Thompson CColl II 411ff.
T172.	Dangers to husband in bridal chamber. India: *Thompson-Balys.
K1210.	Humiliated or baffled lovers.
T172.0.1.	All husbands have perished on bridal night. See references to
F547.1.	1, F582,
F582.1.	*Types 506-08; India: *Thompson-Balys.
F547.1.1.	Vagina dentata. Woman kills her husbands with her toothed vagina.
F582.	Poison damsel. Woman nourished on poison is fatal to her husbands. Sometimes the poisoning is from fatal look, or breath, sometimes from intercourse.
F582.1.	Serpent damsel. Woman has ser- pent inside which comes out and kills her bridegrooms.
T172.1.	Bridal chamber filled with coiled snakes. Greek: Frazer Apollo- dorus I 93.
T172.2.	Bridal chamber invaded by magic dragon (serpent). (Cf.
B176.1.	) *Types 507AB, 516; Liljeblad passim; Italian: Basile Pentamerone IV No. 9; India: *Thompson-Balys.
T172.2.1.	Grateful dead man kills princess's monster husband. (Or other- wise renders her innocuous to the bridegroom.) *Type 506-08.
E341.	The grateful dead.
T118.	Girl married to a monster.   ## p. 362 (#366) ############################################  362 Motif-Index of Folk-Literature
T172.3.	Bride's monster-father tries to kill husband, but is defeated. Icelandic: Boberg.
T173.	Murderous bride. India: *Thompson-Balys.
T173.1.	Strong bride tries to stifle husband in bed. *Type 519.
K1844.1.	Husband has his strong servant substitute in bed with strong wife. The supernaturally strong wife is about to kill her husband.
T173.2.	Hostile brides kill husbands in the bridal bed. *Encyc. Britannica 13 s.v. "Danaus"; Frazer Apollodorus I 143 n. 1; Lithuanian: Balys Index No. 306A*; India: *Thompson-Balys.
K872.	Judith and Holofernes: girl from enemy camp chosen to sleep with intoxicated general kills him in bed.
T175.	Magic perils threaten bridal couple. The perils are various-magic horse, poison, enchanted clothes, etc. *Type 516; **Rösch FFC LXXVII 123ff.; Italian: Basile Pentamerone IV No. 9; India: *Thomp- son-Balys; Korean: Zong in-Sob 155 No. 68.
M352.	Prophecy of particular perils to prince on wedding journey.
N342.1.	Faithful servant guarding master's wife from danger falsely condemned for betraying his master.
R169.4.1.	Rescue of bride from mysterious perils by hidden faithful servant.
T175.1.	Falling furniture threatens bridal couple. Furniture etc. arranged by jealous rival so that it will fall. India: *Thompson-Balys.
T177.	Bridegroom magically impelled to leave his bride. Irish myth: *Cross; Italian: Basile Pentamerone I Nos. 7, 9. See also all referen- ces to Forgotten Fiancée (D2003).
T294.	Husband (wife) of supernatural being longs for old home and visits relatives.
T376.1.	Man leaves earthly bride for service of Virgin.
T181.	Dangerous husband. (Cf.
T172.	) India: Thompson-Balys.
T182.	Death from intercourse. India: Thompson-Balys.
F1041.	Extraordinary physical reactions of persons.
T190.	Marriage-miscellaneous motifs.
T192.	Marriage by force. India: Thompson-Balys. T200-
T299.	Married life.
T200.	Married life.
C31.	Tabu: offending supernatural wife.
C32.	Tabu: offending super- natural husband.
C713.	Forsaken merman.
D732.	Loathly lady.
D733.	Loathly bridegroom.
D735.1.	Beauty and the beast.
D1978.4.	Hero wakened from magic sleep by wife who has purchased place in his bed from false wife.
D2003.	Forgotten fiancée.
D2006.1.4.	Forgotten fiancée buys place in husband's bed and reawakens his memory.
E221.1.	Dead wife haunts husband on second marriage.
H1187.	Task left by departing husband for wife to accomplish.
H1385.3.	Quest for vanished wife (mistress).
H1385.4.	Quest for vanished husband.
J229.1.	Choice: staying at home with loving wife or going to tavern and having unfaithful wife. Man chooses latter.
J461.2.	Common wives of man debate as to which has helped him most.
J482.	King advised to marry maid rather than widow.
J1151.1.2.	Husband discredited by absurd truth.
J1540.	Retorts between husband and wife.
J1545.	Wife outwits her husband.
J1701.	Stupid wife.
J1713.	Foolish married couples. J2301, Gullible hus- bands.
J2353.	The wife multiplies the secret.
J2511.	The silence wager. A man and his wife make a wager as to who shall speak first.
J2516.3.1.	Wife follows written instructions.
J2523.	The obedient husband.
K1911.	The false bride (substitute bride).
N2.6.	Wife as wager.
N681.	Husband (lover) arrives home just as wife (mistress) is to marry another.
P210.	Husband and wife.
Q115.1.	Reward: any boon that may be asked- king's wife demanded.
R227.2.	Flight from hated husband.   ## p. 363 (#367) ############################################  T. Sex 363
T201.	Marriage destroys friendship. Lover and mistress live together and are happy; become unhappy as soon as they marry. *Pauli (ed. Bolte) Nos. 215, 217.
T202.	The happy couple: wife blind, husband deaf. Italian Novella: Rotunda.
T203.	Peace in marriage more important than truth. Jewish: Neuman.
T210.	Faithfulness in marriage. India: Thompson-Balys.
E321.	Dead husband's friendly return.
E322.	Dead wife's friendly return.
E756.5.	Saved soul of woman assists her husband's soul in battle against demons.
H400.	Chastity test.
H430.	Chastity index.
H492.	Test of faith- fulness of husband and wife.
J482.1.1.	Woman refuses a second mar- riage.
J1545.4.	The exiled wife's dearest possession.
J1545.6.	Wife by cleverness wins back fortune overbearing husband has foolishly lost and humbles him.
M254.	Promise to be buried with wife if she dies first.
N455.6.	Husband learns of wife's fidelity through conversation over- heard.
Q83.	Reward for marital fidelity.
Q394.	Uxoriousness punished.
R151.	Husband rescues wife.
R152.	Wife rescues husband.
T210.1.	Faithful wife. Korean: Zong in-Sob 106ff. No. 57.
D733.2.	Swine bridegroom. Bride disenchants him by her love.
T210.2.	Faithful husband. Jewish: *Neuman; Chinese: Eberhard FFC CXX 252.
T211.	Faithfulness to marriage in death. Herrmann Saxo II 94; Ice- landic: *Boberg; Korean: Zong in-Sob 30 No. 13.
F1041.1.1.3.	Heart breaks from sorrow.
K1353.	Woman deceived into sacrificing honor. Ruler promises to release her brother (husband) but afterwards refuses to do so.
M135.	Vow never to remarry.
T455.2.	Woman sacrifices her honor to free her husband (brother) from prison.
T211.1.	Wife dies so that husband's death may be postponed. Greek: Euripides' Alcestis. *Grote I 108.
D1855.2.	Death postponed if substitute can be found.
E165.	Resuscitation of wife by husband giving up half his remaining life. (Sometimes vice versa.)
R185.	Hercules fights with "Death" and rescues Alcestis.
T211.1.1.	Woman drowns herself as sacrifice to water-gods to save husband's boat from capsizing. Japanese: Anesaki 304.
C41.3.	Tabu: crossing water when spirits are offended.
S263.	Sacrifice to appease spirits (gods).
T211.1.2.	Husband learning from augurs that his wife will die if he saves self from serpent, lets self be bitten to death. Spanish Exempla: Keller.
T211.1.3.	Wife offers to sacrifice her right arm for husband's safe return. India: Thompson-Balys.
T211.1.4.	Female deer offers herself instead of her mate, who has been captured. Hunter, struck by her sacrifice, lets both go. India: Thomp- son-Balys.
T211.2.	Wife's suicide at husband's death. (Cf.
T81.7.	) Icelandic: *Boberg; India: *Thompson-Balys.
T211.2.1.	Wife throws herself on husband's funeral pyre. Icelandic: *Bo- berg; Greek: Frazer Apollodorus I 375 n. 3 (Evadne); Spanish Exempla: Keller; India: *Thompson-Balys.
T211.2.1.1.	
P16.4.1.	Suttee. Wife burned with dead king.
S123.2.	Burial of living husband or wife with dead spouse.
V61.2.	Dead burned on pyre. Wife prefers to be burned together with husband even though she was forced to marry him and she has helped to prepare the revenge. Icelandic: Boberg.   ## p. 364 (#368) ############################################  364 Motif-Index of Folk-Literature
T211.2.2.	Wife promises to die with husband. India: Thompson-Balys.
T211.3.	Husband and wife kill themselves so as not to be separated. Chinese: Werner 400.
A968.2.	Cliff from lovers' leap. Lovers in despair throw themselves from a high place. This becomes a cliff.
T211.3.1.	Husband falls on sword when his wife dies. Spanish Exempla: Keller.
T211.3.2.	Wife hangs self because her husband has been killed. Spanish Exempla: Keller.
T211.4.	Spouse's corpse kept after death.
T211.4.1.	Wife's corpse kept after death. Type 612; Wesselski Märchen 188, 191; BP I 463f.; Moth Danske Studier (1915) 97ff.; Pauls Der Ring der Fastrada (Aachen, 1896); Chauvin II 201ff.; Cowell Jātaka II 108.
T85.4.	Lover's body kept embalmed for years by grieving mistress.
T85.4.1.	Ring of Fastrada. Lover keeps body of dead mistress intact by means of magic ring.
T211.4.2.	Husband's corpse kept after death.
T211.4.2.1.	Wife will not give up dead body of husband to God of Death. India: Thompson-Balys.
T211.5.	Man becomes a hermit after his wife's death. *Dickson 264 n. 85.
T211.6.	Widowed she-fox rejects suitors who do not resemble her deceased husband. *Type 65; BP I 362; *Taylor JAFL XLVI 78; Fb "ræv" III 113b.
T211.7.	Girl forced to marry before sweetheart's return is faithful to her husband. When she refuses to give her former fiancé a kiss, he falls dead. She goes to his funeral and falls dead over his body. Italian Novella: *Rotunda.
F1041.1.1.	Death from broken heart.
T81.3.	Girl falls dead on lover's body.
T86.	Lovers buried in same grave.
T211.8.	Wife unwilling to deceive her husband for the man she loves. Icelandic: Boberg.
T211.9.	Excessive grief at husband's or wife's death. Icelandic: *Boberg.
T211.9.1.	Wife dies of grief for death of husband. (Cf.
T81.7.	) Irish myth: Cross.
T211.9.1.1.	Wife swoons realizing her husband is dead. India: Thomp- son-Balys.
T211.9.2.	Man kills self in grief for wife. Irish myth: Cross.
T211.9.2.1.	Grieving man goes to die where his wife's corpse lies. India: Thompson-Balys.
T212.	Loving couple die of separation. Penzer II 9.
T212.1.	Constancy of wife brings husband back to life. India: Thomp- son-Balys.
T213.	Husband (wife) sickens as result of separation from spouse. Irish myth: Cross.   ## p. 365 (#369) ############################################  T. Sex 365
T215.	Faithfulness of married couple in misfortune. India: Thompson- Balys.
T215.1.	Wife carries mutilated husband on her back so that he may beg. Paris Zs. f. Vksk. XIII 4.
T215.2.	Wife offers starving husband (father) milk from her breasts. Irish: MacCulloch Celtic 179, *Cross.
T215.3.	
R81.	Woman suckles imprisoned relative through prison wall. Husband nourishes starving wife with his own flesh and blood. Paris Zs. f. Vksk. XIII 5.
T215.4.	Wife puts out one of her eyes to show sympathy with her hus- band. He has lost an eye in a tournament and is ashamed to return to her. She shows that it makes no difference in her love. Von der Hagen I cxxiv; Spanish Exempla: Keller.
T215.5.	Fugitive returns to his family so that they may collect reward from his capture. Italian Novella: Rotunda.
T215.6.	Woman swims nightly to husband's prison and arranges his escape. Spurns the attentions of treacherous suitor. (Cf.
R152.	) Italian Novella: Rotunda.
T215.7.	Wife travels for years with sick husband in order to have him cured. Icelandic: Lagerholm 107-15, Boberg.
T215.7.1.	Wife alone does not desert leprous husband. Jewish: Neuman; Buddhist myth: Malalasekera II 1060.
T215.8.	Woman sells her hair to feed starving husband. Jewish: Neu- man.
T216.	Loathly bridegroom carried on back in basket by wife. Indonesia: Dixon 211.
D733.	Loathly bridegroom. Woman disenchants loathsome man by em- bracing him.
L54.1.	Youngest daughter agrees to marry a monster.
T217.	Wife refuses to become unfaithful although she knows her hus- band to be so. Italian Novella: Rotunda.
T221.	Woman's naivité proves her fidelity. Man is rebuked for having bad breath. He reproves his wife for never having told him. “I thought that men liked it as I did." He realizes that his wife has not known any other man. Spanish Exempla: Keller; Italian Novella: Rotunda.
T222.	Wife hides husband's unfaithfulness from emperor and even shelters his mistress. Spanish Exempla: Keller.
T224.	Husband tempted by own wife disguised in fine clothes: says he will touch no woman save his wife. She puts on her old clothes. India: Thompson-Balys.
T230.	
K1814.1.	Prince marries dancing girl not knowing that she is his former wife.
T235.	Husband transforms himself to test his wife's faithfulness. Faithlessness in marriage. Irish myth: *Cross; India: Thompson- Balys.
A2237.1.	Animal reveals mistress's adultery: punished by master.
B131.3.	Bird betrays woman's infidelity.
B134.1.	Dog betrays woman's infidelity.
C12.4.	Man commends wife to devil. Devil guards wife's chastity.
D662.	Transformation to cure inconstant husband.
H400.	Chastity test.
H492.	Test of faithfulness of husband and wife.
J229.1.	Choice: staying at home with loving wife or going to tavern and having unfaithful wife.   ## p. 366 (#370) ############################################  366 Motif-Index of Folk-Literature Man chooses latter.
J221.1.	King overlooks wife's unfaithfulness rather than to cause troubles of state.
J882.1.	Man with unfaithful wife com- forted when he sees the queen's unfaithfulness.
J1182.1.	To be beaten by deceiver of husband.
J1184.1.	Adulteress hurled from high rock escapes injury: she may not be punished again.
J1532.	Adulteress's absurdity rebuked.
J2301.	Gullible husbands.
K713.1.7.	Faithless wife ties hus- band's hair to bed, allowing lover to kill him.
K1500.	Deceptions con- nected with adultery.
K1813.1.	Disguised husband wins his faithless wife's love.
K1814.	Woman in disguise wooed by her faithless husband.
K1843.	Wife deceives husband with substituted bedmate.
K2213.	Treacher- ous wife.
R227.2.	Flight from hated husband.
T383.	Futile attempts to keep wife chaste.
T481.	Adultery.
T230.1.	Wife and husband believe each unfaithful at the slightest pro- vocation. India: Thompson-Balys.
T230.2.	Faithless wife causes her husband to go insane. India: Thomp- son-Balys.
T231.	The faithless widow. Irish myth: *Cross.
K2052.4.	The oversensitive or hypocritical widow.
K2213.1.	Matron of Ephesus.
P22.	Queen marries murderer of her fiancé,
