rownum	motif_id	text
2379	A1031.2	World-fire after theft of fire.
2380	A1031.3	Evil demons set world on fire.
2381	A1031.4	Fall of sun causes world-fire.
2382	A1031.4.1	All countries burned while the wife of sun god pours fire from a small bowl.
2383	A1031.5	World-fire because of man's arrogance.
2384	A1031.6	Miscellaneous reasons for world-fire.
2385	A1035	Quenching the world-fire.
2386	A1035.1	Rain invoked to destroy world-fire.
2387	A1035.2	Creator puts out world-fire with his staff.
2388	A1036	Earth recreated after world-fire.
2389	A1038	Men hide from world-fire and renew race.
2390	A1039	World-fire miscellaneous.
2391	A1039.1	Vulture sent out as scout to see whether earth has cooled from world-fire.
2392	A1040	"Continuous winter destroys the race. Spoken of as ""Fimbulwinter"". It ushers in the end of the world."
2393	A1045	One pair escapes continuous winter and renews race.
2394	A1046	Continuous world-eclipse.
2395	A1046.1	World-eclipse ended by bat making sun smile.
2396	A1050	Heavens break up at end of world.
2397	A1051	Behavior of stars at end of world.
2398	A1051.1	Stars fall down at end of world.
2399	A1051.2	End of world when stars in one constellation overtake those in another.
2400	A1052	Behavior of sun at end of world.
2401	A1052.1	Sun devoured by monster at end of world.
2402	A1052.2	Sun shining at night as sign of Doomsday.
2403	A1052.3	End of world when four (seven) suns appear in sky.
2404	A1053	Behavior of moon at end of world.
2405	A1053.1	Moon shining by day as sign of Doomsday.
2406	A1057	Seven days silence in whole universe at the end of the world.
2407	A1058	End of world when culture hero removes one of the world-props.
2408	A1060	Earth-disturbances at end of world.
2409	A1061	Earth sinks into sea at end of world.
2410	A1061.1	Earthquakes at the end of the world.
2411	A1062	Mountains fall together at end of world.
2412	A1063	Water-disturbances at end of world.
2413	A1063.1	Sea makes extraordinary noise and throws out fishes at end of world.
2414	A1063.2	Sea water mixes with fresh water at end of the world.
2415	A1065	Continuous drought at end of world.
2416	A1066	Sun will lock moon in deep ditch in earth's bottom and will eat up stars at end of world.
2417	A1067	Extraordinary wind at end of the world.
2418	A1068	Sun thrown on fire: period of darkness, rain.
2419	A1069	Flow of molten metal at end of world.
2420	A1070	Fettered monster's escape at end of world. Giant, or monster, is fettered in depths of the earth. His movement causes earthquakes. When he succeeds in freeing himself from the fetters and escapes, the world will end.
2421	A1070.1	Birth of monsters as sign at end of world.
2422	A1071	Fettering of underground monster.
2423	A1071.1	Underground monster fettered by trick. Is persuaded to try on fetters.
2424	A1071.2	Forging of chain for fettered monster. Smiths hit once in three or four times on the bare anvil. All of these blows go to forging chains for the monster (devil).
2425	A1072	Form of fettered monster.
2426	A1072.1	Fettered monster in human form.
2427	A1072.2	Fettered monster as ferocious animal.
2428	A1072.3	Fettered monster as snake.
2429	A1072.4	Fettered monster as dragon.
2430	A1074	Fettered monster's captivity.
2431	A1074.1	Monster fettered with sword just out of reach. If he reaches it he will free himself.
2432	A1074.2	Fettered monster's vain attempt to reach sword with man's help. Could he reach it he would escape.
2433	A1074.3	"Fettered monster questions visitor. He asks ""Are lambs still being produced?"" or the like; i.e. is nature still normal? He must remain fettered till he hears that nature's laws no longer hold."
2434	A1074.4	Fettered monster preyed upon by vulture.
2435	A1074.5	Fettered monster kept just out of reach of water. The water is always drunk by vulture as he is ready to take it.
2436	A1074.6	Fettered monster vainly loosens his stake. Each time he loosens it, it is driven in the ground.
2437	A1074.7	Fettered monster's weakened chains renewed by supernatural power. Are almost licked in two by dog but then renewed.
2438	A1074.8	Fettered monster's weakened chains renewed by stroke of a smith.
2439	A1075	End of world heralded by coming of Antichrist, a gigantic destructive one-eyed monster.
2440	A1075.1	Signs before the birth of Antichrist.
2441	A1080	Battle at end of world. Armageddon.
2442	A1080.1	Horse shall wade in blood at Armageddon.
2443	A1081	Battle of the gods at end of world.
2444	A1082	Battle of gods and monster at end of world.
2445	A1082.1	Battle of gods and giants at end of world.
2446	A1082.2	Odin battles Fenris Wolf at end of world.
2447	A1082.2.1	Other gods battle Fenris wolf at end of world.
2448	A1082.2.2	God battles hound of hell at end of world.
2449	A1082.3	Thor battles Midgard serpent at end of world.
2450	A1082.3.1	End of world to come at disease and death of snake encircling the world.
2451	A1082.4	God battles Leviathan at end of world.
2452	A1082.5	God conquers Satan at end of world.
2453	A1082.6	Battle of saints with Lucifer at end of world.
2454	A1082.7	Battle of angels with Leviathan and Behemoth at end of world.
2455	A1084	Prophecy of defeat in battle as sign of end of the world.
2456	A1085	End of the gods.
2457	A1087	Monsters kill each other off at end of world.
2458	A1090	World calamities and renewals: miscellaneous motifs.
2459	A1091	Natural laws inoperative at end of world.
2460	A1091.1	Three horses from dove's egg on last day.
2461	A1093	End of world announced by trumpet.
2462	A1095	The Messianic Age.
2463	A1097	Extraordinary man at end of the world.
2464	A1099	World calamities additional motifs.
2465	A1099.1	World destroyed by rain of stones.
2466	A1099.2	World devoured by ogre.
2467	A1099.3	World turned topsy-turvy and eaten by an earthworm.
2468	A1100	Establishment of natural order.
2469	A1101	The four ages of the world. A development of the present order through four stages or periods, the golden, silver, bronze, and iron ages, or the like.
2470	A1101.1	Golden age. A former age of perfection.
2471	A1101.1.1	Reign of peace and justice (under certain king).
2472	A1101.1.2	Even trees could speak in golden age.
2473	A1101.1.3	Former age: spirits and ogres lived with men, and gods appeared in human guise.
2474	A1101.2	Reversal of nature in former age.
2475	A1101.2.1	Formerly men plowed and cattle were their masters.
2476	A1101.2.2	Formerly men ate grass: cattle ate rice and pulse.
2477	A1101.2.3	Formerly men dumb: birds and animals talked.
2478	A1101.2.4	Formerly men could go safely beneath the sea.
2479	A1102	Why powers of nature work on Sabbath.
2480	A1103	Nature transformed by God once in seven years.
2481	A1110	Establishment of present order: waters.
2482	A1111	Impounded water. Water is kept by monster so that mankind cannot use it. A hero defeats the monster and releases the water. (The monster is sometimes a giant frog.)
2483	A1113	God promises never again to destroy world by water.
2484	A1115	Why the sea is salt.
2485	A1115.1	Why the sea is salt: because of wrecked salt ship.
2486	A1115.2	Why the sea is salt: magic salt mill. Stolen by sea-captain, who takes it aboard and orders it to grind. It will stop only for its master; ship sinks and mill keeps grinding salt.
2487	A1115.3	Why the sea is salt: heavy rain showers on ashes of wood burnt by primeval fire.
2488	A1116	Origin of sea-waves.
2489	A1116.1	Sea-waves are (manes of) sea-god's horses.
2490	A1117	Origin of foam on waters.
2491	A1118	Origin of swirling motion of water. Animals and birds scratch in it.
2492	A1119	Establishment of present order: waters miscellaneous.
2493	A1119.1	Why sea is blue.
2494	A1119.2	Why sea waters are warm: kept so by Leviathan.
2495	A1119.3	Origin of sea's unpleasant odor.
2496	A1120	Establishment of present order: winds.
2497	A1121	Breathing of deity (spirit) causes winds.
2498	A1122	Cave of winds. Winds originally confined in caves.
2499	A1122.1	Hole of winds: stopper destroyed. The hole is stopped with a wooden stopper, which is destroyed. The country dries up.
2500	A1122.2	Wind a bird dwelling in mountain-hole.
2501	A1122.3	Lost wind found in hollow tree: has been banished and is needed by men.
2502	A1122.4	Wind comes through holes in sky when gut covering is cut.
2503	A1123	Winds as children of titans (giants).
2504	A1125	Winds caused by flapping wings. A giant bird causes the wind with his wings. The wings are cut by the culture hero so that the bird cannot flap so hard.
2505	A1125.1	Wind caused by flapping of ears of giant.
2506	A1126	Wind caused by wind-god's movements. When the son of the wind lies down, the wind blows.
2507	A1127	Winds of the four quarters established.
2508	A1127.1	Effect of the four winds on weather.
2509	A1127.1.1	North wind tempers fury of south wind.
2510	A1127.1.2	South wind causes heat and hurricanes.
2511	A1127.2	Gentle west wind said to be exhausted from fleeing deity.
2512	A1128	Regulation of winds.
2513	A1128.1	Angels' wings protect earth from winds.
2514	A1128.2	When wind-spirit is awake it storms; asleep, it is calm.
2515	A1129	Establishment of present order: winds miscellaneous.
2516	A1129.1	Colors of winds.
2517	A1129.1.1	Creator establishes twelve winds, each a different color.
2518	A1129.2	Origin of monsoon: from chewed skin and spit of pair of divine friends eating guavas.
2519	A1129.3	Wind is blind.
2520	A1130	Establishment of present order: weather phenomena.
2521	A1130.1	Angels set over clouds, winds, and rains.
2522	A1130.2	Origin of storms in sixth heaven.
2523	A1131	Origin of rain.
2524	A1131.0.1	Regulation of rains.
2525	A1131.0.2	Why it rains most in the hills.
2526	A1131.1	Rain from tears.
2527	A1131.1.1	Rain from urine.
2528	A1131.2	Rainy weather sent by saint as punishment.
2529	A1131.3	Rain from sea in upper world.
2530	A1131.4	Rain from container in sky.
2531	A1131.4.1	Rain kept in waterskin dragged along sky floor.
2532	A1131.5	Rain from rain-god (rain spirit).
2533	A1131.6	Rain shed by stars.
2534	A1132	Origin of dew.
2535	A1133	Origin of clouds.
2536	A1133.1	Origin of clouds from Ymir's brain.
2537	A1133.2	Origin of clouds: creator ornaments the sky with clouds so that the mountains are sometimes shaded.
2538	A1133.3	Clouds as smoke rising to sky.
2539	A1133.4	Clouds as God's shield.
2540	A1134	Origin of mist (fog).
2541	A1135	Origin of wintry weather.
2542	A1135.1	Origin of cold in winter.
2543	A1135.1.1	Origin of cold: sun turns fiery face upward.
2544	A1135.2	Origin of snow.
2545	A1135.2.1	Snow from feathers or clothes of a witch (Frau Holle).
2546	A1135.3	Origin of frost.
2547	A1135.4	Origin of hail.
2548	A1137	Causes of hot weather: God bores hole in hell.
2549	A1141	Origin of lightning.
2550	A1141.1	Lightning as fiery snake.
2551	A1141.2	Lightning from flashing sword.
2552	A1141.3	Lightning from heavenly horses striking hoofs against stars.
2553	A1141.4	Lightning as god's whip.
2554	A1141.5	Lightning as God's messenger.
2555	A1141.6	Lightning produced by deity.
2556	A1141.7	Lightning from fire.
2557	A1141.7.1	Lightning as torches of invisible dancers.
2558	A1141.8	Origin of lightning other motifs.
2559	A1142	Origin of thunder.
2560	A1142.0.1	Origin of thunderbolt.
2561	A1142.1	Creator's (deity's) voice makes thunder.
2562	A1142.2	Thunder from flying dragon.
2563	A1142.3	Persons escape to sky and become thunder.
2564	A1142.4	Origin of thunder clouds: from wings of mountains.
2565	A1142.5	Thunder is sound of God's gun.
2566	A1142.5.1	Thunder caused by God beating his weapon.
2567	A1142.5.1.1	Thunder from crashing of stones in moon as goddess beats tapa.
2568	A1142.5.1.2	Thunder from thunder-spirit beating his children.
2569	A1142.6	Cause of thunder: sounds of the horses' hoofs as gods play ball.
2570	A1142.6.1	Thunder from clashing weapons of warring spirits in sky.
2571	A1142.7	Thunder from deity separating the winds which try to unite.
2572	A1142.8	Thunder is noise of waterskin which rain-god drags along sky floor.
2573	A1142.9	Thunder made by giants in sky.
2574	A1142.9.1	Thunder the drums of dead.
2575	A1145	Cause of earthquakes.
2576	A1145.1	Earthquakes from movements of subterranean monster.
2577	A1145.2	Earthquakes from movements of sea-monster.
2578	A1147	Origin of stormy sky.
2579	A1147.1	Origin of red sky (blood).
2580	A1148	Origin of tornado sunsets; i.e., peculiar sunsets foreboding tornadoes.
2581	A1150	Determination of seasons.
2582	A1150.1	Establishment of times for sowing and reaping.
2583	A1151	Theft of the seasons. Certain seasons are lacking. A culture hero steals the season from a monster and brings it to his people.
2584	A1152	Boneless man turned over to produce seasons.
2585	A1153	Seasons produced by marriage of North and South.
2586	A1154	Genealogy of summer and winter.
2587	A1155	Why days lengthen in spring.
2588	A1156	Why days shorten in autumn: the real sun sets very early because the red cockscomb plant, used to kill his brother sun with, grows to its full height during this time.
2589	A1157	Causes of seasons deities push sun back and forth at solstices.
2590	A1160	Determination of the months.
2591	A1161	February's shortage of days. Days stolen by January and March.
2592	A1170	Origin of night and day.
2593	A1171	Origin of day.
2594	A1171.1	Opening of creator's eyes creates day.
2595	A1171.2	Windows in firmament shed light.
2596	A1171.3	Angels of the day:  Jewish: Neuman.
2597	A1171.4	Origin of day: son of the night and the dawn.
2598	A1172	Determination of night and day. After much discussion, the relative length of these divisions is determined.
2599	A1172.1	Regulation of sunshine.
2600	A1172.2	Wallet containing night and day.
2601	A1172.3	Night and day have steeds and chase each other.
2602	A1174	Origin of night.
2603	A1174.1	Night (darkness) in package. Released.
2604	A1174.2	Why some nights are dark and some light.
2605	A1174.3	Purchase of night. Originally no night. Culture hero goes to distant land and buys it. He introduces sleep, etc. Cock to crow for day.
2606	A1174.3.1	Night stolen and kept in jar.
2607	A1174.4	Night caused by deity wrapping himself in dark mantle.
2608	A1177	Why sun shines on Saturday (Friday).
2609	A1178	"Origin of ""yesterday"" and ""today."""
2610	A1179	Origin of night and day miscellaneous.
2611	A1179.1	Origin of twilight.
2612	A1179.1.1	Twilight reflection of fires of hell.
2613	A1179.2	Origin of dawn.
2614	A1179.2.1	Dawn reflection of roses of paradise.
2615	A1180	Establishment of present order miscellaneous motifs.
2616	A1181	Determination of world center. By reaching to its ends.
2617	A1182	Determination of world quarters. The four cardinal points.
2618	A1185	Wings cut from flying mountains. In beginning mountains have wings. They are cut off by thunderbolt.
2619	A1186	Measuring the world.
2620	A1187	Creator appoints a chief for each class of created things: Lucifer for demons, Sion for mountains, etc.
2621	A1191	All things receive names.
2622	A1195	Origin of echo.
2623	A1196	Why salt disappeared from forests.
2624	A1200	Creation of man.
2625	A1201	Man created to rule the earth.
2626	A1205	Unacceptable gods as first inhabitants of earth.
2627	A1210	Creation of man by creator.
2628	A1211	Man made from creator's body.
2629	A1211.0.1	Man springs into existence from deity's body by his mere thinking.
2630	A1211.1	Man from dirt mixed with creator's blood.
2631	A1211.2	Man from sweat of creator.
2632	A1211.3	Man from spittle of creator.
2633	A1211.3.1	Being made from spittle of the gods.
2634	A1211.4	Man made from creator's eye.
2635	A1211.5	Man made from dirt rubbed from creator's (hero's) body.
2636	A1211.5.1	Man made from broken off toenail of creator.
2637	A1211.6	Primeval human pair spring from two drops of urine of creator (woman from half-drop).
2638	A1211.7	First man the result of maid having licked semen-stained loin cloth of creator's teacher.
2639	A1211.8	Primeval crab pulls first five living creatures out of his side.
2640	A1212	Man created in creator's image.
2641	A1215	Man originates from god who comes to earth.
2642	A1216	Man as offspring of creator.
2643	A1216.1	Mankind from masturbation of creator with earth.
2644	A1217	Devil's unsuccessful attempt to vivify his creations as God has done. Succeeds only in making animal.
2645	A1217.1	Rebel angels oppose creation of man.
2646	A1218	Man created by co-operation of the gods.
2647	A1220	Creation of man through evolution.
2648	A1220.1	Progressive degeneration to present race of men.
2649	A1221	Mankind from unusual primeval mating.
2650	A1221.1	Mankind begotten by giant's two feet. He touches one foot with the other and begets progeny.
2651	A1221.2	"Mankind from ""Peace and Quiet fructified by Light."""
2652	A1221.3	Mankind from mating of pairs of reeds.
2653	A1221.4	Mankind from mating of tree and vine.
2654	A1221.5	"Mankind from mating of frog and ""daughter of fire."""
2655	A1221.6	Mankind from human-animal mating.
2656	A1222	Mankind originates from eggs.
2657	A1224	Descent of man from animals.
2658	A1224.0.1	Mankind is descended from marriage of human being and animal.
2659	A1224.1	Mankind descended from tadpoles.
2660	A1224.2	Mankind descended from worms or larvae.
2661	A1224.3	Woman created from dog's tail. Eve.
2662	A1224.4	Mankind born from a cow.
2663	A1224.5	Descent of men from monkeys.
2664	A1224.5.1	Men are monkeys who have lost their tails.
2665	A1224.6	Mankind descended from fish.
2666	A1224.7	Creation of man by creator from ants. He commands them to become men.
2667	A1225	First men undeveloped. Rudimentary and amorphous, gradually assume present shape.
2668	A1225.1	First couple organically united. Like Siamese twins.
2669	A1225.2	Man originally without hands and feet. Boy steals them from Python, and afterward men have them.
2670	A1225.2.1	Man given hands, feet, mouth and nose by monkey.
2671	A1226	Man created after series of unsuccessful experiments.
2672	A1226.1	Creator makes man out of butter first; it would not stand up and melted.
2673	A1227	Different types of men produced from one original type.
2674	A1230	Emergence or descent of first man to earth.
2675	A1231	First man descends from sky.
2676	A1231.1	Mankind from featherless bird sent from sky.
2677	A1232	Mankind ascends from under the earth.
2678	A1232.1	Mankind from bones of dead brought from underworld.
2679	A1232.2	Mankind emerges from lake. A woman and boy. They marry and populate earth.
2680	A1232.2.1	Mankind emerges from water.
2681	A1232.3	Mankind emerges from caves.
2682	A1232.3.1	Mankind emerges from a pit.
2683	A1234	Mankind emerges from ground.
2684	A1234.1	Earth as virgin mother of Adam.
2685	A1234.1.1	Primeval human pair spring from womb of Mother Earth.
2686	A1234.2	Mankind emerges from mountain.
2687	A1234.3	Spontaneous generation. Scientists find child on deserted island. They suggest that he has emerged from the ground.
2688	A1234.4	Earth gives birth to woman.
2689	A1236	Mankind emerges from tree.
2690	A1236.1	Mankind emerges from buds on trees.
2691	A1236.2	Tribes emerge from melon.
2692	A1240	Man made from mineral substance.
2693	A1241	Man made from clay (earth).
2694	A1241.1	Man made from piece of clay thrown on ground.
2695	A1241.2	Man made from sand sprinkled with water.
2696	A1241.3	Man made from clay image and vivified.
2697	A1241.4	Man made from earth reddened with blood of human sacrifice.
2698	A1241.4.1	Man from clay and animal's blood.
2699	A1241.5	Man made of earth brought from four different places.
2700	A1245	Man created from stones.
2701	A1245.1	New race from stones thrown over head after deluge.
2702	A1245.2	Mankind from vivified stone image.
2703	A1245.3	Mankind from cleft rock.
2704	A1245.4	Mankind from salty stone (ice block) licked by cow. (Audhumla).
2705	A1245.5	Man born from mountains.
2706	A1246	Mankind originates from shell.
2707	A1247	Mankind originates from metals.
2708	A1250	Man made from vegetable substance.
2709	A1251	Creation of man from tree.
2710	A1252	Creation of man from wood.
2711	A1252.1	Mankind from vivified wooden image.
2712	A1253	Creation of man from fruit (nut).
2713	A1253.1	Creation of man from fruit.
2714	A1253.1.1	Creation of man from fig.
2715	A1253.1.2	First man born from apple.
2716	A1253.2	Creation of man from nut.
2717	A1253.2.1	Creation of woman from coconut. The first man throws a coconut on the ground and thus creates the first woman.
2718	A1253.2.2	Men from long nuts, women from short ones.
2719	A1254	Man created from seeds.
2720	A1254.1	New race from seeds thrown over head after deluge.
2721	A1255	Man made from plant.
2722	A1255.1	Man from sugar-cane stalks.
2723	A1255.2	Man from ears of corn.
2724	A1256	Man made from herb.
2725	A1256.1	Man made from grass.
2726	A1260	Mankind made from miscellaneous materials.
2727	A1260.1	Man made from combination of different objects.
2728	A1260.1.1	Man made of four elements.
2729	A1260.1.2	Man made of substances from eight different sources.
2730	A1260.1.3	Adam's body made of eight (four) things. Body, earth; bones, stones; veins, roots; blood, water; hair, grass; thoughts, wind; spirit, clouds or warmth, fire; cold, air; dryness, earth; instability, water.
2731	A1260.1.4	Seven substances employed in composition of human body.
2732	A1260.1.5	Man made of clay with bones of stone, with blood of water and with vines for veins.
2733	A1261	Man made from water.
2734	A1261.1	Man created from sea-foam.
2735	A1261.2	Man created from egg formed from sea-foam.
2736	A1262	Man created from sweat.
2737	A1262.1	Man created from sweat, heat, and breath.
2738	A1263	Man created from part of body.
2739	A1263.1	Man created from blood.
2740	A1263.1.1	Man created from blood-clot.
2741	A1263.1.2	Man from blood of game animal.
2742	A1263.2	Man created from fingernail.
2743	A1263.3	Man created from rubbings of skin.
2744	A1263.4	Man created from spittle of holy person.
2745	A1263.5	Man created from animal horns that bloomed and bore him as fruit.
2746	A1263.6	Man created from culture hero's genitals.
2747	A1263.7	Man created from animal bone.
2748	A1265	Men created from sown dragon's teeth.
2749	A1266	Man created from food.
2750	A1266.1	Man made from meat-ball.
2751	A1268	Man created from ashes (cinders).
2752	A1268.1	Tribe born from fire.
2753	A1270	Primeval human pair.
2754	A1270.1	Primeval human pair live in innocence.
2755	A1271	Origin of first parents.
2756	A1271.1	Sun, moon, and stars bring forth first parents. Sun and moon beget son; morning and evening star beget daughter; these, the first parents, are at first without understanding, but it is awakened later by demigods.
2757	A1271.2	Sun and moon beget stones and birds: these transformed to first parents. Baining of New Britain: Dixon 110.
2758	A1271.3	First parents children of god.
2759	A1271.4	First parents originate from gold which is from body of first man. Born fifteen years old.
2760	A1273	Twin first parents.
2761	A1273.1	Incestuous first parents.
2762	A1275	Creation of first man's (woman's) mate.
2763	A1275.1	Creation of first woman from man's rib.
2764	A1275.1.1	Deity creates princess from prince's body and gives her to him.
2765	A1275.2	First man split in two to form mate.
2766	A1275.3	Of ten original men one magically changes sex.
2767	A1275.4	Creator makes woman and then begets man by her.
2768	A1275.5	Man creates a woman from melted butter, sour milk, sour cream and curds offered on the waters.
2769	A1275.6	First woman's mate made from transformed tree.
2770	A1275.7	First man created from nothing wanders until he finds mate.
2771	A1275.8	Why Eve was not made at first along with Adam.
2772	A1275.9	First man descends on earth, falls in love with and marries a fairy.
2773	A1275.10	First created man catches woman in his snare.
2774	A1276	Man chosen as best gift by primeval women. In beginning only women on earth. Deity kills one by accident and promises anything as reparation. They choose man.
2775	A1277	Offspring of first parents.
2776	A1277.1	First parents devour offspring.
2777	A1277.2	Primeval human pair allowed to bear all children they wish.
2778	A1277.3	Son of first human couple murdered by tiger sent by god; his head becomes the sun, his chest the moon, and his blood gives the red earth its color.
2779	A1277.4	First man and woman bring in children and clothe them.
2780	A1279	Primeval human pair miscellaneous.
2781	A1279.1	Of first parents husband so hideous he is kept hidden.
2782	A1280	First man (woman).
2783	A1281	Condition of first man (woman).
2784	A1281.1	First man covered with horny substance.
2785	A1281.2	Man at first covered with hair.
2786	A1281.2.1	Change of animal and human skin in ancient times.
2787	A1281.3	Man at first naked.
2788	A1281.4	Men originally self-luminous.
2789	A1281.5	First man created circumcised.
2790	A1281.6	Adam at first nameless.
2791	A1281.6.1	Adam's name composed of initial letters of four stars from the four quarters of the heavens.
2792	A1282	The mother of men.
2793	A1282.1	Mother of the world gives birth to three sons.
2794	A1285	Activities of first man.
2795	A1285.1	First man made chief over whole world.
2796	A1285.1.1	In response to Adam's prayer, God sends him to earth to be father of mankind.
2797	A1290	Creation of man other motifs.
2798	A1291	Man created by supernatural creature, not deity.
2799	A1291.1	Man created by angels.
2800	A1293	Devil in God's absence puts sickness in Adam's body.
2801	A1295	Creation in covered vessel. Men (or animals) created in a basket or from a bundle, or from under a blanket.
2802	A1296	Multiplication of man by fragmentation.
2803	A1297	First human being killed by jealous brothers (reptiles and insects).
2804	A1300	Ordering of human life.
2805	A1301	Men at first as large as giants.
2806	A1310	Arrangement of man's bodily attributes.
2807	A1310.1	Change in bodily form at fall of man. Adam's body was formerly horn-like.
2808	A1310.2	Assembling the body.
2809	A1310.3	Why men are clothed in skin.
2810	A1310.4	Why women have marks on the belly.
2811	A1311	Origin of hands and feet.
2812	A1311.1	The lizard hand. Man's hand is modeled on that of the lizard.
2813	A1311.2	Why God changed right hand into left. Man loses hand with which he gives devil a box on ears.
2814	A1311.3	Origin of fingernails.
2815	A1312	Origin of human skeleton.
2816	A1312.1	Origin of knee-caps. A stone that magically joins self to woman's body.
2817	A1312.2	Why an uneven number of ribs.
2818	A1313	Origin of sex-organs.
2819	A1313.0.1	Origin of eunuchs.
2820	A1313.0.2	Origin of sex differentiations.
2821	A1313.1	Origin of male sex-organs.
2822	A1313.2	Origin of female sex-organs.
2823	A1313.2.1	Origin of clitoris.
2824	A1313.3	Misplaced genitalia. Originally genitals are misplaced. They are properly arranged by the culture hero.
2825	A1313.3.1	Vaginal teeth broken. Women originally had toothed vaginas. Culture hero breaks teeth so that women will be harmless to men.
2826	A1313.4	Origin of women's breasts.
2827	A1313.4.1	Women at first with breasts on their foreheads.
2828	A1313.5	Origin of placenta.
2829	A1315	Origin of hair and beard.
2830	A1315.1	Why men become gray-headed.
2831	A1315.2	Origin of bald heads.
2832	A1315.3	Origin of beard.
2833	A1315.4	Origin of hair around mouth and eyes. Original dispute between Hair and Stomach. Stomach compelled to stay on inside of man. Hair stands on guard at mouth and eyes to see that Stomach does not escape.
2834	A1315.5	Origin of pubic hairs.
2835	A1315.6	Origin of eyelashes.
2836	A1316	Origin of facial features.
2837	A1316.0.1	Man at first with two faces, separated at birth of first woman.
2838	A1316.1	Distribution of noses. The earlier comers receive big noses, the later small.
2839	A1316.1.1	Forming of the nose. Nose was made from clay taken from the posterior of the already created man.
2840	A1316.2	Why men blink.
2841	A1316.3	Origin of eyes.
2842	A1316.3.1	Distribution of eyes.
2843	A1316.3.2	Why there are one-eyed women.
2844	A1316.3.3	Men originally blind: eyes opened by accident.
2845	A1316.4	Origin of ears.
2846	A1316.5	Origin of tongue.
2847	A1316.6	Origin of teeth.
2848	A1317	Origin of urine and excreta.
2849	A1319	Origin of other bodily attributes.
2850	A1319.1	Origin of Adam's apple. Forbidden fruit sticks in Adam's throat.
2851	A1319.2	Why men lack tails.
2852	A1319.3	Why ear-wax is inside the ear.
2853	A1319.4	Why the posterior of man is large.
2854	A1319.5	Origin of the liver.
2855	A1319.6	Origin of blood.
2856	A1319.7	Why the center of man's eye is black: blackened by spirits to make themselves invisible.
2857	A1319.8	Origin of sweat.
2858	A1319.9	Origin of sneezing.
2859	A1319.10	Origin of itching.
2860	A1319.11	Origin of the sensation of tickling.
2861	A1319.12	Originally man rejuvenated himself by snake-like change of skin.
2862	A1319.12.1	Why man does not change his skin: ancient contest lost by toad, representing man, won by lizard.
2863	A1319.13	Why man's neck is its present size.
2864	A1319.14	Origin of man's skin.
2865	A1320	Determination of span of life.
2866	A1321	Men and animals readjust span of life. At first, thirty years are given to all animals and to man. For the animals it is too long, for man too short. Man is given a portion of animals' lives. Years 1 30 vigorous (man's own); 30 48 burdens and blows (ass's); 48 60 no teeth (dog's); 60 70 foolish (monkey's).
2867	A1321.1	Why children learn to walk later than animals.
2868	A1322	Determination of relation between birth-rate and death-rate.
2869	A1323	Long span of life for first man.
2870	A1325	Short span of life for first men.
2871	A1326	Why babies die so easily.
2872	A1330	Beginnings of trouble for man.
2873	A1331	Paradise lost. Original happy state forfeited because of one sin.
2874	A1331.1	Paradise lost because of forbidden fruit (drink).
2875	A1331.1.1	Paradise lost because of forbidden food.
2876	A1331.2	Paradise lost because of brother-sister incest.
2877	A1331.2.1	Paradise lost because first woman is seduced.
2878	A1333	Confusion of tongues. Originally all men speak same language. Because of a sin they come to speak different languages.
2879	A1333.1	"Confusion of tongues partly due to lack of understanding of difference between the word for ""stick"" and the word for ""stone."""
2880	A1335	Origin of death.
2881	A1335.1	Origin of death from falsified message.
2882	A1335.1.1	Origin of death: wrong messenger goes to God.
2883	A1335.2	Origin of death from bad creator's unsuccessful imitation. The bad creator attempts in vain to endow his creations with life like the good creator. Fails and thus introduces death.
2884	A1335.3	Origin of death from unwise choice. Choice between two bundles, one containing tempting articles, the other everlasting life. People choose the large bundle and lose everlasting life.
2885	A1335.4	Origin of death when early people put on new skins. Child fails to recognize mother, who puts old skin back on.
2886	A1335.5	Origin of death: serpent given immortality instead of man. Renews his skin.
2887	A1335.6	Origin of death: punishment for scorning deity.
2888	A1335.6.1	Origin of death: disrespectful answer to God.
2889	A1335.7	First son who died before his father after the Flood.
2890	A1335.8	Origin of death because world is overpopulated.
2891	A1335.9	Origin of death because people weary of living.
2892	A1335.9.1	Death sent into the world by culture hero (God) when he got tired of man.
2893	A1335.10	Men die because a snake comes to prey on mankind while creator rests.
2894	A1335.11	God of world of the dead demands that men die so he will have subjects.
2895	A1335.12	Death origin: God sends a woman to sell poisoned curds to man.
2896	A1335.13	God sends centipede down to introduce death into the world through its poisoned sting.
2897	A1335.14	Death comes into the world by treachery of the gods: stick used by man for scratching his back is changed into cobra.
2898	A1335.15	God punishes man by killing his child: origin of death.
2899	A1336	Origin of murder.
2900	A1337	Origin of disease.
2901	A1337.0.1	Disease caused by the gods.
2902	A1337.0.1.1	Pestilence brought to man in box by messenger from creator.
2903	A1337.0.2	Disease caused by ghosts.
2904	A1337.0.3	Disease caused by witchcraft.
2905	A1337.0.4	Disease caused by menstrual blood.
2906	A1337.0.5	Disease as punishment.
2907	A1337.0.6	Disease to prevent man enjoying himself too much.
2908	A1337.0.7	Origin of sickness and misfortune: monstrous births from brother-sister incestuous union.
2909	A1337.1	Origin of ulcers.
2910	A1337.2	Origin of cholera.
2911	A1337.3	Origin of epilepsy.
2912	A1337.4	Origin of fever.
2913	A1337.5	Origin of itch.
2914	A1337.6	Origin of leprosy.
2915	A1337.7	Origin of smallpox.
