ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
So. Am. Indian (Chaco),14,ethnic_tribal,indigenous_group,0.9,Gran Chaco,"Indigenous peoples inhabiting the Gran Chaco region, a large lowland area spanning parts of Paraguay, Bolivia, Brazil and Argentina. Major groups include the Guaraní, Wichí, and Toba peoples.","[-23.5, -61.0]",
Uighur,14,ethnic_tribal,indigenous_group,0.95,Xinjiang,"The Uyghurs are a Turkic ethnic group native to the Xinjiang Uyghur Autonomous Region in Northwest China. They have a distinct culture, language, and predominantly practice Islam. They are one of China's officially recognized ethnic minorities.","[41.7, 85.3]",
Africa (Ibo),13,ethnic_tribal,indigenous_group,0.95,Igboland,"Refers to the Igbo (also spelled Ibo) people, one of the largest ethnic groups in Nigeria, traditionally inhabiting the southeastern region of Nigeria known as Igboland. The Igbo have a rich folklore and cultural tradition.","[5.527, 7.056]",
Africa (Wute),13,ethnic_tribal,indigenous_group,0.9,Cameroon,"The Wute (also spelled Vute or Voute) are an ethnic group primarily located in central Cameroon, speaking a Niger-Congo language. They are one of the indigenous peoples of Cameroon's Adamawa Region.","[6.5, 12.5]",
American Negro,13,ethnic_tribal,historical_racial_classification,0.9,United States,"Historical term used to refer to African Americans/Black Americans, particularly common in the late 19th/early-mid 20th century. Now considered dated/offensive. Refers primarily to descendants of enslaved Africans in the United States.","[39.8283, -98.5795]",
Eskimo (Smith Sound),13,ethnic_tribal,indigenous_group,0.9,Smith Sound,"Refers to Inuit people historically living around Smith Sound, the body of water between Greenland and Ellesmere Island. The term 'Eskimo' is now considered outdated in many contexts, with 'Inuit' being preferred. The Smith Sound Inuit are also known as the Polar Inuit or Inughuit.","[78.3, -74.0]",
Eskimo (Ungava),13,ethnic_tribal,indigenous_group,0.9,Ungava Peninsula,"Refers to Inuit peoples specifically from the Ungava Peninsula region of northern Quebec, Canada. The term 'Eskimo' is now considered outdated in Canada, with 'Inuit' being the preferred term. The Ungava qualifier specifies the geographic location of this particular Inuit group.","[58.5, -68.5]",
Gascon,13,linguistic,regional_language,0.95,Gascony,"Refers to people, language and culture from the historical region of Gascony in southwestern France. Gascon is a dialect of Occitan language historically spoken in this region. The term can refer to both the linguistic group and the regional identity.","[43.7, 0.4]",
Germanic,13,linguistic,language_family,0.9,Germany,"Refers to the Germanic peoples, languages and cultures that originated in Northern Europe, including modern Germany, Netherlands, Scandinavia, and parts of Belgium. The term encompasses both historical Germanic tribes and their modern descendants, as well as the Germanic language family.","[51.1657, 10.4515]",
Indian (Mataco),13,ethnic_tribal,indigenous_group,0.9,Gran Chaco,"The Mataco (also known as Wichí) are an indigenous people of the Gran Chaco region, primarily living in parts of northern Argentina, western Paraguay, and southern Bolivia. The term 'Indian' here is a historical qualifier indicating indigenous American origin.","[-22.5, -61.5]",
Koryak,13,ethnic_tribal,indigenous_group,0.95,Kamchatka Krai,"The Koryaks are an indigenous people of the Russian Far East, primarily inhabiting the northern part of Kamchatka Peninsula and the mainland to the north. They are traditionally reindeer herders and coastal fishers with their own distinct language and cultural traditions.","[61.0, 163.0]",
Madagascar,13,geographic,country,1.0,Madagascar,"Large island nation off the southeastern coast of Africa in the Indian Ocean, with distinct culture, folklore and biodiversity. Home to various ethnic groups including the Malagasy people with folklore traditions blending African, Southeast Asian and local elements.","[-18.7669, 46.8691]",
Marshall Islands,13,geographic,country,1.0,Marshall Islands,An independent island country in Micronesia consisting of 29 coral atolls and 5 single islands in the central Pacific Ocean. Named after British explorer John Marshall who visited in 1788.,"[7.1315, 171.1845]",
No. Am. Indian (Micmac),13,ethnic_tribal,indigenous_group,0.95,Nova Scotia,"The Mi'kmaq (Micmac) are an indigenous First Nations people who historically inhabited Eastern Canada's Maritime Provinces and parts of New England. They are part of the Algonquian language family and traditionally lived in what is now Nova Scotia, New Brunswick, Prince Edward Island, and parts of Quebec.","[45.0, -63.0]",
Africa (Bushongo),12,ethnic_tribal,indigenous_group,0.9,Democratic Republic of the Congo,"The Bushongo (also known as Bakuba or Kuba) are an ethnic group historically located in what is now the Democratic Republic of the Congo. They are known for their elaborate art, textiles, and rich oral traditions. The parenthetical notation after 'Africa' specifies this particular ethnic group.","[-5.04, 21.75]",
Eskimo (Cape York),12,ethnic_tribal,indigenous_group,0.9,Cape York,"Refers to Inuit people specifically from the Cape York region of northwestern Greenland. These communities are sometimes called the Polar Eskimos or Inughuit, representing the northernmost indigenous settlements in the world.","[76.1333, -68.0833]",
Hottentot,12,ethnic_tribal,indigenous_group,0.9,Namibia,"Historical exonym (now considered derogatory) used to refer to the Khoikhoi people, an indigenous pastoralist ethnic group of southwestern Africa, particularly present-day Namibia and South Africa. The preferred term is 'Khoikhoi'.","[-22.9576, 18.4904]",
So. Am. Indian (Amuesha),12,ethnic_tribal,indigenous_group,0.9,Peruvian Amazon,"The Amuesha (also known as Yanesha) are an indigenous people living in the central Peruvian Amazon rainforest, primarily in the Pasco and Junín regions. They are a distinct ethnic group with their own language belonging to the Arawakan language family.","[-10.5833, -75.4167]",
So. Am. Indian (Munduruku),12,ethnic_tribal,indigenous_group,0.95,Pará,"The Munduruku are an indigenous people of Brazil, primarily located in the state of Pará along the Tapajós River and its tributaries. They are one of the major indigenous groups of the Amazon region with a distinct cultural identity and language.","[-5.7, -54.5]",
So. Am. Indian (Paressi),12,ethnic_tribal,indigenous_group,0.9,Mato Grosso,"The Paressi (also spelled Paresí or Haliti) are an indigenous people of Brazil, primarily located in the state of Mato Grosso. They are a well-documented ethnic group that has historically inhabited the Parecis Plateau region.","[-14.0, -57.0]",
Africa (Loango),11,geographic,historical_kingdom,0.9,Loango,"Refers to the historical Kingdom of Loango, a pre-colonial African state that existed from the 15th to 19th centuries in what is now the Republic of Congo and Cabinda (Angola). The kingdom was centered around the coastal city of Loango and was known for its trade relationships with European powers.","[-4.6543, 11.8125]",
Colombian,11,geographic,country,0.95,Colombia,"Refers to people, culture, or folklore from the country of Colombia in South America. Colombia has a rich cultural heritage blending indigenous, European, and African influences.","[4.5709, -74.2973]",
Ekoi,11,ethnic_tribal,indigenous_group,0.9,Cross River State,The Ekoi (also known as Ejagham) are an ethnic group native to southeastern Nigeria and southwestern Cameroon. They are known for developing the Nsibidi script and their elaborate masking traditions.,"[5.87, 8.6]",
Fiji,11,geographic,country,1.0,Fiji,"An island country in Melanesia in the South Pacific Ocean, consisting of over 330 islands. Traditional Fijian culture and folklore is strongly tied to these islands and their indigenous Melanesian people.","[-17.713371, 178.065032]",
Kirghiz,11,ethnic_tribal,central_asian_ethnic_group,0.95,Kyrgyzstan,"The Kirghiz (also spelled Kyrgyz) are a Turkic ethnic group native to Central Asia, primarily Kyrgyzstan. They have historically been pastoral nomads in the Tian Shan mountains region and surrounding steppes. The term refers both to the ethnic group and their language.","[41.2, 74.7]",
Tirol,11,geographic,historical_region,0.95,Tyrol,"Historical region in the Alps spanning parts of western Austria and northern Italy (South Tyrol), known for its distinct Alpine culture, traditional customs, and folklore. Was historically a unified county within the Habsburg Empire until being split after WWI.","[47.2632, 11.4001]",
Tungus,11,ethnic_tribal,indigenous_group,0.9,Eastern Siberia,The Tungus (now more commonly known as Evenks) are an indigenous people of Siberia who traditionally practiced reindeer herding and hunting. They speak Tungusic languages and historically inhabited a vast territory across Eastern Siberia.,"[60.0, 120.0]",
Africa (Bulu),10,ethnic_tribal,indigenous_group,0.9,Southern Cameroon,"The Bulu are an ethnic group primarily located in southern Cameroon, being a subgroup of the larger Fang-Beti peoples. They speak the Bulu language, which belongs to the Bantu language family.","[3.1667, 11.5]",
Africa (Kordofan),10,geographic,region,0.95,Kordofan,"Kordofan is a historical region in central Sudan, consisting of former states of North Kordofan and South Kordofan. The parenthetical format suggests this is specifying Kordofan as a particular region within Africa for folkloric classification purposes.","[12.0, 29.6]",
Benga,10,ethnic_tribal,indigenous_group,0.85,Corisco Island,The Benga are an ethnic group primarily found on Corisco Island and coastal regions of Equatorial Guinea and Gabon. They are known for their maritime culture and traditional fishing practices.,"[0.9167, 9.3167]",
Finno-Ugric,10,linguistic,language_family,0.95,Finland,"Refers to a major language family including Finnish, Hungarian, Estonian and related languages, historically spoken across northern Europe and parts of western Siberia. The term describes both linguistic and cultural connections between these peoples.","[61.9241, 25.7482]",
Micronesia,10,geographic,region,0.9,Federated States of Micronesia,"A subregion of Oceania comprising thousands of small islands in the western Pacific Ocean. Includes multiple nations/territories like the Federated States of Micronesia, Palau, Marshall Islands, and parts of Kiribati. The term refers both to the geographic region and its indigenous cultures.","[6.9248, 158.1618]",
No. Am. Indian (Creek),10,ethnic_tribal,indigenous_group,0.95,Muscogee Nation,"Refers to the Creek (Muscogee) Native American people, historically located in present-day Alabama and Georgia, now primarily in Oklahoma. 'No. Am. Indian' is a qualifier indicating North American Indigenous peoples, with Creek being the specific tribe.","[35.7, -95.9]",
No. Am. Indian (Menomini),10,ethnic_tribal,indigenous_group,0.95,Wisconsin,"The Menominee (Menomini) are a Native American tribe traditionally from what is now Wisconsin, particularly around the Menominee River region. They are federally recognized and currently maintain a reservation in northeastern Wisconsin.","[45.0, -88.5]",
So. Am. Indian (Kaingang),10,ethnic_tribal,indigenous_group,0.95,Southern Brazil,"The Kaingang are one of the largest indigenous peoples of southern Brazil, traditionally inhabiting the states of São Paulo, Paraná, Santa Catarina and Rio Grande do Sul. They belong to the Jê language family.","[-26.0, -51.0]",
Africa (Ba-Ronga),9,ethnic_tribal,indigenous_group,0.9,Mozambique,The Ba-Ronga (also Ronga or VaRonga) are a Bantu ethnic group primarily located in southern Mozambique and parts of South Africa. They speak the Ronga language and are closely related to the Tsonga people.,"[-25.9667, 32.5833]",
Africa (Bankon),9,ethnic_tribal,indigenous_group,0.85,"Southwest Region, Cameroon","The Bankon (also known as Abo) are an ethnic group primarily located in the Southwest Region of Cameroon, particularly around the coastal areas near Douala. They are a Bantu-speaking people with their own distinct language and cultural traditions.","[4.1589, 9.2457]",
Africa (Zanzibar),9,geographic,island_territory,0.95,Zanzibar,"Zanzibar is a semi-autonomous archipelago off the coast of Tanzania in East Africa, historically important as a trading center and cultural crossroads in the Indian Ocean. The parenthetical specification suggests focusing on Zanzibari folklore within the broader African context.","[-6.165, 39.202]",
American Indian,9,ethnic_tribal,indigenous_peoples,0.9,North America,"Historical and collective term for the indigenous peoples and cultures native to North America, particularly within the present-day United States. Now often replaced by 'Native American' or specific tribal names. Encompasses hundreds of distinct cultures and nations.","[39.8283, -98.5795]",
Chechen-Ingush,9,ethnic_tribal,caucasian_peoples,0.95,Chechnya and Ingushetia,"Refers to two closely related ethnic groups (Chechens and Ingush) who share linguistic, cultural, and historical ties in the North Caucasus region. They speak related Northeast Caucasian languages and historically inhabited adjacent territories in what are now the Russian republics of Chechnya and Ingushetia.","[43.3168, 45.6815]",
Cherokee,9,ethnic_tribal,indigenous_group,0.95,Cherokee Nation,"One of the largest Native American tribes historically inhabiting parts of the southeastern United States, particularly in Georgia, North Carolina, and Tennessee before forced relocation. Currently centered in Oklahoma.","[35.9, -94.97]",
Congo,9,geographic,country_region,0.9,Congo Basin,"Refers to the Congo River basin region of Central Africa, historically encompassing both modern Republic of Congo and Democratic Republic of the Congo. In folklore studies, typically refers to traditions from peoples living along the Congo River and its tributaries.","[-4.0, 21.0]",
Liberia,9,geographic,country,1.0,Liberia,"A country in West Africa, founded in 1847 by freed American slaves. The nation has a rich folklore tradition blending African and African-American cultural elements.","[6.428055, -9.429499]",
New Britain,9,geographic,island,0.95,New Britain,"The largest island of the Bismarck Archipelago, located in Papua New Guinea. It was named by British explorer William Dampier in 1700 and has a rich tradition of indigenous Melanesian folklore.","[-5.7, 150.5]",
No. Am. Indian (Iroquois),9,ethnic_tribal,indigenous_group,0.95,Upstate New York,"The Iroquois (also known as Haudenosaunee) were a confederation of Native American tribes primarily located in what is now upstate New York and surrounding areas. The confederacy included six nations: Mohawk, Oneida, Onondaga, Cayuga, Seneca, and Tuscarora.","[43.0, -76.0]",
No. Am. Indian (Pawnee),9,ethnic_tribal,indigenous_group,0.95,Nebraska,The Pawnee are a Native American tribe historically located in present-day Nebraska and Kansas. They were one of the largest and most prominent tribes of the Great Plains region. The parenthetical specification of 'Pawnee' makes this a clear reference to this specific tribal group.,"[41.5, -99.0]",
Prussia,9,geographic,historical_state,0.95,Prussia,"A major historical German state centered in northeastern Europe that existed from the 13th century until 1947, originally centered around the Baltic region and later expanding to include much of northern Germany. At its height, Prussia was a leading European power.","[52.52, 13.405]",
So. Am. Indian (Amazon),9,ethnic_tribal,indigenous_peoples,0.8,Amazon Rainforest,"General reference to indigenous peoples living in the Amazon rainforest region of South America, spanning multiple countries including Brazil, Peru, Colombia, etc. The term is very broad and encompasses many distinct tribal groups.","[-3.4653, -62.2159]",
So. Am. Indian (Carib),9,ethnic_tribal,indigenous_group,0.9,Guyana,"Refers to the Carib indigenous peoples, historically located in northern South America, particularly around present-day Guyana, Suriname, French Guiana and parts of Venezuela. The Caribs were a major indigenous group known for their seafaring abilities and warrior culture.","[4.8604, -58.9302]",
So. Am. Indian (Jivaro),9,ethnic_tribal,indigenous_group,0.9,Eastern Ecuador/Northern Peru,"The Jivaro (now more commonly known as Shuar) are an indigenous people of the Amazon rainforest, primarily located in eastern Ecuador and northern Peru. They are historically known for their practice of head shrinking and fierce resistance to outside influences.","[-3.4866, -78.2333]",
Angolan,8,geographic,country,0.95,Angola,"Refers to people, culture, or folklore from the country of Angola in southern Africa. Angola was a Portuguese colony until 1975 and has diverse ethnic groups including Ovimbundu, Ambundu, and Bakongo peoples.","[-11.2027, 17.8739]",
Borneo,8,geographic,island,1.0,Borneo,"Borneo is the third-largest island in the world, located in Southeast Asia. The island is divided between three countries: Indonesia (Kalimantan), Malaysia (Sabah and Sarawak), and Brunei. It has rich indigenous cultures and folklore traditions from various ethnic groups including the Dayak peoples.","[0.9619, 114.5548]",
Czech Republic,8,geographic,country,1.0,Czech Republic,"Modern European nation-state formed in 1993 after the dissolution of Czechoslovakia, historically part of Bohemia and the former Austro-Hungarian Empire. Known for its distinct Western Slavic culture, language and traditions.","[49.8175, 15.473]",
Haiti,8,geographic,country,1.0,Haiti,"Haiti is a sovereign nation occupying the western third of the island of Hispaniola in the Caribbean. It has a rich folklore tradition blending African, Indigenous Taíno, and French cultural elements, including Vodou religious practices.","[18.9712, -72.2852]",
Kaffir,8,ethnic_tribal,historical_racial_term,0.9,South Africa,"Historically used as a derogatory term in South Africa for black African people, derived from Arabic 'kafir' meaning 'non-believer'. Now considered a highly offensive racial slur. In folklore collections from colonial era, it was commonly used to refer to indigenous peoples of southern Africa, particularly Xhosa and other Nguni peoples.","[-30.5595, 22.9375]",
Lettish,8,linguistic,language,0.95,Latvia,Lettish is an older English term for the Latvian language and people. It refers to the Baltic language spoken in Latvia and the ethnic Latvians who traditionally speak it.,"[56.8796, 24.6032]",
Mangaia (Cook Island),8,geographic,island,0.95,Mangaia,Mangaia is the southernmost and second largest of the Cook Islands in the South Pacific Ocean. It is a raised coral atoll and the oldest island in the Pacific.,"[-21.9127, -157.9229]",
Mexico,8,geographic,country,1.0,Mexico,"Federal republic in North America, officially the United Mexican States. Ancient home to several major civilizations including the Olmec, Maya, and Aztec before Spanish colonization. Rich folklore tradition blending indigenous and European influences.","[23.6345, -102.5528]",
Pawnee,8,ethnic_tribal,indigenous_group,0.95,Nebraska,"The Pawnee are a Plains Indian tribe historically located in present-day Nebraska and Kansas. They were one of the largest and most prominent tribes of the central Great Plains, known for their semi-sedentary farming culture and complex social organization.","[41.5, -99.0]",
Seneca,8,ethnic_tribal,indigenous_group,0.9,Western New York,"The Seneca are one of the original nations of the Haudenosaunee (Iroquois) Confederacy, historically occupying territory in what is now western New York state. They were known as the 'Keepers of the Western Door' in the Iroquois Confederacy.","[42.9, -77.9]",
So. Am. Indian (Tucuna),8,ethnic_tribal,indigenous_group,0.95,Upper Amazon Region,"The Ticuna (Tucuna) are an indigenous people living in the Amazon rainforest, primarily in the border region between Brazil, Colombia and Peru along the upper Amazon River. They are one of the largest indigenous groups in the Amazon basin.","[-3.8, -70.2]",
South Africa,8,geographic,country,1.0,Republic of South Africa,"The southernmost country in Africa, officially the Republic of South Africa. A multiethnic society with diverse cultures, languages and traditions, including significant folklore from various indigenous peoples like the Zulu, Xhosa, and other groups.","[-30.5595, 22.9375]",
Sumatra,8,geographic,island,1.0,Sumatra,"Sumatra is one of the largest islands in Indonesia and the world, located in western Indonesia. It has a rich folklore tradition from various ethnic groups including the Minangkabau, Batak, and Acehnese peoples.","[-0.5893, 101.3431]",
Thai,8,geographic,country,0.9,Thailand,"Refers to the people, culture, and language of Thailand (formerly Siam), a country in Southeast Asia. Thai people are the dominant ethnic group of Thailand and their cultural influence extends into neighboring regions.","[13.7563, 100.5018]",
Africa (Ganda),7,ethnic_tribal,ethnic_group,0.95,Uganda,"The Ganda (Baganda) are the largest ethnic group in Uganda, primarily located in the Buganda region around Lake Victoria. They speak Luganda and have historically been one of the most important kingdoms in the Great Lakes region of Africa.","[0.3136, 32.5811]",
Africa (Lamba),7,ethnic_tribal,indigenous_group,0.9,Zambia,The Lamba people are an ethnic group primarily located in the Copperbelt Province of Zambia and parts of the Democratic Republic of the Congo. The parenthetical format suggests this specifies the Lamba people of Africa to distinguish them from other possible uses of 'Lamba'.,"[-12.8, 28.2]",
Banks Islands,7,geographic,island_group,0.95,Banks Islands,"An archipelago in northern Vanuatu in the South Pacific Ocean, consisting of several volcanic islands. Known for unique cultural practices and folklore traditions of Melanesian peoples.","[-14.167, 167.467]",
Caribbean,7,geographic,region,0.95,Caribbean Sea,"The Caribbean refers to the region consisting of the Caribbean Sea, its islands (including the West Indies), and the surrounding coasts. The area is known for its distinct blend of cultures influenced by indigenous peoples, European colonization, African heritage, and later migrations.","[15.0, -69.0]",
Celtic,7,ethnic_tribal,ancient_peoples,0.9,Ireland,"Celtic refers to the Indo-European peoples and cultures that historically inhabited western Europe, particularly the British Isles and Brittany, characterized by Celtic languages and cultural traditions. Primary modern Celtic regions include Ireland, Scotland, Wales, Cornwall, and Brittany.","[53.4, -8.2]",
Chad,7,geographic,country,0.95,Chad,"Chad is a landlocked country in north-central Africa, formerly a French colony. In folklore studies, references to Chad typically relate to indigenous traditions and oral histories of various ethnic groups within its borders, particularly around Lake Chad basin.","[15.4542, 18.7322]",
East Africa,7,geographic,region,0.9,East African Region,"Geographic region comprising modern-day countries including Kenya, Tanzania, Uganda, Rwanda, Burundi and parts of Ethiopia, Somalia, South Sudan. Often associated with the East African Rift Valley system and Great Lakes region. Major cultural and linguistic groups include Swahili, Bantu, and Nilotic peoples.","[-1.2921, 36.8219]",
Eskimo (Aleut),7,ethnic_tribal,indigenous_group,0.9,Aleutian Islands,This refers to two related but distinct Arctic indigenous peoples - the Eskimo (now preferably called Inuit/Yupik) and Aleut peoples. The Aleut specifically are indigenous to the Aleutian Islands chain. The parenthetical suggests this index may be focusing on the Aleut subgroup specifically.,"[52.2, -172.0]",
Fable,7,unknown,literary_genre,0.9,,"A literary genre featuring short narratives with moral lessons, typically involving anthropomorphized animals, objects, or natural forces. While fables exist across many cultures (e.g., Aesop's Fables from Greece, Panchatantra from India), the term itself describes a type of story rather than being tied to a specific geographic or cultural origin.",,
German New Guinea,7,geographic,historical_colony,0.95,Papua New Guinea,"German New Guinea was a German colonial protectorate from 1884 to 1914, comprising the northeastern part of New Guinea (Kaiser-Wilhelmsland) and several nearby island groups. The territory was later divided between Australia and other powers after WWI.","[-6.315, 143.9555]",
No. Am. Indian (Navaho),7,ethnic_tribal,indigenous_group,0.95,Navajo Nation,"Refers to the Navajo (Diné) people, one of the largest Native American tribes in North America, traditionally occupying parts of northeastern Arizona, southeastern Utah, and northwestern New Mexico","[36.0544, -109.7892]",
Peru,7,geographic,country,1.0,Peru,"Modern country in western South America, site of the ancient Inca Empire and numerous other pre-Columbian civilizations. In folklore contexts, often refers to traditions and stories from both indigenous Andean and post-colonial Spanish-influenced culture.","[-9.19, -75.0]",
Pueblo,7,ethnic_tribal,indigenous_group,0.95,New Mexico,"Term referring to various indigenous peoples of the Southwestern United States, particularly in New Mexico and Arizona, known for their distinctive architectural style of multi-story adobe and stone dwellings. The term comes from Spanish meaning 'village' or 'town' but specifically refers to these Native American cultures.","[35.687, -105.9378]",
Quileute,7,ethnic_tribal,indigenous_group,0.95,"La Push, Washington","The Quileute are a Native American tribe indigenous to the Pacific Northwest, traditionally located along the Olympic Peninsula in Washington state. Their tribal headquarters and reservation are in La Push, Washington. They maintain their own distinct culture and language.","[47.9132, -124.6352]",
Scandinavia,7,geographic,region,1.0,Scandinavia,"Historical and cultural region in Northern Europe, traditionally comprising Denmark, Norway and Sweden. Sometimes also includes Finland and Iceland in broader usage. Known for shared Germanic cultural heritage, interrelated languages, and Viking history.","[62.0, 15.0]",
So. Am. Indian (Chibcha),7,ethnic_tribal,indigenous_group,0.9,Colombian Highlands,"The Chibcha (also known as Muisca) were an indigenous people who inhabited the central highlands of present-day Colombia before Spanish conquest. They were one of the most advanced civilizations in South America, known for their complex social structure and gold work.","[4.6, -74.0]",
So. Am. Indian (Lengua),7,ethnic_tribal,indigenous_group,0.9,Gran Chaco,"The Lengua (also known as Enlhet) are an indigenous people of the Gran Chaco region, primarily located in Paraguay. They are one of several ethnic groups native to the Chaco area of South America.","[-22.3, -59.8]",
Society Islands,7,geographic,island_group,0.95,Society Islands,"The Society Islands are a group of islands in French Polynesia in the South Pacific Ocean, including Tahiti and Bora Bora. Named by Captain James Cook in 1769, they are divided into Windward Islands (Îles du Vent) and Leeward Islands (Îles Sous-le-Vent).","[-17.6333, -149.45]",
Zanzibar,7,geographic,archipelago,0.95,Zanzibar,"An archipelago off the eastern coast of Africa, now part of Tanzania. Historic trading center known for its spice trade and cultural fusion of African, Arab, Indian and European influences. Major islands include Unguja and Pemba.","[-6.165, 39.202]",
Africa (Dahomey),6,geographic,historical_country,0.95,Benin,Dahomey was a historical kingdom and later French colony in West Africa that existed from around 1600 to 1904. The area corresponds to present-day Benin (which was called Dahomey until 1975). The parenthetical notation suggests this refers specifically to folklore from the Dahomey region of Africa.,"[6.4779, 2.6323]",
Africa (Dzalamo),6,ethnic_tribal,indigenous_group,0.9,Morogoro Region,"The Dzalamo (also spelled Zalamo or Zaramo) are an ethnic group primarily found in coastal Tanzania, particularly in the Morogoro Region and areas around Dar es Salaam. They are a Bantu-speaking people with distinct cultural traditions.","[-6.8, 37.6]",
Africa (Nyang),6,ethnic_tribal,indigenous_group,0.7,South Sudan,The Nyang (also spelled Nyang'a) are an ethnic group found primarily in South Sudan. They are a Nilotic people who traditionally inhabit parts of the Upper Nile region.,"[7.5, 29.0]",
Africa (Pangwe),6,ethnic_tribal,indigenous_group,0.9,Gabon,"Pangwe (also known as Fang or Pahouin) is an ethnic group primarily found in northern Gabon, southern Cameroon, and Equatorial Guinea. They are a Bantu people known for their rich cultural traditions and historical migrations across central Africa.","[-0.8037, 11.6094]",
Africa (Shangani),6,ethnic_tribal,indigenous_group,0.9,Zimbabwe,The Shangani (also spelled Shangaan) are a Tsonga-speaking ethnic group primarily found in Zimbabwe and parts of southeastern Africa. They are descendants of Soshangane's Gaza Empire that formed during the Mfecane period in the early 19th century.,"[-19.0154, 29.1549]",
American Indian (Thompson River),6,ethnic_tribal,indigenous_group,0.95,Thompson River,"Refers to the Nlaka'pamux (Thompson) Indigenous people who traditionally lived along the Thompson River and its tributaries in British Columbia, Canada. The term 'Thompson' comes from the river named after explorer David Thompson.","[50.681389, -121.279722]",
Buriat,6,ethnic_tribal,indigenous_group,0.95,Buryatia,"The Buriats are a Mongolic ethnic group, historically the largest indigenous group in Siberia, primarily living in the Russian republic of Buryatia and neighboring regions around Lake Baikal","[51.8333, 107.5833]",
Chibcha,6,linguistic,indigenous_language_family,0.9,Colombian Highlands,"Chibcha (also known as Muisca) refers to both an indigenous language family and the people who spoke these languages, primarily located in present-day Colombia and parts of Panama. The Chibcha-speaking peoples were one of the most advanced pre-Columbian civilizations in northern South America.","[4.6, -74.0]",
Eskimo (East Greenland),6,ethnic_tribal,indigenous_group,0.95,East Greenland,"Refers to Inuit peoples specifically of the eastern coast of Greenland, historically called 'Eskimo' in ethnographic literature. The main group in this region is known as the Tunumiit or East Greenland Inuit, who speak the East Greenlandic dialect of Kalaallisut.","[70.4, -29.0]",
French Congo,6,geographic,colonial_territory,0.95,Republic of the Congo,"French Congo was a French colonial territory established in 1882 in Central Africa, roughly corresponding to modern-day Republic of the Congo. It was also known as Middle Congo and was part of French Equatorial Africa from 1910 to 1960.","[-0.228, 15.827]",
Hivaoa (Marquesas),6,geographic,island,0.9,Hiva Oa,Hiva Oa is one of the largest islands in the Marquesas Islands archipelago of French Polynesia in the South Pacific Ocean. It is known for being the final home of French painter Paul Gauguin and Belgian singer Jacques Brel.,"[-9.7792, -139.0319]",
Indian (Jivaro),6,ethnic_tribal,indigenous_group,0.95,Eastern Ecuador,"Jivaro (more properly Shuar) refers to an indigenous people of the Amazon rainforest, primarily located in eastern Ecuador and northern Peru. The parenthetical 'Jivaro' specifies which 'Indian' group is being referenced, distinguishing from other indigenous American peoples.","[-2.5, -78.0]",
Karachay,6,ethnic_tribal,indigenous_group,0.9,Karachay-Cherkessia,"The Karachay are a Turkic ethnic group native to the North Caucasus region, primarily living in the Karachay-Cherkess Republic of Russia. They speak the Karachay-Balkar language and are historically Muslim.","[43.7368, 41.7267]",
Nenets,6,ethnic_tribal,indigenous_group,0.95,Yamalo-Nenets Autonomous Okrug,"The Nenets are an indigenous people of northern arctic Russia, traditionally nomadic reindeer herders who live primarily in the Yamalo-Nenets region and neighboring areas of the Russian Arctic. They speak a Samoyedic language and maintain distinct cultural traditions.","[67.5, 71.0]",
Niger,6,geographic,country,0.95,Niger,"Niger is a landlocked country in West Africa, named after the Niger River. It has significant cultural and folkloric traditions from various ethnic groups including Hausa, Djerma, and Tuareg peoples.","[17.6078, 8.0817]",
No. Am. Indian (Blackfoot),6,ethnic_tribal,indigenous_group,0.95,Blackfeet Indian Reservation,"Refers to the Blackfoot (Niitsitapi) indigenous people, traditionally located in Montana and Alberta. The Blackfoot Confederacy includes the Siksika, Kainai, and Piikani nations.","[48.6, -113.0]",
No. Am. Indian (Tsimshian),6,ethnic_tribal,indigenous_group,0.95,British Columbia Coast,"The Tsimshian are an indigenous people of the Pacific Northwest Coast, traditionally inhabiting the coastal regions of northern British Columbia around Prince Rupert and the Skeena River. They are one of the First Nations of Canada.","[54.3, -130.3]",
Ostyak,6,ethnic_tribal,indigenous_group,0.9,Khanty-Mansi Autonomous Okrug,"Historical term for the Khanty people, an indigenous Finno-Ugric ethnic group in western Siberia. They traditionally lived along the Ob River and its tributaries. The term 'Ostyak' is now considered outdated, with 'Khanty' being the preferred modern name.","[61.0, 69.0]",
Sicily,6,geographic,island_region,1.0,Sicily,"The largest Mediterranean island and an autonomous region of Italy, with a distinct cultural history and folklore traditions influenced by Greek, Roman, Arab, Norman and other civilizations","[37.5999, 14.0154]",
So. Am. Indian (Cavisa),6,ethnic_tribal,indigenous_group,0.7,Colombia,"Cavisa appears to be an indigenous group from South America, likely from Colombia, though specific documentation is limited. The 'So. Am. Indian' prefix clearly indicates South American indigenous peoples.","[4.5709, -74.2973]",
So. Am. Indian (Kʼicheʼ),6,ethnic_tribal,indigenous_group,0.95,Guatemala Highlands,"The K'iche' (also spelled Quiché) are a Maya indigenous people who primarily inhabit the highlands of Guatemala. They are one of the largest Maya groups and speak the K'iche' language. The 'So. Am.' prefix appears to be an error as K'iche' people are from Central America, not South America.","[15.0333, -91.15]",
