Skipped line. No motif ID found. Original line: F645.	Marvelously wise man.
Skipped line. No motif ID found. Original line: E436.1.	Ghosts detected by strewing ashes. Their footprints remain in the ashes.
Skipped line. No motif ID found. Original line: H264.	Footsteps in dust as proof that dead man has walked.
Skipped line. No motif ID found. Original line: K321.	Thief learns location of dupe's food supply by strewing ashes.
Skipped line. No motif ID found. Original line: K730.	Victim trapped.
Skipped line. No motif ID found. Original line: J1146.1.	Detection by pitch-trap. Pitch is spread so that footprints are left in it, or that shoe is left behind as clue. *Type 510; Cox 1-80, 87-104 passim.
Skipped line. No motif ID found. Original line: H36.1.	Slipper test.
Skipped line. No motif ID found. Original line: R350.	Recapture of fugitive.
Skipped line. No motif ID found. Original line: J1147.	Detection through feigned dream.
Skipped line. No motif ID found. Original line: H1212.1.	Quest assigned because of feigned dream.
Skipped line. No motif ID found. Original line: J1147.1.	Husband relates his wife's adultery in pretended dream. She dies from fright. India: Thompson-Balys. Miscellaneous means of detecting.
Skipped line. No motif ID found. Original line: J1149.
Skipped line. No motif ID found. Original line: J1149.1.	Feigned madness unmasked by threatening man's child. Greek: Fox 123 (Odysseus).
Skipped line. No motif ID found. Original line: K1818.3.	Disguise as madman (fool).
Skipped line. No motif ID found. Original line: T600.	Care of children.
Skipped line. No motif ID found. Original line: J1149.	2 Cheater discovered by fishing in the street. Man arouses the curiosity of the rascal who has swindled his wife. Type 1382.
Skipped line. No motif ID found. Original line: J1149.3.	Detection by disrobing in a dance. A man masking as a maiden has committed adultery with the queen. A clever girl by challenging him to disrobe in a dance exposes the imposture. *Wesselski Märchen 197 No. 7; Nouvelles de Sens No. 8; Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: K1321.	Seduction by man disguising as woman.
Skipped line. No motif ID found. Original line: J1149.4.	Urinalysis reveals coition as cure for illness. Treatment suc- cessful. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: F950.4.	Sickness cured by coition.
Skipped line. No motif ID found. Original line: K1955.2.	Sham physician pretends to diagnose entirely from urinalysis.
Skipped line. No motif ID found. Original line: J1149.5.	Detection of guilt by smile. Buried money is stolen from blind man. Latter has boy watch and notify him when passerby smiles at him. The smiler is the thief. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: K333.	Theft from blind person.
Skipped line. No motif ID found. Original line: N456.	Enigmatic smile reveals secret knowledge.
Skipped line. No motif ID found. Original line: J1149.6.	Thief detected by his answer to question. “How would you treat a woman who came into your possession?” Answer: “I would use her and then give her to the servants." This reveals his true character. Italian Novella: Rotunda.   ## p. 78 (#82) ##############################################  78 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J1149.7.	Thief posing as corpse detected by pricking soles of his feet. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: H248.3.	Sham dead tested by pricking.
Skipped line. No motif ID found. Original line: J1149.8.	Magistrate detects thief's complicity by associating cut hand with companion's severed head. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: K407.1.	Thief has companion cut off his head so that he may escape detection.
Skipped line. No motif ID found. Original line: J1149.9.	Magistrate finds thieving innkeepers guilty of arson. Silver buckles are not melted by the fire. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J1149.10.	Truth detected by spies listening to reactions of defendants at night. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J1149.11.	Washing test: defendants given basin of water. Guilty one wastes it uselessly. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1149.12.	Ninety-nine wise men and one fool ordered to pour milk into a tank all at one time: only the fool obeys. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1700.	Fools.
Skipped line. No motif ID found. Original line: J1150.	Cleverness connected with the giving of evidence.
Skipped line. No motif ID found. Original line: K424.	Thief condemned when witnesses of theft are able to find the stolen goods.
Skipped line. No motif ID found. Original line: J1151.	Testimony of witness cleverly discredited.
Skipped line. No motif ID found. Original line: K2150.	Innocent made to appear guilty.
Skipped line. No motif ID found. Original line: J1151.1.	Testimony discredited by inducing witness to talk foolishly.
Skipped line. No motif ID found. Original line: J2350.	Talkative fools.
Skipped line. No motif ID found. Original line: K1265.	Man falsely reported insane.
Skipped line. No motif ID found. Original line: J1151.1.1.	Talkative wife discredited. Husband tells his talkative wife about treasure he has discovered. To discredit her report he tells her also of impossible things (woodcock in the fish net, fish in the bird trap, etc.). She repeats it all and whole story is disbelieved. Husband may keep his treasure. *Type 1381; BP I 527; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: H472.1.	Test of wife's ability to keep secret: the buried sheep's head.
Skipped line. No motif ID found. Original line: J2353.	The wife multiplies the secret.
Skipped line. No motif ID found. Original line: K400.	Thief escapes detection.
Skipped line. No motif ID found. Original line: T274.	Wife cannot keep secret.
Skipped line. No motif ID found. Original line: J1151.1.2.	Husband discredited by absurd truth. Wife puts fish in furrow where husband plows them up (or like absurdity). At mealtime the husband says, "Where are the fish?" "What fish?" "Those I plowed up." He is laughed to scorn. *Bédier Fabliaux 196, 436; India: Thompson-Balys.
Skipped line. No motif ID found. Original line: K1545.	Wives wager as to who can best fool her husband. - -
Skipped line. No motif ID found. Original line: J1151.1.3.	The sausage rain. (Or rain of figs, fishes, or milk.) A mother in order to discredit testimony of her foolish son who has killed a man makes him believe that it has rained sausages. When he says that he killed the man on the night it rained sausages his testimony is discredited. Chauvin VI 126, VIII 35, 69; *Wesselski Hodscha Nasreddin II 184, 195, 204 Nos. 347, 383, 407; *BP I 527; Italian: Basile Pentamerone I No. 4; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J1810.	Physical phenomena misunderstood.
Skipped line. No motif ID found. Original line: J1151.2.	Witness claims the borrowed coat: discredited. Trickster sum- moned to court on Jew's complaint refuses to go unless he has a new coat: Jew lends him his. In court the trickster says that the Jew is a liar: "He will even claim that I am wearing his coat." The Jew does so and no one believes him. *Type 1642; *BP I 65; Wesselski Hodscha Nasreddin I 220ff. No. 54; *Chauvin VI 126 No. 280; Lithuanian: Balys Index No. *1642A; Italian Novella: *Rotunda; India: Thompson-Balys.   ## p. 79 (#83) ##############################################  J. The wise and the foolish 79
Skipped line. No motif ID found. Original line: J1151.3.	Testimony gradually weakened. Witness agress to the following facts in succession: that the person relating the facts may have been in anger, that he may have misunderstood, that he may not have heard it at all. Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J1151.4.	Testimony of unsuccessful suitor discredited. Adulteress is sur- prised in intrigue by unsuccessful suitor. He threatens to tell her husband. She tells her husband that the scorned suitor has accused her falsely of indiscretion with many men. When the suitor tells the husband he does not believe him. Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J1152.	Witness cannot speak language of accusation: discredited. Two parrots taught accusation of mistress in a particular dialect. They know nothing more of the language. (Cf.
Skipped line. No motif ID found. Original line: G1154.1.	) Chauvin II 93 No. 41; Bødker Exempler 290 No. 44; Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: J1153.	Separate examination of witnesses discredits testimony. *Pauli (ed. Bolte) No. 114.
Skipped line. No motif ID found. Original line: J1141.3.	Cheaters examined apart.
Skipped line. No motif ID found. Original line: J1153.1.	Susanna and the elders: separate examination of witnesses. Testimony as to exact circumstances of her deed does not agree. Witnesses discredited. **W. Baumgartner Susanna, die Geschichte einer Legende (Archiv f. Religionswiss. XXIV 259-80); *Chauvin VI 193 No. 362; Spanish Exempla: Keller; Jewish: bin Gorion Born Ju- das I 361f., Neuman.
Skipped line. No motif ID found. Original line: K2112.	Woman slandered as adulteress (prostitute).
Skipped line. No motif ID found. Original line: J1153.2.	To which of two men does woman belong? Only one can answer questions just as she has. Other discredited. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: H10.	Recognition through common knowledge.
Skipped line. No motif ID found. Original line: J1154.	Witness discredited by inability to tell details. (Cf.
Skipped line. No motif ID found. Original line: J1153.1.	)
Skipped line. No motif ID found. Original line: J1154.1.	Parrot unable to tell husband details as to wife's infidelity. Wife has parrot describe a storm very realistically. Husband observes contrast in the two tales. (Cf.
Skipped line. No motif ID found. Original line: J1152.	) *Chauvin VIII 35f. No. 3; Bød- ker Exempler 286 No. 35; Spanish Exempla: Keller; Italian Novella: *Rotunda; India: Thompson-Balys.
Skipped line. No motif ID found. Original line: B131.	Bird which reveals the truth.
Skipped line. No motif ID found. Original line: B335.4.	Wife demands magic parrot who has accused her.
Skipped line. No motif ID found. Original line: K1510.	Adulteress outwits husband.
Skipped line. No motif ID found. Original line: J1154.2.	Witnesses to make image of diamond they claim to have seen. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1154.3.	False witnesses cannot describe stolen jewel. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J1155.	"Then I woke up": man discredits his confession by declaring it all a dream. *Type 1790; Wesselski Märchen 187 No. 2; *Toldo Zs. f. Vksk. XV 69f.; *Hilka and Soederhjelm Neuphilologische Mit- teilungen (Helsingfors, 1913) 15ff.; India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1155.1.	Confession discredited by claim to be notorious liar. (Cf.
Skipped line. No motif ID found. Original line: X905.	) U.S.: *Baughman.
Skipped line. No motif ID found. Original line: J1157.	Bribed witnesses nonplussed when judge asks wrong question. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: C495.	Tabu: using any except one certain phrase.
Skipped line. No motif ID found. Original line: J1158.	Witness claims not to have seen crime.
Skipped line. No motif ID found. Original line: J1158.1.	Witness says that dust storm blew and shut his eyes so that he did not see. India: Thompson-Balys.   ## p. 80 (#84) ##############################################  80 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J1160.	Clever pleading.
Skipped line. No motif ID found. Original line: J1111.1.1.	Princess skillful in pleading.
Skipped line. No motif ID found. Original line: J1264.2.	Celibacy at the altar.
Skipped line. No motif ID found. Original line: J1264.5.	Youth says he is associating with a pious person. He has nun as mistress.
Skipped line. No motif ID found. Original line: J1264.6.	Nun claims her child is by the Holy Ghost. Accepted as defense.
Skipped line. No motif ID found. Original line: J1280.	Repartee with ruler (judge, etc.)
Skipped line. No motif ID found. Original line: J1393.	The double fool.
Skipped line. No motif ID found. Original line: J1530.	One absurdity rebukes another.
Skipped line. No motif ID found. Original line: J2233.	Logi- cally absurd defenses.
Skipped line. No motif ID found. Original line: J2499.3.	Fool admits crime but pleads mistake in details of accusation.
Skipped line. No motif ID found. Original line: K334.	Owner gives up goods through flattery.
Skipped line. No motif ID found. Original line: K402.1.	The goose without a leg.
Skipped line. No motif ID found. Original line: K419.1.	Thief cannot remember whom he delivered the goods to.
Skipped line. No motif ID found. Original line: K1655.	The lawyer's mad client.
Skipped line. No motif ID found. Original line: K1684.	Seller of pardons robbed by man whom he has pardoned beforehand.
Skipped line. No motif ID found. Original line: J1161.	Literal pleading: letter of law has been met.
Skipped line. No motif ID found. Original line: K2310.	Deception by equivocation.
Skipped line. No motif ID found. Original line: J1161.1.	The three joint depositors may have their money back when all demand it. Money is left by three joint depositors subject to their joint order. It is stolen by one. When the banker is sued he agrees to give up the money when he receives joint order from all three. *Type 1591; Pauli (ed. Bolte) No. 113; Scala Celi 7b No. 46; Alphabet No. 139; Krappe Bulletin Hispanique XXXIX 21 No. 77; Spanish Exempla: Keller; India: *Thompson-Balys. V.
Skipped line. No motif ID found. Original line: J1161.2.	Pound of flesh. (Fleischpfand.) Literal pleading frees man from pound of flesh contract. Contract does not give the right to shed blood. Impossible, therefore, to carry out. *Type 890; Köhler-Bolte I 211f.; Wesselski Mönchslatein 172 No. 138; *Wesselski Märchen 252 No. 61; *Chauvin VIII 200ff. No. 245; *Taylor Hdwb. d. Märchens s. "Fleischpfand"; Oesterley No. 195; Dunlop-Liebrecht 262; JEGPh. XXX (1931) 348-60; Shakespeare's Merchant of Venice; Icelandic: *Boberg; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J1511.22.	Ox bought; buyer also claims load of wood attached. Later deceived man disguises and sells sharper another ox for "handful of coppers". He is allowed by court to claim the hand as well.
Skipped line. No motif ID found. Original line: K220.	Payment precluded by terms of the bargain.
Skipped line. No motif ID found. Original line: K1825.2.	Woman masks as lawyer (judge) and frees her husband.
Skipped line. No motif ID found. Original line: M200.	Bargains and promises.
Skipped line. No motif ID found. Original line: J1161.3.	Trespasser's defense: standing on his own land. Man has earth from his own land in his shoes. *Type 1590; Herbert III 507 No. 62; *Anderson FFC XLII 362 n. 1; Fb "ed" I 234, "jord" II 45b; Künss- berg Jahrbuch f. hist. Vksk. I 120f.; Danish: Kristensen Danske Sagn V (1897) 443ff., (1934) 324ff.; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: K1513.	The wife's equivocal oath.
Skipped line. No motif ID found. Original line: K1917.1.	Penniless wooer: patch of land.
Skipped line. No motif ID found. Original line: K2319.1.	One foot in Ireland, one in Scotland. Man carries sods of two countries with him that his whereabouts will be so defined.
Skipped line. No motif ID found. Original line: M105.	Equivocal oaths.
Skipped line. No motif ID found. Original line: J1161.4.	Money in the stick. Before swearing, the cheater hands a stick containing the stolen money to the man he has stolen it from. He then swears that he has repaid it. *Köhler-Bolte I 137; *Zachariae Zs. f. Vksk. XXXIII—XXXIV 78; **Lewy ibid. XXXVII-XXXVIII 83; Spanish Exempla: Keller; Jewish: *Neuman, *Gaster Exempla 210 No. 121a.
Skipped line. No motif ID found. Original line: K400.	Thief escapes detection.
Skipped line. No motif ID found. Original line: K475.1.	The stolen meat handed about.
Skipped line. No motif ID found. Original line: N521.	Treasure left in stick.
Skipped line. No motif ID found. Original line: J1161.5.	Literal penance: boy outwits pope. For three years not to drink wine, not to lie in bed, nor sleep with a prostitute. He goes to a convent, sleeps on eider down, and sleeps with the nuns. (God's daughters). When the pope condemns him he says he will go to his brother-in-law (Christ: he has wedded God's daughters). (Cf.
Skipped line. No motif ID found. Original line: J1764.5.	) *Fb "nonne" II 693; Danish: Kristensen Jyske Folkeminder VII No. 36.
Skipped line. No motif ID found. Original line: J1261.1.	Levity toward name of God.
Skipped line. No motif ID found. Original line: J1161.6.	Barber paid to change color of woman's face burns her with acid. He has fulfilled contract. Pauli (ed. Bolte) No. 414.   ## p. 81 (#85) ##############################################  J. The wise and the foolish 81
Skipped line. No motif ID found. Original line: J1161.7.	Ruler forbids blacksmith to reveal solution of riddle unless he has seen him 100 times. Smith reveals the solution on receipt of 100 crowns bearing the ruler's likeness. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J1161.	8 Ruler orders doctor to wear his hair and his robe "not too long and not too short". Has both his hair and his cloak cut half short and half long. Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: H1054.	Task: coming neither naked or clad.
Skipped line. No motif ID found. Original line: J1161.8.1.	Bishop orders priest to wear his beard and his robe "not too long and not too short." Cent Nouvelles Nouvelles No. 94.
Skipped line. No motif ID found. Original line: J1161.9.	Drunk philosopher wagers that he can drink the ocean dry. Agrees to do so if the other will hold back streams emptying into the ocean. Agreed to drink only the ocean. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: H951.	Countertasks.
Skipped line. No motif ID found. Original line: H1142.3.	Task: drinking the sea dry. NO. Wagers.
Skipped line. No motif ID found. Original line: J1161.	10 Man tells servant that he may have anything he can take with his teeth (eat). Servant takes master's cape with his teeth. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J1161.11.	Thief makes it fall out that he has but taken what has been given him (he has followed literal instructions). India: *Thompson- Balys.
Skipped line. No motif ID found. Original line: J1162.	Plea by admitting accusation and discomfiting accuser.
Skipped line. No motif ID found. Original line: J1172.	Judgment as rebuke to unjust plaintiff.
Skipped line. No motif ID found. Original line: J1162.1.	Nurse's false plea admitted: child demanded. A nurse falsely demands pay for caring for a child which she says is the hero's. In court: "The child is indeed mine; give him to me." The child belongs to a peasant. Nurse confesses and is punished. Wesselski Märchen 229 No. 40.
Skipped line. No motif ID found. Original line: J1162.2.	Robbers' false plea admitted: counteraccusation. Robbers claim a man's knife. In court: "The knife may indeed be theirs. I and my father were attacked yesterday by robbers. I fled. On returning I found my father killed and this knife in his body." Robbers con- demned. *Wesselski Märchen 229 No. 40. Irish myth: Cross (
Skipped line. No motif ID found. Original line: K448.	1).
Skipped line. No motif ID found. Original line: J1162.3.	Own name inscribed on a stolen object as sign of property. Irish myth: Cross.
Skipped line. No motif ID found. Original line: J1162.4.	Clever pleading: youth in court for calling king a fool, proves truth of statement because king allowed self to be duped by alchemist. Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: J1280.	Repartee with ruler (judge, etc.).
Skipped line. No motif ID found. Original line: J1163.	Pleading for accused by means of parable. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J80.	Wisdom (knowledge) taught by parable.
Skipped line. No motif ID found. Original line: J84.	Picking up water thrown on ground no harder than the undoing of slander.
Skipped line. No motif ID found. Original line: J1164.	Clever pleading: fighting for King of Kings. Knight hailed before king for fighting blasphemer, tells king that he would fight to pro- tect the honor of the king's name so why not for the name of the King of Kings? Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: J1280.	Repartee with ruler (judge etc.)
Skipped line. No motif ID found. Original line: J1675.	Clever dealing with a king.
Skipped line. No motif ID found. Original line: J1165.	Plea by showing great temptation to crime.
Skipped line. No motif ID found. Original line: J1165.1.	Thieves tell judge walls of houses were so weak they could not resist temptation of breaking in. India: Thompson-Balys. E 6   ## p. 82 (#86) ##############################################  82 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J1166.	Plea by shifting blame to another.
Skipped line. No motif ID found. Original line: J1166.1.	Barber operating on child's skin kills it: blames mother for child's thin skin. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1166.2.	When royal mace-bearer is attacked he throws away mace: attackers accuse him of insult to king. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1169.	Clever pleading-miscellaneous.
Skipped line. No motif ID found. Original line: J1169.1.	The woman with bad eyes. Physician called to doctor woman's eyes bandages them and then steals things each day. She refuses to pay fee and is haled to court. She says that her sight is worse than ever for whereas she used to see many things in her house she now sees very little. Theft is thus revealed. Wesselski Mönchslatein 20 No. 15; Wienert FFC LVI 39; Halm Aesop No. 107. India: Thompson- Balys. -
Skipped line. No motif ID found. Original line: J1169.2.	Bought behind the village. Lawyer declares unjustly that stolen horse has been bought and paid for. Angry farmer: "Yes, behind the village he bought and paid for it" (meaning that he stole it from the pasture). Lawyer pleads successfully that it is as well to buy a horse outside as inside the village. Pauli (ed. Bolte) No. 838.
Skipped line. No motif ID found. Original line: J1169.3.	Their assistance not asked. Knight attacks enemy contrary to orders. Part of army helps him and is killed. He disclaims responsi- bility since he had not asked their aid. Wesselski Bebel I 157 No. 86.
Skipped line. No motif ID found. Original line: J1169.4.	The ass beheaded. King vows to sacrifice first thing he meets. It is a miller driving an ass. Miller pleads that the ass preceded him. They behead the ass. Pauli (ed. Bolte) Nos. 507, 733; Spanish Exempla: Keller; Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: S241.1.	Unwitting bargain with devil evaded by driving dog over bridge.
Skipped line. No motif ID found. Original line: J1169.5.	The laughing ass. King has trickster's horse's tail cut off. Trickster retaliates by cutting off part of upper lip of king's ass. At trial the animals are brought forth. Everyone laughs at the ass. Trickster: "If everyone laughs at the ass, how could the ass help laughing at her companion without a tail?" Freed. *Wesselski Gon- nella 116 No. 12; U. S.: Baughman.
Skipped line. No motif ID found. Original line: K87.1.	Laughing contest: dead horse winner.
Skipped line. No motif ID found. Original line: K1445.	Making sheep laugh and dance.
Skipped line. No motif ID found. Original line: J1169.6.	Receiver of stolen goods. A tailor makes a Jew a coat of stolen goods. Accused of theft, he says that the Jew has the cloth. Wessel- ski Hodscha Nasreddin I 257 No. 191.
Skipped line. No motif ID found. Original line: J1169.7.	Suit about the ass's shadow. Man hires ass and driver for trip across plain. In the heat the traveler sits down in the ass's shadow. The driver pushes him away. Plea: he didn't hire the ass's shadow. *Wienert FFC LVI 37; Halm Aesop No. 339.
Skipped line. No motif ID found. Original line: J1169.8.	The prophet's first disciple. Judge demands that a pseudo- prophet show a miracle. Latter offers to cut off judge's head and resuscitate him. Judge agrees to be the first disciple. *Wesselski Hodscha Nasreddin I 257 No. 197.
Skipped line. No motif ID found. Original line: J1169.9.	Three unlawful acts in killing one sheep: two lambs were in- side. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1170.	Clever judicial decisions.
Skipped line. No motif ID found. Original line: D1318.1.1.	Stone bursts as sign of unjust judgment.
Skipped line. No motif ID found. Original line: D1318.2.1.	Laughing fish reveals unjust judgment.
Skipped line. No motif ID found. Original line: J123.	Wisdom of child decides lawsuit.   ## p. 83 (#87) ##############################################  J. The wise and the foolish 83
Skipped line. No motif ID found. Original line: K1656.	Sham dumb man wins suit.
Skipped line. No motif ID found. Original line: K1696.	Trickster makes believe he has found a purse (which he has filled with lead). Merchant claims it and pays ten crowns for it. Mo. Judgments and decrees.
Skipped line. No motif ID found. Original line: P192.2.	Fool as clever judge.
Skipped line. No motif ID found. Original line: P421.	Judge.
Skipped line. No motif ID found. Original line: P541.	Law-making.
Skipped line. No motif ID found. Original line: Q265.	False judging punished.
Skipped line. No motif ID found. Original line: W35.	Justice.
Skipped line. No motif ID found. Original line: J1170.1.	Series of wise judgments settles quarrels of village. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1170.2.	The Irish Solomon (Cormac mac Airt). Famed for his clever decisions. Irish myth: *Cross.
Skipped line. No motif ID found. Original line: J1171.	Judgment by testing love.
Skipped line. No motif ID found. Original line: J1171.1.	Solomon's judgment: the divided child. Two women claim a child. Judge offers to cut it in two. Real mother refuses. *Frazer Old Testament II 570; *Goebel Jüdische Motive im Märchenhaften Erzählungsgut (Gleiwitz, 1932) 21ff.; *Gaidoz Mélusine IV 313, 337, 366, 385, 414, 446, 457; *Köhler-Bolte I 531; *Chauvin VI 63 No. 231. Breton: Sébillot Incidents s.v. "partage"; Spanish Exempla: Keller; Italian Novella: Rotunda; Jewish: *Neuman; India: *Thompson-Balys; N. A. Indian (Menomini): Skinner and Satterlee PaAM XIII 397; Cape Verde Islands: Parsons MAFLS XV (1) 348 n. 1; West Indies: Flowers 479. Cf. Cook Group: Dixon 37 (child actually cut in two to settle dispute).
Skipped line. No motif ID found. Original line: H486.2.	Test of paternity: shooting at father's corpse.
Skipped line. No motif ID found. Original line: J1230.	Clever dividing.
Skipped line. No motif ID found. Original line: T600.	Care of children.
Skipped line. No motif ID found. Original line: J1171.1.1.	The ring to be cut in two and divided between quarreling persons: real owner laments the waste of the gold. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J1171.2.	Solomon's judgment: the divided bride. Three suitors dispute over a woman. When it is proposed to divide her, true lover is dis- covered. *Type 653; India: Thompson-Balys; Japanese: Ikeda.
Skipped line. No motif ID found. Original line: J2469.3.1.	Man gives up half property. Slave cut in half.
Skipped line. No motif ID found. Original line: M241.1.	Dividing the winnings: half the bride demanded.
Skipped line. No motif ID found. Original line: J1171.3.	The woman with two husbands is to be killed. One of the hus- bands refuses to bury her. She is awarded to the other. Type 926*; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J1171.3.1.	Clever judgment: man must belong to the third wife because the first had buried him and the second did not protect him. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1171.4.	Which mare is mother of colt: colt taken in boat to the middle of river; mother will swim to it. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1172.	Judgment as rebuke to unjust plaintiff.
Skipped line. No motif ID found. Original line: J1162.	Plea by admitting accusation and discomfiting accuser.
Skipped line. No motif ID found. Original line: J1510.	The cheater cheated.
Skipped line. No motif ID found. Original line: J1172.1.	Not the same purse as was lost. Finder of a purse containing 800 gulden returns it to owner for reward. Latter says that purse had 900 gulden in it. In court. Decision: The rich man speaks truth. The purse found is not the one he lost. The finder may keep it. Pauli (ed. Bolte) No. 115; Chauvin IX 26 No. 15; Scala Celi 21b No. 135; Alphabet No. 650; *Krappe Bulletin Hispanique XXXIX 44; Spanish Exempla: Keller; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J1172.2.	Payment with the clink of the money. Man sued for payment for enjoyment of the flavor of meat when roasting. Pauli (ed. Bolte) 6*   ## p. 84 (#88) ##############################################  84 Motif-Index of Folk-Literature No 48; Nouvelles de Sens No. 9; Italian Novella: Rotunda; India: Thompson-Balys; Indonesia: DeVries's list No. 297.
Skipped line. No motif ID found. Original line: J1551.	Imaginary debt and payment. a
Skipped line. No motif ID found. Original line: J1172.3.	Ungrateful animal returned to captivity. A man rescues serpent (bear) who in return seeks to kill his rescuer. Fox as judge advises the man to put the serpent back into captivity. *Type 155; **Krohn Mann und Fuchs 38; **McKenzie MPh I 497ff.; Herbert III 14, 37, 54; *Köhler-Bolte I 50; *Chauvin II 121 No. 109; IX 18 No. 4; *Gaster Exempla 268 No. 441; *Crane Vitry 201 No. 160; *Pauli (ed. Bolte) No. 745; Wienert FFC LVI 65 (ET 293), 147 (ST 515); Halm Aesop No. 97; *Fb "utak"; Scala Celi 86b No. 502; Alphabet No. 706; Oesterley No 174; *Krappe Bulletin Hispanique XXXIX 39. Spanish Exempla: Keller; Jewish: *Neuman; India: *Thompson-Ba- lys; Chinese: Eberhard FFC CXX 27 No. 15; Indonesia: Dixon 197 n. 36; American Negro: Harris Nights 274 No. 46; Africa: Milligan Jungle 98f., (Cameroon): Lederbogen 63. -
Skipped line. No motif ID found. Original line: B270.	Animals in legal relations.
Skipped line. No motif ID found. Original line: Q261.	Treachery punished.
Skipped line. No motif ID found. Original line: Q281.	Ingratitude punished.
Skipped line. No motif ID found. Original line: W154.	Ingratitude.
Skipped line. No motif ID found. Original line: J1172.3.1.	Unjust claimant of woman duped into entering jar. Jackal as judge declares that real husband shall enter jar woman carries on her head. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: D2177.1.	Demon enclosed in bottle.
Skipped line. No motif ID found. Original line: J1172.3.2.	Animals render unjust decision against man since man has always been unjust to them. India: Thompson-Balys; Africa (Bush- man): Honey South African Folk Tales (New York, 1910) 101f., (Tum- buka-Kamanga): Young Customs and Folklore of the Tumbuka Ka- manga (Livingstonia, 1931) 233ff., (Shilluk): Oyler Sudan Notes and Records II 221f., (Tschi): Bellon Mitt. d. Sem. f. Orient. Spr. XVII (3) 20ff. No. 4, (Saho): Reinisch Die Saho-Sprache (Wien, 1889) I (5) 205ff. No. 17, (Senegal): Colin RTP I 140f., Zeltner Contes du Senegal et du Niger (Paris, 1913) 81ff.
Skipped line. No motif ID found. Original line: J1172.4.	Turtle released by man to carry him across stream. Threatens him midway. Fox to be judge. Feigns deafness and makes turtle come so near shore man jumps and saves self. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: K952.1.	Ungrateful river passenger kills carrier from within.
Skipped line. No motif ID found. Original line: R245.	Whale-boat.
Skipped line. No motif ID found. Original line: J1173.	Series of clever unjust decisions: plaintiff voluntarily withdraws. (1) Man pulls off borrowed horse's tail: he shall keep horse till tail grows on. (2) Man falls out of bed and kills a baby (or causes a miscarriage): he shall beget a new baby for the mother. (3) Man falls from a bridge and kills boatsman's son: shall allow boatsman to fall from bridge and kill him *Wesselski Hodscha Nasreddin II 234 No. 515; *Köhler-Bolte II 578; Penzer VI 83f.; *Feilberg Danske Studier (1920) 2ff.; Spanish: Boggs FFC XC 131 No. 1535A*; Italian Novella: *Rotunda; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J2233.	Logically absurd defenses. Thief brought to judgment for break- ing into house.
Skipped line. No motif ID found. Original line: Z49.11.2.	Suit against owner for dangerous wall: thief breaks foot climbing wall to rob.
Skipped line. No motif ID found. Original line: J1173.1.	Novel settlement of dispute. Judge orders woman's second hus- band to return her to the first in the same condition as he received her (with child). Italian Novella: Rotunda.
