rownum	motif_id	motif_text_with_references
7859	B598	Animal as confederate of adulterous wife.
7860	B598.1	Boar as confederate of adulterous wife. Linked to India
7861	B598.2	Deer as confederate of adulterous wife. Linked to India
7862	B599	Other services of helpful animals.
7863	B599.1	Cock and hen build pyre for benefactor. Linked to India
7864	B599.2	Animal helps person pass test. Linked to India
7865	B599.3	Elephant draws plow to mark boundaries of empire. Referenced in Buddhist religious texts
7866	B60	Mythical fish. Linked to India
7867	B60.1	Parent of all fishes. Found in Hawaii
7868	B600	Marriage of person to animal. Extremely common. Only a few references are given. Linked to India, Linked to No. Am. Indian
7869	B600.1	Various animals tried out as wives. Only one accepted. Linked to No. Am. Indian, Linked to India
7870	B600.1.1	Various animals tried out as wives: none accepted. Linked to India
7871	B600.2	Animal husband provides characteristic animal food. From the region of Eskimo (Mackenzie Area)
7872	B601	Marriage of person to beast.
7873	B601.1	Marriage to bear. Linked to China, Linked to India, Linked to Iceland
7874	B601.1.1	Bear steals woman and makes her his wife. Linked to Cheremis, Linked to India
7875	B601.10	Marriage to deer. Linked to Ireland
7876	B601.11	Marriage to jackal. Linked to India
7877	B601.12	Marriage to cat. Linked to India
7878	B601.13	Marriage to hare. Linked to India
7879	B601.14	Marriage to fox. From the region of Eskimo (East Greenland), Associated with the tribe So. Am. Indian (Chiriguano)
7880	B601.15	Marriage to jaguar. Associated with the tribe So. Am. Indian (Toba), Associated with the tribe So. Am. Indian (Mataco)
7881	B601.16	Marriage to wolf. From the region of Eskimo (Mackenzie Area)
7882	B601.17	Marriage to coati-puri. Associated with the tribe Indian (Cashinawa), Associated with the tribe So. Am. Indian (Cashinawa)
7883	B601.18	Marriage to seal. Linked to Eskimo (Greenland)
7884	B601.2	Marriage to dog. Associated with the tribe Africa (Benga)
7885	B601.3	Marriage to rat. Associated with the tribe Africa (Duala)
7886	B601.3.1	Marriage to mouse. Linked to Cheremis
7887	B601.4	Marriage to leopard. Associated with the tribe Africa (Benga)
7888	B601.5	Marriage to elephant. Associated with the tribe Africa (Hottentot)
7889	B601.6	Marriage to lemur. Associated with the tribe Africa (Ekoi)
7890	B601.7	Marriage to monkey. Linked to Japan, Linked to China, Linked to India, Linked to Philippines
7891	B601.7.1	Person plans to marry monkey. Linked to India
7892	B601.8	Marriage to swine. Linked to Italy
7893	B601.9	Marriage to tiger. Associated with the tribe So. Am. Indian (Jivaro)
7894	B602	Marriage to bird. From the region of Eskimo (Mackenzie Area)
7895	B602.1	Marriage to eagle. Linked to India, Linked to No. Am. Indian
7896	B602.2	Marriage to fulmar. Linked to India, Linked to No. Am. Indian
7897	B602.3	Marriage to pigeon. Associated with the tribe Africa (Zulu)
7898	B602.4	Marriage to vulture. From the region of Caribbean
7899	B602.5	Marriage to crane. Linked to India
7900	B602.6	Marriage to goose. From the region of Eskimo (Mackenzie Area)
7901	B602.7	Marriage to parrot. Associated with the tribe So. Am. Indian (Chiriguano)
7902	B602.8	Marriage to kingfisher. Linked to Africa (Togo)
7903	B603	Marriage to fish (whale). Linked to Japan, Linked to India, Linked to No. Am. Indian
7904	B603.1	Marriage to shrimp. Linked to Eskimo (Greenland)
7905	B603.2	Marriage to eel. Linked to Tuamotu
7906	B604	Marriage to reptile.
7907	B604.1	Marriage to snake. Associated with the tribe So. Am. Indian (Toba), From the region of Eskimo (Mackenzie Area)
7908	B604.2	Marriage to tortoise. Associated with the tribe Africa (Benga)
7909	B604.2.1	Marriage to turtle. Linked to India
7910	B604.3	Marriage to crocodile. Linked to India
7911	B604.4	Marriage to lizard. Associated with the tribe Africa (Fang)
7912	B604.5	Marriage to frog. Associated with the tribe Africa (Luba)
7913	B605	Marriage to dragon. Linked to China
7914	B61	Leviathan. Giant fish. Linked to Ireland, Referenced in Jewish religious texts, In languages spoken in Hebrew, Linked to India
7915	B610	Animal paramour.
7916	B610.1	Girl's animal lover slain by spying relatives. Linked to Jamaica, Linked to India, Linked to No. Am. Indian
7917	B611	Beast paramour.
7918	B611.1	Bear paramour. Linked to India, Linked to No. Am. Indian
7919	B611.2	Dog paramour. From the region of Siberia, From the region of North Pacific Coast of America, Linked to India, Referenced in Buddhist religious texts
7920	B611.3	Horse paramour. Linked to No. Am. Indian, Referenced in Hindu religious texts, Linked to India, Linked to Japan
7921	B611.3.1	Sea-horse paramour. Linked to Ireland
7922	B611.3.2	Lake-horse paramour. Linked to Ireland
7923	B611.4	Bull paramour. Linked to Greece
7924	B611.5	Deer paramour. Linked to Ireland
7925	B611.6	Monkey paramour. Linked to India
7926	B611.7	Rat paramour. Linked to India
7927	B611.8	Tapir paramour. Associated with the tribe So. Am. Indian (Toba)
7928	B612	Fish paramour. Associated with the tribe Africa (Ekoi)
7929	B612.1	Eel paramour. Located in Mangaia (Cook Island)
7930	B612.2	Dolphin as paramour. Referenced in Jewish religious texts
7931	B613	Reptile paramour.
7932	B613.1	Snake paramour. Associated with the tribe So. Am. Indian (Carib), Associated with the tribe So. Am. Indian (Warrau), Associated with the tribe Africa (Basuto), Linked to Lat. Am. Africa (Basuto)
7933	B613.1.1	Snake woman as paramour. Linked to India
7934	B613.2	Crocodile paramour. Associated with the tribe Africa (Fang)
7935	B613.3	Lizard paramour. Linked to India
7936	B614	Bird paramour. Linked to India
7937	B62	Flying fish. Linked to Ireland
7938	B620	Animal suitor. From the region of Missouri French, Linked to France
7939	B620.1	Daughter promised to animal suitor. Linked to Angola
7940	B621	Beast as suitor.
7941	B621.1	Bear as suitor.
7942	B621.2	Lion as suitor. Linked to Fable
7943	B621.3	Tiger as suitor. Linked to China, On the continent of So. Am. Indian, Linked to India
7944	B621.4	Rat as suitor. Linked to Cheremis
7945	B621.5	Leopard as suitor. Linked to India
7946	B621.6	Pig as suitor. Linked to China
7947	B621.7	Horse as suitor. Linked to China
7948	B621.8	Wolf and wolverine fight over girl. From the region of Eskimo (Mackenzie Area)
7949	B622	Reptile as wooer.
7950	B622.1	Serpent as wooer. Linked to India, Referenced in Jewish religious texts
7951	B622.2	Crocodile as wooer. Linked to India
7952	B622.3	Tortoise as wooer. Linked to India
7953	B623	Bird as wooer.
7954	B623.1	Crane as wooer. Linked to India
7955	B623.2	Owl as suitor. Associated with the tribe So. Am. Indian (Toba)
7956	B623.3	Magpie as suitor. Linked to Cheremis
7957	B623.4	Crow as suitor. Linked to Cheremis
7958	B623.5	Cock as suitor. Linked to China
7959	B625	Fish as wooer.
7960	B625.0.1	Half-man, half-fish as wooer. Associated with the tribe So. Am. Indian (Toba)
7961	B63	Mythical octopus. Located in Marquesas, Found in Hawaii
7962	B630	Offspring of marriage to animal. Linked to India
7963	B631	Human offspring from marriage to animal. Associated with the tribe No. Am. Indian (Thompson River)
7964	B631.0.1	Son warns animal mother. Linked to Ireland
7965	B631.0.2	Boy kills his animal father for reward. Referenced in Buddhist religious texts
7966	B631.1	Animal mother of man helps him. Linked to Burma
7967	B631.2	Human beings descended from seals. Linked to Ireland
7968	B631.3	Fish bears men-children. Has swallowed rinsings of man's mouth. Linked to India
7969	B631.4	Lioness bears man child. Associated with the tribe Africa (Lamba)
7970	B631.5	Cow bears man child. Associated with the tribe Africa (Lamba)
7971	B631.6	Tigress bears men-children. Linked to India
7972	B631.7	Human offspring of marriage of person and jaguar. Associated with the tribe So. Am. Indian (Toba)
7973	B631.8	Human offspring of marriage of person and lion. Referenced in Buddhist religious texts
7974	B631.9	Human offspring of marriage of person and snake. Associated with the tribe So. Am. Indian (Tapirapé)
7975	B632	Animal offspring from marriage to animal. Associated with the tribe No. Am. Indian (Seneca), Associated with the tribe Africa (Zulu), Linked to Eskimo (Greenland)
7976	B633	Human and animal offspring from marriage to animal.
7977	B634	Monstrous offspring from animal marriage. Referenced in Buddhist religious texts, Linked to Ireland
7978	B634.1	Monstrous offspring of sea-horse and woman. Linked to Ireland
7979	B635	Human foster-child with animal qualities.
7980	B635.1	The Bear's Son. Human son of woman who marries a bear acquires bear characteristics.
7981	B635.1.1	Eaten meat of bear-lover causes unborn son to have bear characteristics.
7982	B635.1.2	Bear's foster child not used to sun and light. From the region of Eskimo (Mackenzie Area)
7983	B635.1.3	Bear says he is boy's father; asks food. From the region of Eskimo (Mackenzie Area)
7984	B635.2	Wolf boy (girl) running around with wolf and cubs recovered by parents after six years: recognized by scar. Linked to India
7985	B635.3	Child of mortal and deer has deer's hair on temple. Linked to Ireland
7986	B635.3.1	Culture hero licked by deer mother. Linked to Ireland
7987	B635.4	"Son of dog (""cu,"" person)." Linked to Ireland
7988	B635.4.1	"Son of three dogs (""con,"" persons)." Linked to Ireland
7989	B636	Offspring of human and animal intercourse. Linked to India
7990	B64	Mythical eel. Found in Hawaii
7991	B640	Marriage to person in animal form.
7992	B640.1	Marriage to beast by day and man by night. From the region of Missouri French, Linked to India, Linked to France
7993	B641	Marriage to person in beast form.
7994	B641.1	Marriage to person in dog form. Linked to Eskimo (Greenland), Associated with the tribe So. Am. Indian (Chaco)
7995	B641.2	Marriage to woman in deer form. Linked to India, Linked to Ireland
7996	B641.2.1	Marriage to man in deer form. Associated with the tribe Africa (Swazi)
7997	B641.3	Marriage to god in bull form.
7998	B641.4	Marriage to person in ass form.
7999	B641.5	Marriage to person in hedgehog form.
8000	B641.6	Marriage to person in horse form. Associated with the tribe Africa (Hausa)
8001	B641.7	Marriage to person in monkey form. Linked to India
8002	B641.8	Marriage to person in opossum form. Associated with the tribe So. Am. Indian (Tupinamba)
8003	B642	Marriage to person in bird form. Linked to India
8004	B643	Marriage to person in insect form.
8005	B643.3	Marriage to person in caterpillar form. Linked to India
8006	B644	Marriage to person in fish form. From the region of Eskimo (Mackenzie Area)
8007	B645	Marriage to person in amphibian form.
8008	B645.1	Marriage of person to transformed toad. Spanning multiple countries: Korea
8009	B645.1.1	Marriage to person in toad form. Linked to India
8010	B645.1.2	Marriage to person in frog form. Linked to India
8011	B645.2	Marriage to person in crocodile form. Associated with the tribe Africa (Kaffir)
8012	B646	Marriage to person in reptile form.
8013	B646.1	Marriage to person in snake form. Associated with the tribe Africa (Zulu)
8014	B646.1.1	Marriage to person in form of five-headed snake. Associated with the tribe Africa (Hausa)
8015	B647	Marriage to person in animal form miscellaneous.
8016	B647.1	Marriage to person in crustacean form.
8017	B647.1.1	Marriage to person in crab form. Linked to India
8018	B648	Man becomes deer and marries deer. Linked to India, Linked to No. Am. Indian
8019	B65	Mythical shark. Found in Hawaii
8020	B650	Marriage to animal in human form. Linked to Burma
8021	B650.1	Animal transformed to man wants to marry woman. Linked to Indonesia
8022	B651	Marriage to beast in human form.
8023	B651.1	Marriage to fox in human form. Linked to Eskimo (Greenland), Associated with the tribe So. Am. Indian (Toba)
8024	B651.10	Marriage to squirrel in human form. Linked to India
8025	B651.11	Marriage to leopard in human form. Associated with the tribe Africa (Wakweli)
8026	B651.2	Marriage to buffalo in human form. Linked to India, Linked to No. Am. Indian
8027	B651.3	Marriage to lion in human form. Linked to Angola
8028	B651.4	Marriage to dog in human form. Linked to China, Linked to Iceland
8029	B651.5	Marriage to deer in human form. Associated with the tribe So. Am. Indian (Maropa)
8030	B651.6	Marriage to wolf in human form. From the region of Eskimo (Mackenzie Area)
8031	B651.7	Marriage to bear in human form. Linked to Eskimo (Smith Sound)
8032	B651.8	Marriage to seal in human form. Linked to Iceland
8033	B651.9	Marriage to tiger in human form. Linked to India
8034	B652	Marriage to bird in human form.
8035	B652.1	Marriage to swan-maiden.
8036	B652.2	Man marries crane in human form. Linked to Japan
8037	B652.3	Marriage to dove-maiden. Linked to Iceland
8038	B652.4	Marriage to woodpecker in human form. Associated with the tribe So. Am. Indian (Toba)
8039	B653	Marriage to insect in human form.
8040	B653.1	Marriage to bee in human form. Linked to Indonesia
8041	B654	Marriage to fish in human form. Associated with the tribe Africa (Congo)
8042	B655	Marriage to amphibia in human form.
8043	B656	Marriage to reptile in human form.
8044	B656.1	Marriage to python in human form. Associated with the tribe Africa (Kaffir)
8045	B656.2	Marriage to serpent in human form. Associated with the tribe So. Am. Indian (Toba), Linked to Eskimo (Greenland)
8046	B659	Marriage to other animals in human form.
8047	B670	Unusual mating between animals.
8048	B671	Goose mates with crow. Referenced in Buddhist religious texts
8049	B672	Mythical tiger has family of jaguars. Associated with the tribe So. Am. Indian (Chiriguano)
8050	B68	Horned water-monster. Associated with the tribe So. Am. Indian (Chaco)
8051	B690	Marriage of person to animal miscellaneous.
8052	B691	Relatives kill animal-husband but wife throws herself into pyre. Linked to India
8053	B7	Animals in the heavens.
8054	B7.1	Animals rule celestial spheres. Referenced in Jewish religious texts
8055	B7.2	Mythical animals surround God's throne. Referenced in Jewish religious texts
8056	B7.3	Mythical bird running before the sun bears inscription of golden letters. Referenced in Jewish religious texts
8057	B70	Fish-beasts.
8058	B700	Fanciful traits of animals.
8059	B71	Sea horse. Horse living in sea. Found in Scotland, Linked to China, Linked to Ireland, From the region of Livonian
8060	B710	Fanciful origin of animals.
8061	B710.1	Fanciful origin of the jackal. Linked to India
8062	B710.2	Clever and swift horse of fanciful origin.
8063	B710.2.1	Clever and swift horse fed with worms' milk on the gold mountain Tecklen in India. Linked to Iceland
8064	B710.2.2	Clever and swift horse of dromedary-family.
8065	B712	Barnacle goose. Goose born from barnacles.
8066	B713	Animal born from animal carcass. Referenced in Jewish religious texts
8067	B713.1	Bees born from carcass of ox.
8068	B713.2	Animal born from putrification. Referenced in Jewish religious texts
8069	B714	Worm (monster) from caul born with child. Linked to Ireland
8070	B715	The cow Audhumla sprang from the dripping rime of the creation of the universe. Linked to Iceland
8071	B716	Animal born from human or animal bones. Referenced in Jewish religious texts
8072	B717	Animal born from earth. Referenced in Jewish religious texts
8073	B72	Sea cow. Cow living in sea. From the region of Livonian, Linked to Ireland, Linked to India, Linked to Denmark
8074	B72.1	Three sea-cows: one red, one white, one black. Linked to Ireland
8075	B720	Fanciful bodily members of animals.
8076	B721	Cat's luminous eye. Found in Brittany
8077	B722	Magic stone in animal's head. Linked to India, Linked to Ireland
8078	B722.1	Magic love-working stone in swallow's head.
8079	B722.2	Magic stone in dog's forehead.
8080	B722.3	Luminous jewel in animal's head. Linked to India
8081	B722.4	Earthworm has light in its tail. Linked to India
8082	B723	Tortoise has no liver or teeth. Linked to India
8083	B724	Spider has no blood in body. Linked to India
8084	B725	Female bears have no breasts to nurse their young; suck paws. Referenced in Jewish religious texts
8085	B726	Double snake male and female. Associated with the tribe Africa (Baluba)
8086	B73	Sea-cat. Linked to Ireland
8087	B730	Fanciful color, smell, etc. of animals.
8088	B731	Fanciful color of animal. Linked to Ireland
8089	B731.0.1	Animals of strange and varied coloring.
8090	B731.1	Green she-goat. Found in Brittany
8091	B731.10	Multicolored worm (serpent). Linked to Ireland
8092	B731.11	Blue serpent. Linked to Ireland
8093	B731.12	Silver fish with gold fins. Linked to Ireland
8094	B731.13	Bird with changing color. Referenced in Jewish religious texts
8095	B731.14	Hyena with three hundred sixty-five different colors. Referenced in Jewish religious texts
8096	B731.2	Green horse.
8097	B731.2.1	Horse with crimson mane and green legs. Linked to Ireland
8098	B731.2.2	Artificially colored horses. Linked to Ireland
8099	B731.2.3	Striped horse with purple mane and white feet. Linked to Ireland
8100	B731.3	Multicolored llama. Wool red, blue, and yellow. No need to dye it for weaving. Linked to Chincha (Peru)
8101	B731.4	Cow with changing colors. Changes every four hours: white, red, black. Linked to Greece
8102	B731.4.1	Cow with white ears. Linked to Ireland
8103	B731.4.2	Cow with red ears. Linked to Ireland
8104	B731.5	Silver, gold, and diamond birds. Linked to Czech Republic
8105	B731.6	Hound of every color. Linked to Ireland
8106	B731.6.0.1	Polychromatic dogs. Linked to Ireland
8107	B731.6.1	Hound half white, half green. Linked to Ireland
8108	B731.6.2	Blue dogs and cats. Linked to Ireland
8109	B731.7	Fancifully colored deer. Linked to Ireland
8110	B731.7.1	Stag with stripe of every color. Linked to Ireland
8111	B731.7.2	Fawn with golden lustre. Linked to Ireland
8112	B731.8	Red (green) swine. Linked to Ireland
8113	B731.9	Purple wether. Linked to Ireland
8114	B731.9.1	Ram with green feet and horns. Linked to Ireland
8115	B732	Panther's sweet smell protects him from other beasts.
8116	B733	Animals are spirit-sighted. Scent danger. Linked to Ireland
8117	B733.1	Balaam's ass perceives angel. Referenced in Jewish religious texts
8118	B733.2	Dogs howling indicates death. Linked to Argentina
8119	B733.2.1	Cock hears inaudible voice of dying man. Referenced in Jewish religious texts
8120	B735	Bird gives milk. Associated with the tribe Africa (Basuto)
8121	B736	Animal sheds tears.
8122	B736.1	Bird sheds tears.
8123	B736.2	Horse sheds tears (of blood). Linked to Ireland
8124	B736.3	Dog sheds tears. Linked to Ireland
8125	B736.4	Fox sheds tears. Referenced in Jewish religious texts
8126	B736.5	Stag sheds tears. Linked to Germany
8127	B736.6	Calf sheds tears. Referenced in Jewish religious texts
8128	B737	Fish with coat of wool. Linked to Ireland
8129	B738	Animal's skin revolves while flesh and bones remain stationary. Linked to Ireland
8130	B739	Fanciful color, smell etc. of animals miscellaneous.
8131	B739.1	Magic cock has elixir in his body which makes people light. Linked to China
8132	B740	Fanciful marvelous strength of animals.
8133	B741	Lion's roar causes havoc at 300 miles. At 300 miles all women miscarry, at 200 teeth of all men drop out. Referenced in Jewish religious texts
8134	B741.1	Cry of giant ox impregnates all fish. In the historic region of Persia
8135	B741.2	Neighing of stallion in Assyria impregnates mares in Egypt.
8136	B741.3	Cow whose bellowing defeats army. Linked to the ethnicity Norse
8137	B741.4	Bellow of bull heard over entire land. Linked to Ireland
8138	B742	Animal breathes fire.
8139	B742.1	Lion breathes fire. Found in Brittany
8140	B742.2	Birds spit fire. Linked to Ireland, Found in England
8141	B742.3	Fire-breathing horses.
8142	B742.4	Fire-breathing dogs. Linked to Ireland
8143	B743	Blowing serpent. Can blow through seven church walls but not through a pair of hose.
8144	B744	Animal travels extraordinary distance. Linked to Ireland
8145	B745	Indestructibility of leech. Linked to India
8146	B746	Bear could formerly lift mountain. Linked to India
8147	B747	Animal's strong teeth.
8148	B747.1	Strong teeth of lion. Referenced in Jewish religious texts
8149	B747.2	Locusts with jaw teeth strong as lion's.  Jewish: Neuman.
8150	B747.3	Mice gnaw through metal vessels. Referenced in Jewish religious texts
8151	B748	Snake shoots rapids of mighty river. Associated with the tribe So. Am. Indian (Pilcomayo River Tribes)
8152	B750	Fanciful habits of animals.
8153	B751	Animal's fanciful treatment of their young.
8154	B751.1	Snake swallows young to protect them. Found in North Carolina, Linked to United States
8155	B751.2	Pelican kills young and revives them with own blood.
8156	B751.3	Eagle tests eaglets by having them gaze at sun.
8157	B751.4	The lion blows first life into its cubs three days after their birth.
8158	B751.5	Animal neglects its young. Referenced in Jewish religious texts
8159	B751.6	Wolf strongly attracted to his own children. Referenced in Jewish religious texts
8160	B752	Fanciful behavior of animal at death.
8161	B752.1	Swan song. Swan sings as she dies.
8162	B752.2	Snake does not die before sunset. Linked to United States
8163	B752.3	Snake kills itself by biting part of body (when in danger or torture). Linked to United States
8164	B754	Sexual habits of animals. Referenced in Jewish religious texts
8165	B754.0.1	Unusual sexual union of animals. Linked to Ireland
8166	B754.1	Animal changes sex periodically.
8167	B754.1.1	Hyena changes sex yearly. Linked to Fable, Referenced in Jewish religious texts
8168	B754.1.2	Hare changes sex periodically. Referenced in Jewish religious texts
8169	B754.2	Elephants have sexual desire only after eating mandrakes. Found in England
8170	B754.3	Lions do not mate with their fellows, but prefer leopards.
8171	B754.3.1	Female rattlesnakes mate with black snakes rather than with male rattlesnakes. Linked to United States
8172	B754.4	Male rabbit bears young. Female rabbit escaped Noah on ark and drowned.
8173	B754.5	Cocks kept from intercourse with hens have tenderest meat.
8174	B754.6	Peacock pregnant without intercourse. Male spits up semen and female eats it. This as a curse. Linked to India, Referenced in Jewish religious texts
8175	B754.6.1	Unusual impregnation of animal.
8176	B754.6.1.1	Animal impregnated through mouth (ears). Referenced in Jewish religious texts
8177	B754.7	Unusual parturition of animal.
8178	B754.7.1	Crab's offspring born through its chest. Linked to India
8179	B754.7.2	Eagle catches gazelle's young as it is born. Referenced in Jewish religious texts
8180	B755	Animal calls the dawn. The sun rises as a result of the animal's call. Associated with the tribe Africa (Benga)
8181	B756	Gold-digging ants.
8182	B757	Rats leave sinking ship.
8183	B758	Eagle renews youth. Feathers fall off and regrow.
8184	B761	Turtle holds with jaws till it thunders. Found in American Negro (Georgia)
8185	B762	Monkeys attack by throwing coconuts.
8186	B762.1	Animal attacks by throwing pebbles. Linked to Ireland
8187	B765	Fanciful qualities of snakes. Referenced in Jewish religious texts
8188	B765.1	Snake takes tail in mouth and rolls like wheel.
8189	B765.10	Snake cracks self like coach whip and chases man. Linked to United States, Found in North Carolina
8190	B765.11	Snake's venom kills tree. Found in North Carolina
8191	B765.12	Venomous snakes play with precious stones. Linked to Iceland
8192	B765.13	Copperhead guides rattlesnake to its prey. Linked to United States
8193	B765.14	Snake has hypnotic stare: person cannot move. Linked to United States
8194	B765.14.1	Serpent reduces man to a heap of ashes by its fiery gaze. Linked to India
8195	B765.15	Snake stands up, whistles. Linked to United States
8196	B765.16	Snake has stinger. Linked to United States
8197	B765.17	Bullets have no effect on giant serpent; only stroke of lightning effective. Linked to Ladino
8198	B765.18	Snake avoids object.
8199	B765.18.1	Snake avoids white ash. Linked to United States
8200	B765.18.2	Snakes will not cross rope made of hair. Linked to United States
8201	B765.18.3	Snakes will not cross a ring made of Irish earth. Linked to United States
8202	B765.19	Detached snake fang kills person or animal. Linked to United States
8203	B765.2	Snake lays aside his crown to bathe.
8204	B765.20	Snake kills man who has killed snake's mate. From the region of West Indies
8205	B765.21	Snake revives snakes which have been injured (the doctor snake). Linked to United States
8206	B765.22	King snake: kills and eats any snake that does not accept his authority. Linked to United States
8207	B765.23	Snake with legs. Linked to United States
8208	B765.24	Dragon fly serves as snake's servant, feeds snake; it is called snake-feeder. Linked to United States
8209	B765.24.1	Dragon fly acts as doctor to injured snakes. Linked to United States
8210	B765.25	Female snake seven years pregnant. Referenced in Jewish religious texts
8211	B765.26	Palm tree grows on serpent's body. Associated with the tribe So. Am. Indian (Toba)
8212	B765.3	Snake sucks poisonous dew from grass.
8213	B765.4	Snake milks cows at night. Linked to Switzerland
8214	B765.4.1	Snake attaches itself to a woman's breast and draws away her milk while she sleeps. Linked to India
8215	B765.5	Snake crawls from sleeper's mouth.
8216	B765.6	Snake eats milk and bread with child.
8217	B765.6.1	Snake drinks milk. Linked to India
8218	B765.7	Jointed snake can join its segments when it is broken into pieces. Linked to China, Linked to United States
8219	B765.7.1	Snakes may be killed, but do not die. Linked to India
8220	B765.7.2	Snake grows back together after it has been severed. Linked to United States
8221	B765.8	Snake sucks poison from bite it has itself made.
8222	B765.9	Poisonous snakes in certain region have no venom. Linked to Ireland
8223	B766	Fanciful dangers from animals.
8224	B766.1	Cat mutilates corpses. Linked to United States, Found in North Carolina
8225	B766.1.1	Cat must be kept from dying person because it will catch the person's soul issuing (from mouth) in form of mouse. Linked to United States
8226	B766.2	Cat sucks sleeping child's breath. Found in England, Found in North Carolina
8227	B766.3	Toads suck blood.
8228	B766.4	Bite of white she-mule causes certain death. Referenced in Jewish religious texts
8229	B767	Animals attracted by music. Linked to Germany
8230	B767.1	Fish follow sound of music.
8231	B768	Fancied nourishment of animals.
8232	B768.1	Partridge subsists on moonbeams.
8233	B768.2	Salamander subsists on fire. Linked to Ireland, Referenced in Jewish religious texts
8234	B768.3	Swans live on pearls. Linked to India
8235	B768.4	Serpent subsists on dust. Referenced in Jewish religious texts
8236	B770	Other fanciful traits of animals.
8237	B771	Wild animal miraculously tamed.
8238	B771.0.1	Wild animal will not harm chaste woman. Linked to Italy
8239	B771.1	Animal tamed by maiden's beauty. Linked to India
8240	B771.2	Animal tamed by holiness of saint. Referenced in Jewish religious texts, Linked to Iceland, Linked to Ireland
8241	B771.2.1	Hungry lions do not harm saint.
8242	B771.2.2	Animal tamed by saint's prayer. Linked to Ireland
8243	B771.2.3	Lions made tame by Moses' rod. Referenced in Jewish religious texts
8244	B771.3	Wild animal will not attack royal person.
8245	B771.4	Fish trained to answer person's call. On the continent of Africa
8246	B771.5	Wild animal performs for king. Linked to Ireland
8247	B772	Shipwrecked man repulsed by animals. As he floats to shore animals push him back into water.
8248	B773	Animals with human emotions.
8249	B773.1	Animal feels agitation at sight of native land. Linked to Ireland
8250	B773.2	Animal (lion) pines away with grief upon his friend's grave.
8251	B773.3	Lion (wolf) protects the saint's body.
8252	B775	Stork is man while hibernating in Egypt.
8253	B776	Venomous animals.
8254	B776.0.1	Garlic juice dangerous to poisonous animals.
8255	B776.1	Venomous sheep destroy enemy. Linked to Ireland
8256	B776.2	Toad considered venomous.
8257	B776.3	Venomous hound. Linked to Ireland
8258	B776.3.1	Venomous dog loosed against saint. Linked to Ireland
8259	B776.3.2	Mud puppy considered poisonous. Linked to United States
8260	B776.4	Venomous swine.
8261	B776.4.1	Pig with venomous bristles. Linked to Ireland
8262	B776.4.2	Venomous boar. Linked to Ireland
8263	B776.5	Blood of animal considered venomous. Linked to Ireland
8264	B776.5.1	Blood of toad venomous. Linked to Ireland
8265	B776.5.2	Blood of lion venomous. Linked to Ireland
8266	B776.5.3	Blood of snakes venomous. Linked to Ireland
8267	B776.5.4	Blood of otter venomous. Linked to Ireland
8268	B776.5.5	Blood of bear venomous. Linked to Ireland
8269	B776.6	Venomous worm. Linked to Ireland
8270	B776.7	Venomous serpent. Linked to India, Linked to the ethnicity Norse, Linked to Ireland
8271	B777	Breath of bird withers. Linked to Ireland
8272	B781	"Animal ""drinks apart"" mixed liquids. Separates the parts while drinking."
8273	B782	Sheep sleeps if anyone ties shoe to its ear. Linked to India
8274	B783	Swine maddened by smell of oak forest. Linked to Ireland
8275	B784	Animal lives in person's stomach.
8276	B784.0.1	Frog living in person's stomach rises into throat, croaks every spring. Found in England
8277	B784.1	How animal gets into person's stomach (or body) (various methods).
8278	B784.1.1	Person drinking from brook swallows animal eggs (frog or newt). Linked to United States
8279	B784.1.2	Person swallows pebble on beach; snake grows in stomach. Linked to United States
8280	B784.1.3	Person swallows snake semen or egg while eating watercress. Found in England
8281	B784.1.4	Girl swallows frog spawn; an octopus grows inside her with tentacles reaching to every part of her body. Found in England
8282	B784.1.5	Swallowed blackbeetle reproduces inside person's body. Found in England
8283	B784.1.6	Girl eats plums and maggots in them; maggots multiply inside her body. Found in England
8284	B784.1.7	Scaly lizard jumps into person's mouth. Linked to United States
8285	B784.1.8	Salamander gets into veins through cracks in feet when person goes barefoot. Linked to United States
8286	B784.2	Means of ridding person of animal in stomach.
8287	B784.2.0.1	No remedy possible. Found in England
8288	B784.2.1	Patient fed salt: animal comes out for water. The patient is fed salt or heavily salted food and allowed no water for several days. He then stands with mouth open before a supply of fresh water, often a running brook. The thirsty animal emerges to get fresh water. Linked to Italy, Linked to United States
8289	B784.2.1.1	Snake (frog) in human body enticed out by milk (water). Linked to India
8290	B784.2.1.2	Husband ties a cock near wife's feet: snake-parasite in her stomach comes out to catch the cock and is killed by husband. Linked to India
8291	B784.2.2	Patient sits before tempting meal without eating; animal emerges. Linked to United States
8292	B784.2.3	Frog is enticed from patient's mouth by offering it a piece of cheese. Found in England
8293	B784.2.4	Physician removes animal from stomach of patient. Linked to United States
8294	B785	Animal wards off spirits. Linked to Ireland
8295	B786	Monkeys always copy men. Linked to India
8296	B787	Birds mock ascetic's devotions. Linked to India
8297	B788	Bats keep fireflies to light their houses. Linked to India
8298	B791	Elephants have power of bringing rain. Referenced in Buddhist religious texts
8299	B792	Why certain animals are thought of as good or bad. Referenced in Jewish religious texts
8300	B80	Fish-men.
8301	B80.1	Seal-man. Linked to Ireland
8302	B80.2	Monster half-man, half-fish. Associated with the tribe So. Am. Indian (Toba)
8303	B800	Miscellaneous animal motifs.
8304	B801	Elephants in folktales.
8305	B802	Horses in tales and legends.
